RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID
276,36003,"1,667","13,00","15,00","28,00",22,25,"76,667",0
277,81267,"1,534","12,00","13,00","25,00",31,19,"76,534",0
278,38955,"1,466","10,00","19,00","29,00",17,29,"76,466",0
279,43137,"1,399","13,00","16,00","29,00",24,22,"76,399",0
280,77577,"1,132","12,00","14,00","26,00",24,25,"76,132",0
281,83727,"1,099","9,00","15,00","24,00",29,22,"76,099",0
282,80529,2,"10,00","13,00","23,00",20,31,"76,000",0
283,47565,"1,868","12,00","10,00","22,00",30,22,"75,868",0
284,39939,"1,67","15,00","15,00","30,00",25,19,"75,670",0
285,14847,"1,432","14,00","12,00","26,00",28,20,"75,432",0
286,69459,"1,333","10,00","14,00","24,00",27,23,"75,333",0
287,16323,"1,33","15,00","15,00","30,00",26,18,"75,330",0
288,93567,"1,799","6,00","13,00","19,00",23,31,"74,799",0
289,12387,"1,667","12,00","18,00","30,00",28,15,"74,667",0
290,38463,"1,499","12,00","17,00","29,00",21,23,"74,499",0
291,73395,"1,466","13,00","13,00","26,00",21,26,"74,466",0
292,23457,2,"9,00","16,00","25,00",24,23,"74,000",0
293,13125,"1,67","13,00","16,00","29,00",26,16,"72,670",0
294,93075,"1,03","11,00","16,00","27,00",23,21,"72,030",0
295,55683,2,"11,00","15,00","26,00",18,26,"72,000",0
296,24195,2,"12,00","9,00","21,00",22,27,"72,000",0
297,35757,"1,901","13,00","13,00","26,00",26,18,"71,901",0
298,86925,"1,568","12,00","11,00","23,00",28,19,"71,568",0
299,67737,1,"10,00","15,00","25,00",25,20,"71,000",0
300,87171,"1,033","12,00","14,00","26,00",22,21,"70,033",0
301,63309,2,"13,00","16,00","29,00",21,18,"70,000",0
302,58389,2,"13,00","12,00","25,00",25,18,"70,000",0
303,78315,"1,901","9,00","16,00","25,00",20,23,"69,901",0
304,31575,"0,732","15,00","13,00","28,00",21,20,"69,732",0
305,91107,2,"11,00","15,00","26,00",28,13,"69,000",0
306,30345,"1,901","7,00","15,00","22,00",22,23,"68,901",0
307,70689,"1,901","9,00","14,00","23,00",23,20,"67,901",0
308,72657,"1,901","11,00","12,00","23,00",21,22,"67,901",0
309,51747,"1,868","10,00","16,00","26,00",25,15,"67,868",0
310,72165,"1,633","14,00","11,00","25,00",22,19,"67,633",0
311,94059,"1,598","10,00","12,00","22,00",17,27,"67,598",0
312,56667,"1,33","13,00","14,00","27,00",22,17,"67,330",0
313,18783,"1,67","17,00","17,00","34,00",18,13,"66,670",0
314,88893,"1,466","11,00","11,00","22,00",27,15,"65,466",0
315,27885,1,"6,00","16,00","22,00",27,15,"65,000",0
316,98487,2,"11,00","15,00","26,00",26,11,"65,000",0
317,49041,"1,099","10,00","15,00","25,00",10,28,"64,099",0
318,97257,"1,769","9,00","14,00","23,00",18,21,"63,769",0
319,57651,"1,534","10,00","15,00","25,00",22,15,"63,534",0
320,66753,"1,534","10,00","14,00","24,00",23,15,"63,534",0
321,37233,"1,901","13,00","16,00","29,00",18,14,"62,901",0
322,59127,"0,832","13,00","10,00","23,00",18,21,"62,832",0
323,21243,"1,67","8,00","14,00","22,00",23,16,"62,670",0
324,99471,"1,67","10,00","10,00","20,00",21,20,"62,670",0
325,34527,"1,799","13,00","11,00","24,00",20,16,"61,799",0
326,59865,"1,466","10,00","13,00","23,00",23,14,"61,466",0
327,38709,"1,901","15,00","12,00","27,00",16,16,"60,901",0
328,60849,"1,534","10,00","10,00","20,00",15,24,"60,534",0
329,44121,"1,367","9,00","11,00","20,00",24,15,"60,367",0
330,28131,"1,132","13,00","16,00","29,00",15,15,"60,132",0
331,53223,"1,568","15,00","13,00","28,00",20,10,"59,568",0
332,63555,"1,33","8,00","17,00","25,00",14,19,"59,330",0
333,96519,"1,67","13,00","8,00","21,00",20,16,"58,670",0
334,88647,"1,198","10,00","13,00","23,00",22,12,"58,198",0
335,92583,"1,901","10,00","16,00","26,00",20,10,"57,901",0
336,66015,"0,901","8,00","14,00","22,00",15,20,"57,901",0
337,48549,"1,231","12,00","14,00","26,00",17,13,"57,231",0
338,15831,"1,769","7,00","13,00","20,00",18,17,"56,769",0
339,65031,2,"9,00","15,00","24,00",19,11,"56,000",0
340,11403,"1,901","13,00","10,00","23,00",13,18,"55,901",0
341,89877,"1,201","9,00","11,00","20,00",18,16,"55,201",0
341,71181,"1,201","11,00","11,00","22,00",13,19,"55,201",0
343,53469,"1,901","7,00","13,00","20,00",12,20,"53,901",0
344,84957,"1,37","8,00","10,00","18,00",16,18,"53,370",0
345,60357,"1,432","8,00","11,00","19,00",17,15,"52,432",0
346,48795,"1,099","14,00","7,00","21,00",12,18,"52,099",0
347,80775,2,"12,00","14,00","26,00",13,11,"52,000",0
348,57405,"0,868","7,00","14,00","21,00",14,16,"51,868",0
349,52485,"1,901","12,00","10,00","22,00",19,8,"50,901",0
350,76347,"1,231","12,00","13,00","25,00",16,7,"49,231",0
351,60603,"1,568","9,00","11,00","20,00",9,18,"48,568",0
352,20013,2,"12,00","9,00","21,00",17,6,"46,000",0
