TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
67,153,66261,1.531,15.0,16.0,31.0,35,29,96.531,0,2017,2081
68,154,21981,2.0,11.0,17.0,28.0,40,26,96.0,0,2017,2081
69,154,10665,2.0,15.0,17.0,32.0,32,30,96.0,0,2017,2081
70,156,10419,2.0,17.0,16.0,33.0,35,26,96.0,0,2017,2081
71,157,94797,2.0,14.0,14.0,28.0,39,27,96.0,0,2017,2081
72,157,17799,2.0,17.0,14.0,31.0,31,32,96.0,0,2017,2081
73,159,16077,1.901,14.0,19.0,33.0,31,30,95.90100000000001,0,2017,2081
74,160,37725,1.868,20.0,21.0,41.0,29,24,95.868,0,2017,2081
75,161,12879,1.8019999999999998,11.0,19.0,30.0,29,35,95.802,0,2017,2081
76,162,75363,1.432,14.0,16.0,30.0,30,34,95.432,0,2017,2081
77,163,41907,2.0,13.0,22.0,35.0,33,25,95.0,0,2017,2081
78,164,22227,2.0,18.0,21.0,39.0,33,21,95.0,0,2017,2081
79,165,62571,2.0,11.0,16.0,27.0,32,34,95.0,0,2017,2081
80,165,19029,2.0,13.0,16.0,29.0,28,36,95.0,0,2017,2081
81,165,64539,2.0,13.0,16.0,29.0,29,35,95.0,0,2017,2081
82,168,75609,1.099,14.0,10.0,24.0,30,39,94.09899999999999,0,2017,2081
83,169,61341,2.0,13.0,18.0,31.0,30,31,94.0,0,2017,2081
84,169,49779,2.0,14.0,18.0,32.0,34,26,94.0,0,2017,2081
85,171,66507,2.0,11.0,17.0,28.0,41,23,94.0,0,2017,2081
86,172,43875,1.901,16.0,15.0,31.0,24,37,93.90100000000001,0,2017,2081
87,173,29361,1.8019999999999998,17.0,16.0,33.0,28,31,93.802,0,2017,2081
88,174,25425,1.7690000000000001,15.0,22.0,37.0,18,37,93.76899999999999,0,2017,2081
89,175,70935,1.7690000000000001,13.0,15.0,28.0,38,26,93.76899999999999,0,2017,2081
