TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
332,62,40431,2.0,18.0,19.0,37.0,37,36,112.0,1,2017,2081
333,63,27639,2.0,19.0,21.0,40.0,35,34,111.0,1,2017,2081
334,63,64047,2.0,11.0,21.0,32.0,39,38,111.0,1,2017,2081
335,65,68475,2.0,10.0,17.0,27.0,38,44,111.0,1,2017,2081
336,66,68721,1.7990000000000002,14.0,19.0,33.0,37,39,110.79899999999999,1,2017,2081
337,67,85941,2.0,10.0,18.0,28.0,32,48,110.0,1,2017,2081
338,68,82989,2.0,15.0,15.0,30.0,38,40,110.0,1,2017,2081
339,69,49533,1.33,21.0,23.0,44.0,34,30,109.33,1,2017,2081
340,70,85695,1.33,14.0,18.0,32.0,33,43,109.33,1,2017,2081
341,71,46581,2.0,15.0,17.0,32.0,40,35,109.0,1,2017,2081
342,72,14601,1.67,15.0,18.0,33.0,35,39,108.67,1,2017,2081
343,73,83235,1.432,16.0,17.0,33.0,34,40,108.432,1,2017,2081
344,74,58881,2.0,13.0,20.0,33.0,32,41,108.0,1,2017,2081
345,75,16569,2.0,18.0,19.0,37.0,34,35,108.0,1,2017,2081
346,76,77823,2.0,13.0,17.0,30.0,38,38,108.0,1,2017,2081
347,77,40185,2.0,12.0,15.0,27.0,35,44,108.0,1,2017,2081
348,78,36987,2.0,15.0,14.0,29.0,36,41,108.0,1,2017,2081
349,79,54453,2.0,16.0,13.0,29.0,31,46,108.0,1,2017,2081
350,80,53715,1.901,11.0,20.0,31.0,41,34,107.90100000000001,1,2017,2081
351,81,43629,1.901,20.0,24.0,44.0,32,30,107.90100000000001,1,2017,2081
352,82,55437,2.0,12.0,18.0,30.0,35,40,107.0,1,2017,2081
353,83,44613,1.901,15.0,19.0,34.0,30,41,106.90100000000001,1,2017,2081
354,84,26163,1.901,13.0,21.0,34.0,30,41,106.90100000000001,1,2017,2081
355,85,74625,1.901,14.0,19.0,33.0,32,40,106.90100000000001,1,2017,2081
