"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
3.06.2020, 5.06.2020, 9.06.2020
Nepřijatí uchazeči
zveřejněno dne 17.06.2020
""Výsledky přijímacích zkoušek pro školní rok 2020/2021, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
171.,46053,"95,000","2,000",18,14,33,28
172.,50981,"95,000","2,000",12,12,35,34
173.,42469,"94,890","1,890",16,18,36,23
174.,61061,"94,890","1,890",14,16,33,30
175.,79205,"94,557","1,557",16,14,31,32
Stránka 4 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
176.,28581,"94,553","1,553",18,16,32,27
177.,18053,"94,443","1,443",12,20,33,28
178.,17157,"94,000","2,000",12,20,36,24
179.,16037,"94,000","2,000",12,18,35,27
180.,92869,"94,000","2,000",16,14,40,22
181.,44485,"94,000","2,000",8,12,36,36
182.,36197,"93,890","1,890",10,20,32,30
183.,26341,"93,890","1,890",16,18,34,24
184.,38885,"93,670","1,670",12,18,31,31
185.,31717,"93,220","1,220",16,14,37,25
186.,64421,"93,110","1,110",16,12,36,28
187.,64645,"93,000","2,000",10,20,42,19
188.,45829,"93,000","2,000",22,14,25,30
189.,22757,"92,780","1,780",18,18,37,18
190.,77413,"92,670","1,670",12,18,28,33
191.,52773,"92,557","1,557",8,20,28,35
192.,64869,"92,557","1,557",10,14,36,31
193.,38213,"92,000","2,000",12,18,32,28
194.,38661,"92,000","2,000",18,14,38,20
195.,73157,"92,000","2,000",12,12,39,27
196.,94213,"91,777","1,777",18,12,38,22
197.,47845,"91,667","1,667",12,16,32,30
198.,14469,"91,000","1,000",14,20,30,26
199.,80773,"90,890","1,890",14,18,21,36
200.,33285,"90,890","1,890",16,14,30,29
201.,97125,"90,777","1,777",16,14,31,28
202.,43813,"90,557","1,557",10,18,31,30
203.,27685,"90,000","2,000",18,12,36,22
204.,21637,"89,890","1,890",16,16,26,30
205.,31269,"89,890","1,890",8,14,31,35
206.,16933,"89,667","1,667",8,20,31,29
Stránka 5 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
207.,46725,"89,553","1,553",12,14,37,25
208.,19621,"89,000","2,000",16,18,21,32
209.,90405,"89,000","2,000",12,16,24,35
210.,25445,"89,000","2,000",10,12,39,26
211.,44709,"88,890","1,890",10,10,31,36
212.,23877,"88,780","1,780",14,18,28,27
213.,78085,"88,110","1,110",10,18,31,28
214.,50533,"88,000","2,000",14,20,24,28
215.,29253,"88,000","2,000",12,14,27,33
215.,78533,"88,000","2,000",12,14,27,33
217.,26565,"88,000","2,000",10,14,38,24
218.,87941,"87,890","1,890",8,16,40,22
219.,58821,"87,670","1,670",10,20,25,31
220.,10213,"87,670","1,670",16,12,32,26
221.,27461,"87,000","2,000",16,16,22,31
222.,66437,"86,890","1,890",12,18,25,30
223.,66885,"86,330","1,330",14,8,31,32
224.,19397,"86,000","2,000",16,16,29,23
225.,18277,"86,000","2,000",16,14,24,30
226.,58373,"86,000","2,000",6,14,35,29
227.,73829,"86,000","2,000",14,12,32,26
228.,12677,"85,890","1,890",14,16,27,27
229.,77637,"85,667","1,667",12,18,28,26
230.,24101,"85,000","2,000",8,16,28,31
231.,63525,"85,000","2,000",10,12,31,30
232.,16485,"85,000","2,000",16,8,26,33
233.,61957,"84,000","2,000",16,20,27,19
234.,54565,"84,000","2,000",12,14,34,22
235.,24997,"84,000","2,000",10,14,30,28
236.,95333,"84,000","2,000",16,8,32,26
237.,88389,"83,780","1,780",10,18,22,32
Stránka 6 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
238.,77861,"83,670","1,670",8,16,28,30
239.,60613,"83,443","1,443",12,16,23,31
240.,61509,"82,890","1,890",14,16,25,26
241.,18725,"82,890","0,890",10,14,23,35
242.,46501,"82,000","2,000",12,12,26,30
243.,83013,"82,000","2,000",8,10,31,31
244.,80325,"81,890","1,890",18,16,20,26
245.,89509,"81,780","1,780",16,16,27,21
246.,86597,"81,333","1,333",10,16,26,28
246.,69349,"81,333","1,333",10,16,32,22
248.,94661,"81,223","1,223",12,12,31,25
249.,94885,"81,000","2,000",8,16,29,26
250.,53669,"81,000","2,000",14,14,24,27
251.,39109,"80,890","1,890",12,16,27,24
252.,46277,"80,777","1,777",12,18,28,21
253.,14021,"80,670","1,670",18,14,36,11
254.,39781,"80,443","1,443",20,8,21,30
255.,53893,"80,330","1,330",8,14,28,29
256.,44933,"80,000","2,000",16,18,24,20
257.,33733,"80,000","2,000",8,16,24,30
258.,50309,"79,890","1,890",16,18,23,21
259.,85029,"79,890","1,890",12,16,27,23
260.,21189,"79,000","2,000",12,18,29,18
261.,93093,"79,000","2,000",18,14,25,20
262.,33957,"79,000","1,000",14,14,24,26
263.,72037,"78,667","1,667",6,14,34,23
264.,80549,"78,000","2,000",12,14,29,21
265.,30821,"78,000","2,000",10,14,31,21
266.,14693,"77,890","1,890",12,16,19,29
267.,39333,"77,890","1,890",12,12,23,29
268.,11781,"77,780","1,780",12,16,36,12
Stránka 7 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
VP","Body
OSP","Body
ČJL","Body
M"
269.,55237,"77,667","1,667",16,16,26,18
270.,20517,"77,667","1,667",18,14,22,22
