"Výsledky přijímacího řízení - Gymnázium, Praha 5, Nad Kavalírkou 1
16.04.2019, 17.04.2019
Nepřijatí uchazeči
zveřejněno dne 30.04.2019
""Výsledky přijímacích zkoušek pro školní rok 2019/2020, které jsou zveřejněné na
webových stránkách školy, korespondují s oficiálními výsledky ve vývěsce
Gymnázia, Praha 5, Nad Kavalírkou 1.""",,,,,,,
"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
174.,20389,"88,000","2,000",16,14,30,26
175.,39147,"87,890","1,890",16,16,36,18
176.,97229,"87,780","1,780",14,16,28,28
177.,37339,"87,220","1,220",22,12,28,24
Stránka 4 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
178.,94291,"87,000","2,000",12,14,33,26
179.,75081,"87,000","2,000",16,12,37,20
180.,51577,"87,000","2,000",12,12,35,26
180.,93387,"55,610","1,610",16,12,,26
182.,89997,"86,333","1,333",22,12,31,20
183.,13383,"86,000","2,000",14,18,34,18
184.,19485,"86,000","2,000",22,14,23,25
185.,42311,"86,000","2,000",20,12,29,23
185.,16321,"86,000","2,000",20,12,33,19
187.,68075,"86,000","2,000",18,12,26,28
188.,98811,"86,000","2,000",16,12,25,31
189.,58809,"86,000","2,000",22,8,34,20
190.,44345,"85,890","1,890",18,10,28,28
191.,71465,"85,780","1,780",14,12,35,23
192.,64007,"85,777","1,777",14,12,29,29
193.,99037,"85,000","2,000",12,16,31,24
194.,68527,"85,000","2,000",10,14,33,26
195.,25361,"85,000","2,000",8,14,37,24
196.,95195,"85,000","2,000",4,10,37,32
197.,30785,"85,000","2,000",16,8,27,32
197.,70561,"85,000","2,000",16,8,28,31
199.,96099,"84,890","1,890",20,10,34,19
200.,32141,"84,000","2,000",22,16,26,18
201.,11575,"84,000","2,000",16,14,30,22
202.,79375,"84,000","2,000",14,12,31,25
203.,10219,"84,000","2,000",18,10,34,20
204.,18581,"84,000","2,000",16,10,27,29
205.,36887,"83,890","1,890",14,8,30,30
206.,23779,"83,890","1,890",20,6,35,21
207.,15869,"83,667","1,667",16,10,30,26
208.,26491,"83,000","2,000",10,16,28,27
Stránka 5 z 11,,,,,,,

"Pořadí-
GNK",KÓD,"Body
celkem","Body
ZŠ","Body
všeob","Body
st. p.","Body
č.j.","Body
mat."
209.,27621,"82,890","1,890",18,10,28,25
210.,63555,"82,667","1,667",16,14,25,26
211.,29203,"82,110","1,110",18,10,28,25
212.,16547,"82,000","2,000",12,16,30,22
213.,58131,"82,000","2,000",16,8,33,23
214.,55645,"81,780","1,780",12,14,30,24
215.,56775,"81,667","1,667",22,10,28,20
216.,42763,"81,333","1,333",14,10,29,27
217.,35305,"81,000","2,000",16,16,32,15
218.,76437,"81,000","2,000",10,16,33,20
219.,59261,"81,000","2,000",14,14,30,21
220.,57227,"80,890","1,890",16,12,24,27
