Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
181,t,Ż3,22,45,"1,2",57,398.,nepřijat/a
r82,2,46,48,94,12,L06,7.-9,přijat/a

183,t,31,46,77,LZ,89,"1,32",nepřiiat/a
1.84,2,Żt,31,52,8,60,377,nepřiiat/a
185,2,43,42,85,L2,97,64.-65,nepřiiat/a
189,2,40,42,82,I2,94,89.-91,nepřiiat/a
190,2,44,32,76,t2,88,150,nepřĺiat/a
191,I,27,Ż5,52,tt,63,363,nepřiiat/a
192,2,35,34,69,12,81,"21,4.-216",nepřiiat/a
193,z,43,34,77,1.2,89,139,nepřijat/a
194,2,40,35,75,12,87,160.-161.,nepřijat/a
195,2,28,33,61,12,73,289,nepřĺiat/a
196,"1,",25,3Ż,57,12,69,3Ż3,nepřiiat/a
197,I,34,26,60,T2,72,299,nepřiiat/a
198,2,23,29,52,10,62,37r,nepřiiat/a
199,2,33,35,68,T2,80,223,nepřijat/a
200,2,38,29,67,12,79,237,nepřijat/a
"201,",2,27,34,61,12,73,287.-288,nepřijat/a
202,2,34,34,68,1.2,80,224.-225,nepřijat/a
203,t,33,34,67,12,79,235.,nepřijat/a
204,I,18,32,50,9,59,385,nepřiiat/a
205,I,36,36,72,12,84,"1,87",nepřiiat/a
206,"1,",Ż7,13,40,10,50,42r.,nepřĺiat/a
zo7,2,33,40,73,IŻ,85,171..,nepřijat/a
208,2,42,44,86,10,96,70.,nepřijat/a
21_1,2,30,40,70,12,82,206.,nepřijat/a
21.2,2,39,28,67,12,79,Ż38.,nepřijat/a
213,2,38,42,80,LZ,92,103,nepřiiat/a
2t4,2,Ż7,44,7I,t2,83,199,nepřiiat/a
216,1,0,0,0,11,TT,,nekonal/a
217,1,27,34,61,T2,73,287.-288,nepřijat/a
218,2,35,20,55,t2,67,343,nepřijat/a
219,2,23,19,42,7,49,423,nepřijat/a
220,1.,41,34,75,9,84,178.,nepřijat/a
22L,t,38,36,74,IŻ,86,168,nepřiiat/a
222,2,44,36,80,t2,92,107.-108,nepřĺiat/a
223,I,44,36,80,12,92,107.-108,nepřiiat/a
224,2,40,3L,"71,",12,83,202,nepřijat/a
226,1.,47,46,93,12,105,13.,pYitat/a
227,"1,",36,29,65,TZ,77,253.-255,nepřiiat/a
Ż28,2,24,25,49,L0,59,386,nepřĺiat/a
229,2,45,42,87,1_Z,99,50,přiiat/a
230,t,42,4t,83,12,95,82.-83,nepřiiat/a
23r,1.,40,42,82,t2,94,89.-91,nepřijat/a
Ż32,"1,",37,48,85,T2,97,59,přijat/a
233,7,45,33,78,"1,2",90,"1""30.",nepřĺjat/a
234,Ż,25,37,62,8,70,"31,4.",nepřijat/a
23s,"1,",26,37,63,"1,1,",74,276.,nepřiiat/a
