Výsledek 1.kola přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4L-Rl81 Gymnázia, Praha 6, Nad Alejí L952",,,,,,,,
l.term ín t8.4.2oL7 a 2.termín 20.4.2oL7,,,,,,,,
V souladu s 5 609 školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl,,,,,,,,
"vzdělávat se v Gymn ázlu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli",,,,,,,,
"školy, a to nejpozději do L0 pracovních dnů ode dne zveřejnění seznamu (17.5.2017\.",,,,,,,,
NepotvrdĹli uchazeč/uchazečka nebo zákonný zástupce nezletilého uchazeče/nezletilé,,,,,,,,
"uchazečky odevzdáním zápisového lístku úmysl vzdělávat Se Ve středníškole, zanĺl<ají",,,,,,,,
posledním dnem lhůty právní účinkyrozhodnutí o přijetítohoto uchazeče ke vzdělávánív,,,,,,,,
dané středníškole. Nezletilého uchazeče/nezletĺlouuchazečku zastupuje zákonný zástupce,,,,,,,,
"V rozsahu, v jakém nemá nezletilý/nezletilá procesnízpůsobilost.",,,,,,,,
ěíslo,,Či,,Body,Body Zš,Celkem,Umĺstění,Výsledek
zkoušky,Termín,,M,zkouška,,,,př.řízení
541,"1,",29,1-4,43,12,55,409,nepřijat/a
542,2,30,32,62,9,7t,303,nepřiiat/a
543,2,26,36,62,10,7Ż,296,nepřiiat/a
544,2,33,34,67,"1,t",78,24r,nepřiiat/a
545,2,45,44,89,12,101,32.-35,přiiat/a
546,2,46,39,85,T2,97,68.-69,nepřiĺat/a
547,7,10,15,25,I,33,451,nepřijat/a
548,2,35,46,81,12,93,97,nepřijat/a
549,T,24,34,5B,tt,69,322.,nepřijat/a
551,1.,46,48,94,tz,106,7.-9,přiiat/a
554,2,29,30,59,t2,"71,",309.-310,nepřiiat/a
556,2,26,34,60,12,72,298,nepřijat/a
557,1,39,44,83,1.2,95,77,nepřijat/a
565,2,43,43,86,12,98,56,přijat/a
s66,2,35,25,60,tt,7t,306.,nepřiiat/a
567,I,39,35,74,t2,86,169.-r70.,nepřiiat/a
568,"1,",24,24,48,5,53,412.,nepřijat/a
569,1.,T2,18,30,5,35,450.,nepřĺjat/a
570,T,43,47,90,12,1.O2,25.,přijat/a
57I,2,35,30,65,12,77,"251,.-252",nepřiiat/a
572,I,47,47,94,L2,106,10.,přiiat/a
573,2,47,43,90,10,100,38,přiiat/a
574,2,31,22,53,9,62,368,nepřiiat/a
575,2,44,34,78,12,90,t29,nepřiiat/a
576,"1,",35,30,6s,7Z,77,"251,-252",nepřiiat/a

577,2,25,Ż8,53,1.1.,64,360,nepřiiat/a
578,I,34,24,58,t2,70,317,nepřiiat/a
579,2,29,26,55,12,67,340,nepřiiat/a
s80,2,33,30,63,9,72,295,nepřijat/a
581,t,49,44,93,1.2,L05,1.4,přijat/a
582,2,40,40,80,9,89,"131,",nepřijat/a
s83,1,44,4T,85,1.2,97,66.-67.,nepřijat/a
584,z,30,"21,",5L,"1,1,",62,373.,nepřijat/a
585,2,45,43,88,"t1,",99,49,přijat/a
586,1.,37,35,7Z,12,84,188.-189,nepřijat/a
s87,2,36,40,76,12,88,1.44.-r45,nepřiiat/a
588,L,42,48,90,T2,102,23.-24,přiiat/a
s89,2,4t,27,68,10,78,Ż40,nepřiiat/a
590,1,32,28,60,9,69,320,nepřijat/a
591,t,23,3Ż,55,12,67,338.,nepřijat/a
592,2,25,30,55,L0,65,352.,nepřĺjat/a
593,I,41,42,83,LZ,95,79.-81.,nepřiiat/a
594,t,27,34,6I,10,7t,304,nepřĺiat/a
595,"1,","1,4",t2,26,Í,37,448,nepřiiat/a
s96,2,34,38,72,t2,84,186,nepřijat/a
597,2,1.4,t6,30,1.,31,454,nepřijat/a
s98,2,22,15,37,7,44,435,nepřijat/a
599,2,15,1.4,29,3,32,452,nepřijat/a
600,z,35,2L,56,1.2,68,333.,nepřijat/a
601,2,4L,39,80,"1,2",92,104.-105.,nepřijat/a
602,I,40,28,68,T2,80,Ż27,nepřiiat/a
603,2,17,10,27,5,32,453,nepřĺiat/a
604,t,Ż7,18,45,6,51,417,nepřĺiat/a
60s,1.,38,36,74,10,84,179,nepřijat/a
606,1.,34,24,58,9,67,336.,nepřijat/a
607,2,33,33,66,6,72,292.,nepřijat/a
608,1.,26,Ż2,48,10,58,392,nepřijat/a
"61,r",2,z4,35,59,5,64,358.,nepřiiat/a
612,t,45,46,91,L2,103,18.-19,přiiat/a
613,1,35,34,69,LZ,8L,"Żt4,-2t6.",nepřĺiat/a
614,2,36,29,65,12,77,253.-255,nepřijat/a
616,I,18,27,45,7,52,416.,nepřijat/a
6t7,1,18,22,40,4,44,432.,nepřijat/a
618,2,40,35,75,t2,87,160.-16L,nepřiiat/a
619,2,38,45,83,11.,94,85,nepřiiat/a
"621,",1.,39,30,69,t2,81,219,nepřijat/a
622,2,25,18,43,1.r,54,4t0,nepřijat/a
623,T,35,34,69,12,81,2L4.-Ż1'6.,nepřijat/a
627,7,44,40,84,12,96,76,nepřijat/a
628,t,L9,15,34,6,40,443,nepřiĺat/a
629,1.,37,35,7Ż,T2,84,188.-189,nepřiiat/a
630,T,46,45,91,1.1.,ro2,22,přiiat/a
632,1,44,33,77,1.2,89,"1,40",nepřijat/a
635,2,3Z,24,56,12,68,332.,nepřĺjat/a
"Váženírodiče a uchazeči,",,,,,,,,
podle $60e odst. Lzák.56l/2004,,,Sb' ředitel školy zveřejňuje,,seznam přijatých uchazečů.Zákonným,,,
zástu pců m nepři iatých uchazečůbude odesláno rozhodnutí o nepřijetí.,,,,,,,,

"Nahlédnout do spisu, převzít si rozhodnutío přijetíči nepřijetí, případně odevzdat zápisový lístek bude",
možnév úterý 2.5.20L7 od L5.30 do 18.00 hod.,
Podle 560e odst. t zák. 56L/20o4 Sb. ředitel školy zveřejňuje výsledky hodnocení prvního (číslozkoušky,
"101) a posledního (číslozkoušky t2o,352 a a16) přijatého uchazeče.",
"Vzhledem k časovénáročnosti přijímacího ŕízeníprosím rodiče těch uchazečů, kteřímajíinformace o",
"přijetí na jinou středníškolu a ke studiu na našem gymnáziu nenastoupí, aby byli tak laskavía poŽádali",
"elektronicky (iiri,benda'@a!ei'c7) o zastavenísprávního řízení o přijetí ke studiu na našem gymnáziu.",
"Tímto úkonem uvolníte místo dalšímuchazečům, kteřína naše gymnázium nastoupit chtějí, ale dle",
aktuálního pořadí nemohou být přija ti. Za toto dobrovoln,o předem děkujeme.
"V Praze, dne 29.4.2017:",Čís.jedn.: t547 /2oI7
,Ä;n*
,ředitelgymnázia
