Wsledky pfijimadhoffzenfv 1.kole pfijimacich zkougek,,,,,,,,
"na osmilete studium oboru 79-41-1(181 Gymnazia, Praha 6, Nad Alejf 1952",,,,,,,,
1.termin 13.4.2018 a 2.termin 17.4.2018,,,,,,,,
V souladu s § 60g gkolskeho zAkona potyrdi prijatf uchazeCl/uchazaky svuj Cimysl vzdelavat se v,,,,,,,,
"Gymnaziu, Praha 6, Nad Alejf 1952 odevzdanim zapisoveho listku rediteli gkoly, a to nejpozdeji",,,,,,,,
do 10 pracovnich dnO ode dne zver.ejneni seznamu (16.5.2018). Nepotyrdi-li uchazeeluchazee'ka,,,,,,,,
,,,,,,,,
neoo zaKonny zastupce nezietiteno ucnazece/nezietne ucnazecky odevzdanim zapisoveho Iistku,,,,,,,,
"Cimysl vzdelAvat se ve sti=edni gkole, zanikaji poslednim dnem IhCity pravni alnky rozhodnuti o",,,,,,,,
AEU tohoto uchaze6e ke vzdelavani v dane sdedni gkole. Nezletileho uchaze6e/nezletilou,,,,,,,,
"uchazeau zastupuje z6konnY zastupce v rozsahu, v jakem nema nezletilY/nezletila procesni",,,,,,,,
zpüsobilost.,,,,,,,,
,,,,,,,,
disi,,,,Body,Body,,",",Vysledek
",o",Termin,Cj,M,,,Celkem,Umistem,
zkousky,,,,zkouSka,ZS,,,pf.fizeni
191,1,28,30,58,12,70,225,neprijat/a
192,1,31,40,71,12,83,114,neprijat/a
193,2,16,13,29,9,38,408,neprijat/a
,,,,,,,,
194,2,34,27,61,12,73,203,neprijat/a
195,2,27,19,46,10,56,325,neprijat/a
197,1,25,16,41,12,53,347.-348.,neprijat/a
198,2,25,16,41,12,53,347.-348.,neprijat/a
199,1,39,23,62,12,74,193,neprijat/a
200,1,23,33,56,5,61,293,nepfijat/a
202,2,45,47,92,12,104,12,prijat/a
203,1,40,41,81,12,93,49,prijat/a
204,1,39,11,50,12,62,292,neprijat/a
205,1,43,31,74,11,85,98,neprijat/a
206,1,27,34,61,12,73,198,neprijat/a
208,1,48,43,91,12,103,16,prijat/a
210,2,19,20,39,11,50,365,neprijat/a
211,1,32,33,65,11,76,170,neprijat/a
212,1,39,46,85,12,97,29,prijat/a
213,1,22,17,39,10,49,372,neprijat/a
214,2,35,30,65,12,77,166,neprijat/a
215,1,39,33,72,6,78,151,neprijat/a
216,2,36,31,67,12,79,145.-146.,neprijat/a
218,1,35,25,60,12,72,210.-211.,neprijat/a
220,2,41,36,77,12,89,81,neprijat/a
221,2,40,22,62,11,73,197,neprijat/a
223,2,42,25,67,12,79,150,neprijat/a
224,2,32,15,47,10,57,320,neprijat/a
225,1,32,20,52,12,64,280,neprijat/a
226,1,41,37,78,12,90,69.-70.,neprijat/a
227,2,29,36,65,12,77,162.-163.,neprijat/a
228,2,27,18,45,5,50,362,neprijat/a
229,1,31,21,52,12,64,278.-279.,neprijat/a
230,1,16,13,29,6,35,415,neprijat/a
231,2,11,4,15,3,18,432,neprijat/a
233,2,45,34,79,12,91,64.-65.,neprijat/a
235,1,31,25,56,10,66,256,neprijat/a
237,1,15,17,32,12,44,391,neprijat/a
238,2,44,41,85,12,97,32,prijat/a
240,1,45,39,84,11,95,37,prijat/a
241,2,40,29,69,9,78,153,neprijat/a
242,1,39,41,80,12,92,58,prijat/a
243,2,32,7,39,10,49,373,neprijat/a
244,2,18,8,26,5,31,421,neprijat/a
245,1,34,26,60,12,72,209,neprijat/a
246,1,37,29,66,12,78,157.-159.,neprijat/a
247,1,41,37,78,12,90,69.-70.,neprijat/a
249,1,42,40,82,12,94,44.-45.,prijat/a
250,1,35,32,67,12,79,145.-146.,neprijat/a
255,2,45,38,83,12,95,42,prijat/a
256,1,,,0,12,12,problha PIA,
257,1,33,32,65,12,77,164.-165.,neprijat/a
258,1,35,39,74,12,86,94,neprijat/a
259,2,20,13,33,2,35,414,neprijat/a
260,2,14,12,26,3,29,422,neprijat/a
261,2,44,46,90,12,102,17,prijat/a
,,,,,,,,
263,1,29,14,43,12,55,332,neprijat/a
265,2,25,13,38,7,45,387,neprijat/a
266,1,33,24,57,12,69,240,neprijat/a
267,2,44,38,82,12,94,46,prijat/a
269,1,31,28,59,11,70,223,neprijat/a
270,1,33,24,57,12,69,237.-239.,neprijat/a
273,2,35,37,72,12,84,104,neprijat/a
274,2,33,30,63,11,74,189,neprijat/a
276,1,32,21,53,12,65,269,neprijat/a
278,2,29,21,50,12,62,289,neprijat/a
280,2,19,13,32,12,44,392,neprijat/a
281,1,45,48,93,12,105,9,prijat/a
282,1,35,15,50,12,62,291,neprijat/a
283,1,38,39,77,12,89,77.-78.,neprijat/a
284,2,39,38,77,12,89,79.-80.,neprijat/a
285,2,39,32,71,12,83,120,neprijat/a
286,1,34,24,58,12,70,228,neprijat/a
287,1,27,19,46,8,54,334,neprijat/a
288,1,44,19,63,12,75,188,neprijat/a
289,2,23,20,43,9,52,349.-350.,neprijat/a
290,1,31,32,63,12,75,185,neprijat/a
291,1,29,16,45,11,56,326.-327.,neprijat/a
292,1,42,30,72,12,84,108.-109.,neprijat/a
293,2,42,43,85,12,97,31,prijat/a
294,2,40,39,79,12,91,63,neprijat/a
295,1,,,0,2,2,,ukonoil/a PR
296,1,37,30,67,11,78,154,neprijat/a
297,1,31,21,52,11,63,282,neprijat/a
298,1,,,0,10,10,probih6 PR,
299,2,46,38,84,12,96,36,prijat/a
300,2,39,26,65,12,77,167,neprijat/a
302,1,31,26,57,11,68,243,neprijat/a
303,1,33,23,56,12,68,249,neprijat/a
304,1,25,26,51,9,60,305,neprijat/a
305,1,35,31,66,11,77,161,neprijat/a
306,1,45,31,76,12,88,86,neprijat/a
308,1,22,15,37,11,48,378,neprijat/a
309,2,43,35,78,12,90,72,neprijat/a
310,2,41,32,73,10,83,112,neprijat/a
311,1,14,23,37,12,49,374,neprijat/a
312,1,25,20,45,6,51,355,neprijat/a
314,2,35,35,70,12,82,125.-126.,neprijat/a
315,2,18,24,42,9,51,357,neprijat/a
316,1,39,38,77,12,89,79.-80.,neprijat/a
317,1,21,27,48,7,55,329,neprijat/a
318,2,23,22,45,12,57,322,neprijat/a
320,1,33,29,62,9,71,212,neprijat/a
321,1,,,0,12,12,,ukonoil/a Pk
322,1,31,25,56,12,68,247.-248.,neprijat/a
323,2,25,15,40,12,52,353,neptijat/a
327,1,34,29,63,12,75,186.-187.,neprijat/a
328,2,25,28,53,10,63,281,neprijat/a
,,,,,,,,
329,1,34,21,55,10,65,263,neprijat/a
330,1,22,14,36,4,40,401,neprijat/a
333,1,14,7,21,4,25,427,neprijat/a
335,2,28,35,63,12,75,184,neprijat/a
336,1,38,26,64,11,75,183,neprijat/a
337,1,39,30,69,12,81,132.433.,neprijat/a
