,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
d,'isk),,,,Body,,,,Vysledek
,,Termin,Cj,M,,Body Z',Celkem,Umisteni,
,zkousky,termin,czech,math,schoolexam,grades,Total,Poradi,IsAdmitted
195,,2,28,33,61,12,73,289,neprijat/a
196,,1,25,32,57,12,69,323,neprijat/a
197,,1,34,26,60,12,72,299,neprijat/a
198,,2,23,29,52,10,62,371,neprijat/a
199,,2,33,35,68,12,80,223,neprijat/a
200,,2,38,29,67,12,79,237,neprijat/a
201,,2,27,34,61,12,73,287.-288.,neprijat/a
202,,2,34,34,68,12,80,224.-225.,neprijat/a
203,,1,33,34,67,12,79,235,neprijat/a
204,,1,18,32,50,9,59,385,neprijat/a
205,,1,36,36,72,12,84,187,neprijat/a
206,,1,27,13,40,10,50,421,neprijat/a
207,,2,33,40,73,12,85,171,neprijat/a
208,,2,42,44,86,10,96,70,neprijat/a
211,,2,30,40,70,12,82,206,neprijat/a
212,,2,39,28,67,12,79,238,neprijat/a
213,,2,38,42,80,12,92,103,neprijat/a
214,,2,27,44,71,12,83,199,neprijat/a
216,,1,0,0,0,11,11,,nekonal/a
217,,1,27,34,61,12,73,287.-288.,neprijat/a
218,,2,35,20,55,12,67,343,neprijat/a
219,,2,23,19,42,7,49,423,neprijat/a
220,,1,41,34,75,9,84,178,neprijat/a
221,,1,38,36,74,12,86,168,neprijat/a
222,,2,44,36,80,12,92,107.-108.,neprijat/a
223,,1,44,36,80,12,92,107.-108.,neprijat/a
224,,2,40,31,71,12,83,202,neprijat/a
226,,1,47,46,93,12,105,13,prijat/a
227,,1,36,29,65,12,77,253.-255.,neprijat/a
228,,2,24,25,49,10,59,386,neprijat/a
229,,2,45,42,87,12,99,50,prijat/a
230,,1,42,41,83,12,95,82.-83.,neprijat/a
231,,1,40,42,82,12,94,89.-91.,neprijat/a
232,,1,37,48,85,12,97,59,prijat/a
233,,1,45,33,78,12,90,130,neprijat/a
234,,2,25,37,62,8,70,314,neprijat/a
235,,1,26,37,63,11,74,276,neprijat/a
236,,1,31,41,72,12,84,183,neprijat/a
237,,2,44,48,92,12,104,15.-16.,prijat/a
238,,1,35,41,76,12,88,143,neprijat/a
239,,1,42,40,82,12,94,93.-94.,neprijat/a
240,,2,35,37,72,11,83,196,neprijat/a
241,,2,42,35,77,12,89,136.-138.,neprijat/a
242,,2,18,34,52,10,62,369,neprijat/a
,,,,,,,,,
243,,2,26,23,49,11,60,379,neprijat/a
244,,2,48,48,96,12,108,4.-5.,prijat/a
245,,2,29,6,35,12,47,428,neprijat/a
246,,2,25,39,64,12,76,261,neprijat/a
747,,1,47,41,RR,17,inn,45 -47,rqiiat/a
248,,1,40,45,85,12,97,60,prijat/a
249,,1,22,21,43,3,46,429,neprijat/a
250,,2,38,39,77,12,89,134,neprijat/a
251,,1,37,30,67,11,78,242,neprijat/a
252,,2,45,44,89,12,101,32.-35.,prijat/a
254,,2,25,26,51,8,59,383,neprijat/a
255,,1,39,27,66,12,78,246,neprijat/a
256,,2,27,38,65,11,76,259,neprijat/a
257,,2,40,43,83,12,95,78,neprijat/a
258,,1,33,25,58,9,67,335,neprijat/a
259,,2,29,35,64,12,76,262,neprijat/a
260,,1,44,28,72,12,84,194,neprijat/a
261,,2,31,44,75,11,86,164,neprijat/a
262,,2,32,36,68,12,80,222,neprijat/a
263,,1,34,44,78,12,90,120,nephjat/a
264,,2,27,32,59,12,71,307.-308.,nepi1jat/a
265,,2,16,12,28,12,40,444,nepHjat/a
266,,1,21,31,52,6,58,388,neprijat/a
267,,2,29,35,64,10,74,275,neprijat/a
273,,2,27,32,59,12,71,307.-308.,neprijat/a
274,,1,42,34,76,12,88,148,neprijat/a
275,,1,40,37,77,12,89,135,neprijat/a
