Výsledky přijímacího řízenív 1.kole přijímacích zkoušek,,,,,,,,
"na osmileté studium oboru 79-4t-Kĺ81 Gymnázia, Praha 6, Nad Atejí L952",,,,,,,,
l.termín 13.4.2oL8 a 2.termín L7 .4.2oL8,,,,,,,,
V souladu s 5 60g školského zákona potvrdí přijatí uchazeči/uchazečky svůj úmysl vzdělávat se v,,,,,,,,
"Gymnáziu, Praha 6, Nad Alejí 1952 odevzdáním zápisového lístku řediteli školy, a to nejpozději",,,,,,,,
do L0 pracovních dnů ode dne zveřejněníseznamu (16.5.2018).NepotvrdĹli uchazeč/uchazečka,,,,,,,,
nebo zákonný zástupce nezletilého uchazeče/nezletiléuchazečky odevzdáním zápisového lístku,,,,,,,,
"úmysl vzdělávat se Ve střední škole, zanikají posledním dnem lhůty právní účinkyrozhodnutío",,,,,,,,
přijetítohoto uchazeče ke vzdělávánív dané středníškole. Nezletilého uchazeče/nezletĺlou,,,,,,,,
"uchazečku zastupuje zákonný zástupce v rozsahu, v jakém nemá nezletilý/nezletĺlá procesní",,,,,,,,
způsobilost.,,,,,,,,
číslo,,,,Body,,,,
,,,,,,,,Výsledek
,Terrnĺn,,,zkouška,,,Umístění,př.řízení
L77,2,26,L3,39,1L,50,366,nepřijaUa
L79,2,46,36,82,t2,94,47.,přiiaUa
180,2,39,25,64,L2,76,179,nepřiiat/a
181,2,46,42,88,"1,2",100,19,přiiaVa
L82,"1""",36,35,7t,T2,83,"1,17",nepřĺjat/a
183,2,26,Ż8,54,12,66,2s8.,nepřijaVa
185,I,32,28,60,7T,7I,21.4.,nepřijaUa
186,2,33,2I,54,17,65,264.,nepřiiat/a
L87,2,25,26,5L,10,61,296.,nepřiiat/a
188,2,43,44,87,12,99,23.-25.,přijat/a
189,"1,",31,22,53,12,65,267.-268.,nepřijat/a
190,T,36,28,64,72,76,776,nepřijat/a
L9t,t,28,30,58,12,70,225,nepřijaVa
192,L,31,40,7L,12,83,774,nepřijaUa
193,2,16,13,29,9,38,408,nepřijaVa

L94,2,34,27,6t,IZ,73,203,nepřijaua
195,2,27,T9,46,10,s6,325.,nepřijaUa
L97,1,z5,"1,6",4T,TZ,53,347.-348.,nepřijat/a
r.98,2,25,"1,6",41.,TZ,53,347.-348.,nepřiiaUa
199,1_,39,23,62,T2,74,193,nepřiiat/a
200,L,23,33,56,5,61,293,nepřiiat/a
202,2,45,47,92,72,LO4,L2.,přiiaVa
203,L,40,4t,81,12,93,49.,přiiaVa
204,"1,",39,L7,50,72,62,292.,nepřiiaVa
205,I,43,31,74,II,85,98.,nepřiiaVa
206,"1,",27,34,61,L2,73,198.,nepřijat/a
208,t,48,43,91,t2,103,"1,6",přijaVa
2ro,2,19,20,39,TI,50,365.,nepřijaVa
2tr,1.,32,33,65,LI,76,170.,nepřiiat/a
212,1,39,46,85,T2,97,29,přiiaUa
213,"1,",22,L7,39,L0,49,372.,nepřiiaUa
2r4,2,35,30,65,7Ż,77,166.,nepřijaVa
275,t,39,33,72,6,78,151.,nepřijat/a
216,2,36,3L,67,L2,79,L45.-146.,nepřijaUa
218,t,35,25,60,L2,7Z,zLo.-Ż1'L.,nepřijat/a
220,2,4t,36,77,L2,89,81.,nepřijaUa
