ID,termin,czech,math,school,"Body
ZÅ grades",Celkem,Poradi
357,2,42,32,74,11,85,121
358,1,48,44,92,11,103,14
359,2,21,23,44,12,56,311
360,2,29,17,46,9,55,319
361,2,30,37,67,11,78,166
362,2,22,15,37,12,49,358
363,2,35,21,56,11,67,233
364,1,32,19,51,12,63,260.-261.
365,2,18,20,38,11,49,356
366,1,14,14,28,7,35,405
367,1,25,15,40,12,52,344
368,1,28,21,49,12,61,274
369,1,35,25,60,12,72,205
370,2,44,39,83,12,95,53
371,1,35,9,44,12,56,317
372,1,34,21,55,12,67,235
373,2,11,10,21,6,27,430
374,1,46,37,83,12,95,55.-56.
375,1,35,45,80,12,92,68
,,,,,,,
376,2,41,39,80,12,92,70.-71.
377,1,35,33,68,12,80,157.-159.
378,2,34,27,61,12,73,198.-199.
379,2,26,25,51,12,63,257
380,1,33,29,62,12,74,193
381,1,40,40,80,12,92,69
382,1,45,37,82,12,94,59.-60.
383,1,33,32,65,12,77,172.-173.
384,1,23,19,42,10,52,340
385,1,32,17,49,12,61,275
386,2,21,22,43,0,43,381
387,1,46,44,90,12,102,21
388,1,32,38,70,12,82,142
389,2,45,39,84,12,96,45
390,1,34,27,61,12,73,198.-199.
391,1,43,32,75,12,87,115
392,2,28,27,55,8,63,255
393,1,0,37,37,12,49,probÃ­hÃ¡ PÅ˜
394,1,44,27,71,12,83,136.-139.
395,1,26,23,49,12,61,272.-273.
396,1,37,35,72,12,84,124.-125.
397,2,37,39,76,10,86,116
398,1,32,28,60,11,71,208
399,2,21,16,37,0,37,402
400,1,46,46,92,12,104,12
401,2,47,26,73,11,84,123
402,2,27,29,56,12,68,227
403,2,48,42,90,12,102,23.-24.
404,2,30,20,50,4,54,324
405,2,23,18,41,11,52,343
406,2,30,27,57,11,68,225
407,1,24,21,45,7,52,336
408,1,25,18,43,8,51,346
409,1,38,31,69,12,81,154
410,2,34,24,58,6,64,247
411,2,43,33,76,12,88,105.-106.
412,2,26,19,45,11,56,310
413,1,37,35,72,12,84,124.-125.
414,2,20,21,41,11,52,342
415,2,36,25,61,11,72,202
416,2,39,26,65,11,76,178
428,2,42,41,83,12,95,50.-51.
429,2,45,35,80,12,92,75.-76.
430,1,24,20,44,11,55,320
431,2,45,38,83,12,95,54
432,1,18,17,35,7,42,388
433,2,39,23,62,12,74,195
434,2,31,31,62,11,73,196
435,1,16,11,27,6,33,413
436,1,42,33,75,11,86,117
437,1,29,25,54,10,64,248
438,1,31,35,66,12,78,167
,,,,,,,
439,2,22,13,35,11,46,371
440,2,23,27,50,9,59,284
441,1,48,48,96,12,108,3.-4.
442,1,20,15,35,8,43,384
443,1,39,29,68,12,80,160.-161.
444,2,32,37,69,11,80,155
445,1,30,23,53,6,59,283
446,2,26,20,46,12,58,294
447,1,35,36,71,10,81,150
448,2,26,19,45,4,49,352
449,2,19,12,31,12,43,387
450,1,28,19,47,12,59,288.-290.
451,1,35,33,68,12,80,157.-159.
452,1,46,43,89,12,101,31
453,1,42,41,83,12,95,50.-51.
454,1,43,40,83,12,95,52
455,1,44,45,89,12,101,28.-30.
456,2,38,43,81,12,93,62
457,2,46,31,77,12,89,96.-97.
458,1,19,28,47,9,56,306
459,2,17,10,27,8,35,406
460,2,41,34,75,12,87,112.-113.
480,2,28,24,52,12,64,252
481,2,27,17,44,5,49,353
482,1,39,39,78,12,90,86.-87.
483,2,41,35,76,12,88,104
484,2,18,19,37,11,48,360
485,2,17,30,47,10,57,300
486,2,36,36,72,11,83,128
487,1,33,32,65,12,77,172.-173.
488,1,21,23,44,9,53,329
489,2,43,39,82,12,94,58
490,2,24,13,37,11,48,361
491,2,30,44,74,12,86,118
492,2,8,15,23,11,34,412
493,2,0,0,0,10,10,probÃ­hÃ¡ PÅ˜
494,2,34,32,66,12,78,168.-169.
495,2,43,36,79,12,91,82
496,2,0,0,0,3,3,probÃ­hÃ¡ PÅ˜
497,2,31,26,57,11,68,226
498,2,19,15,34,9,43,386
499,2,30,35,65,9,74,185
500,2,41,34,75,12,87,112.-113.
501,1,21,27,48,7,55,318
502,1,25,27,52,8,60,277
503,2,35,35,70,12,82,145
504,2,10,1,11,2,13,434
505,2,23,24,47,12,59,287
506,1,36,34,70,11,81,151
507,2,30,18,48,12,60,282
508,2,26,24,50,12,62,266
509,1,17,24,41,12,53,332.-333.
,,,,,,,
510,1,39,39,78,12,90,86.-87.
511,1,20,12,32,12,44,380
512,2,25,23,48,12,60,279
513,1,29,21,50,12,62,268.-269.
514,1,33,20,53,12,65,245.-246.
515,1,0*,26,26,9,35,*250.
517,1,17,13,30,10,40,395
531,1,40,41,81,11,92,67
541,1,37,17,54,12,66,240
542,1,17,0,17,12,29,428
543,1,24,34,58,5,63,254
544,2,20,27,47,9,56,307
545,1,29,15,44,12,56,315
546,1,32,14,46,12,58,298
547,1,35,34,69,12,81,152
548,1,39,31,70,12,82,148.-149.
549,1,22,14,36,10,46,370
550,1,36,23,59,12,71,210.-211.
551,2,23,27,50,12,62,265
552,2,37,12,49,12,61,276
553,2,45,45,90,12,102,20
554,2,19,16,35,8,43,383
