RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
1,8023,20.0,3,49,49,121.0
2,8035,20.0,3,48,48,119.0
3,8096,20.0,5,49,45,119.0
4,8052,20.0,0,49,47,116.0
5,8011,20.0,0,50,45,115.0
6,8043,20.0,2,45,47,114.0
7,8155,20.0,0,49,43,112.0
8,8049,20.0,2,47,43,112.0
9,8106,20.0,2,45,44,111.0
10,8157,20.0,0,43,47,110.0
11,8026,20.0,0,46,44,110.0
12,8059,20.0,0,47,43,110.0
13,8047,20.0,0,45,44,109.0
14,8237,20.0,0,45,43,108.0
15,8194,20.0,2,43,43,108.0
16,8018,20.0,3,46,39,108.0
17,8022,20.0,2,44,41,107.0
18,8201,20.0,0,48,39,107.0
19,8244,20.0,2,47,38,107.0
20,8056,20.0,0,43,43,106.0
21,8081,20.0,4,40,42,106.0
22,8243,20.0,3,44,39,106.0
23,8206,20.0,2,42,41,105.0
24,8068,20.0,4,43,38,105.0
25,8129,20.0,2,47,36,105.0
26,8116,20.0,2,38,44,104.0
27,8007,20.0,3,39,42,104.0
28,8199,20.0,3,44,37,104.0
29,8214,20.0,0,48,36,104.0
30,8038,20.0,2,47,35,104.0
31,8072,20.0,0,44,39,103.0
32,8120,20.0,0,49,34,103.0
33,8087,20.0,0,36,46,102.0
34,8021,20.0,2,34,46,102.0
35,8080,20.0,0,42,40,102.0
36.-37.,8213,20.0,0,43,39,102.0
36.-37.,8319,20.0,0,43,39,102.0
38,8031,20.0,0,47,35,102.0
39,8112,20.0,0,40,41,101.0
40,8009,20.0,0,42,39,101.0
41,8229,20.0,0,46,35,101.0
42,8267,20.0,0,37,43,100.0
43,8016,20.0,0,39,41,100.0
44,8177,19.0,5,35,41,100.0
45,8034,20.0,0,43,37,100.0
46,8077,20.0,0,45,35,100.0
47,8163,20.0,2,44,34,100.0
48,8153,20.0,0,40,39,99.0
49,8074,20.0,2,43,34,99.0
50.-51.,8197,20.0,0,41,37,98.0
50.-51.,8236,20.0,0,41,37,98.0
52,8029,20.0,0,42,36,98.0
53,8221,20.0,2,42,34,98.0
54,8076,20.0,0,48,30,98.0
55,8039,20.0,0,35,42,97.0
56,8257,20.0,0,38,39,97.0
57,8246,20.0,0,38,39,97.0
58,8233,20.0,0,39,38,97.0
59,8146,20.0,0,43,34,97.0
60,8284,20.0,0,37,39,96.0
61,8305,18.0,0,41,37,96.0
62,8185,20.0,2,37,37,96.0
63,8167,20.0,0,34,41,95.0
64,8321,18.0,0,38,39,95.0
65,8079,20.0,0,36,39,95.0
66,8219,20.0,0,37,38,95.0
67,8159,20.0,0,38,37,95.0
68,8171,20.0,0,45,30,95.0
69,8098,20.0,0,35,39,94.0
70,8161,20.0,2,33,39,94.0
71,8180,19.0,0,38,37,94.0
72,8168,20.0,0,37,37,94.0
73,8032,20.0,2,36,36,94.0
74,8148,20.0,0,39,35,94.0
75,8048,20.0,0,36,37,93.0
76,8045,20.0,0,37,36,93.0
77,8230,20.0,2,35,36,93.0
78,8195,20.0,0,40,33,93.0
79,8041,20.0,0,42,31,93.0
80,8027,20.0,2,41,30,93.0
81,8053,20.0,0,32,40,92.0
82,8265,20.0,0,33,39,92.0
83,8228,18.0,0,36,38,92.0
84,8104,20.0,0,36,36,92.0
85,8173,20.0,0,37,35,92.0
86,8114,20.0,0,39,33,92.0
87,8147,20.0,3,36,33,92.0
88,8250,20.0,0,40,32,92.0
89,8121,20.0,0,43,29,92.0
90,8132,20.0,0,47,25,92.0
91,8149,20.0,0,33,38,91.0
92,8140,20.0,,39,32,91.0
93,8178,18.0,2,39,32,91.0
94,8312,20.0,2,38,31,91.0
95,8111,20.0,0,37,33,90.0
96,8169,20.0,0,39,31,90.0
97,8054,20.0,0,43,27,90.0
98,8280,18.0,0,35,36,89.0
99,8123,20.0,0,34,35,89.0
100,8204,19.0,0,37,33,89.0
101,8156,20.0,0,43,26,89.0
102,8113,19.0,0,35,34,88.0
103,8055,20.0,0,34,34,88.0
104,8220,19.0,0,36,33,88.0
105,8014,20.0,,37,31,88.0
106,8003,20.0,0,41,27,88.0
107,8152,20.0,0,45,23,88.0
108,8295,20.0,0,31,36,87.0
109,8224,20.0,0,33,34,87.0
110,8069,20.0,0,34,33,87.0
111,8091,20.0,0,35,32,87.0
112,8268,20.0,0,37,30,87.0
113,8175,19.0,0,40,28,87.0
114,8241,20.0,0,41,26,87.0
115,8150,20.0,0,46,21,87.0
116,8172,20.0,0,31,35,86.0
117,8181,20.0,0,32,34,86.0
118,8109,20.0,0,35,31,86.0
119,8222,18.0,0,38,30,86.0
120,8073,20.0,0,37,29,86.0
121,8166,20.0,0,41,25,86.0
122,8130,20.0,0,30,35,85.0
123,8117,18.0,0,34,33,85.0
124,8006,20.0,0,32,33,85.0
125,8217,20.0,0,36,29,85.0
126,8232,20.0,0,40,25,85.0
127,8323,17.0,0,26,41,84.0
128,8107,20.0,0,28,36,84.0
129,8051,20.0,0,33,31,84.0
130,8097,19.0,0,35,30,84.0
131,8242,19.0,0,36,29,84.0
132,8122,20.0,0,32,31,83.0
133,8086,20.0,0,32,31,83.0
134,8239,20.0,0,37,26,83.0
135,8218,20.0,0,38,25,83.0
136,8211,20.0,0,39,24,83.0
137,8310,20.0,2,40,21,83.0
138,8303,20.0,0,26,36,82.0
139,8154,20.0,0,30,32,82.0
140,8188,19.0,0,34,29,82.0
141,8057,19.0,0,34,29,82.0
142,8184,20.0,0,35,27,82.0
143,8019,20.0,0,37,25,82.0
144,8277,17.0,0,35,29,81.0
145,8082,19.0,0,34,28,81.0
146,8290,20.0,0,33,28,81.0
147,8261,20.0,0,39,22,81.0
148,8179,20.0,0,31,29,80.0
149.-150.,8266,20.0,0,38,22,80.0
149.-150.,8301,20.0,0,38,22,80.0
151,8322,18.0,0,25,36,79.0
152,8042,20.0,0,27,32,79.0
153,8142,19.0,0,32,28,79.0
154,8317,19.0,0,32,28,79.0
155,8025,20.0,0,31,28,79.0
156,8190,19.0,0,34,26,79.0
157,8296,20.0,0,34,25,79.0
158,8083,20.0,0,35,24,79.0
159,8198,18.0,0,26,34,78.0
160,8061,20.0,2,22,34,78.0
161,8234,20.0,0,28,30,78.0
162,8037,20.0,0,31,27,78.0
163,8131,20.0,0,33,25,78.0
164.-165.,8015,20.0,0,37,21,78.0
164.-165.,8255,20.0,0,37,21,78.0
166,8215,20.0,0,37,21,78.0
167,8247,18.0,0,34,25,77.0
168,8196,19.0,0,16,41,76.0
169,8102,19.0,0,24,33,76.0
170.-171.,8012,20.0,0,24,32,76.0
170.-171.,8103,20.0,0,24,32,76.0
172,8285,20.0,2,22,32,76.0
173,8050,20.0,0,34,22,76.0
174,8063,20.0,0,35,21,76.0
175,8024,20.0,0,37,19,76.0
176,8256,20.0,0,30,25,75.0
177,8245,20.0,2,31,22,75.0
178,8100,20.0,0,34,21,75.0
179,8133,20.0,0,35,20,75.0
180,8128,18.0,0,25,31,74.0
181,8126,20.0,0,30,24,74.0
182,8249,20.0,0,32,22,74.0
183,8044,19.0,0,26,28,73.0
184,8281,20.0,0,28,25,73.0
185,8127,18.0,0,31,24,73.0
186,8084,20.0,0,38,15,73.0
187,8299,18.0,0,25,29,72.0
188,8318,19.0,0,26,27,72.0
189,8260,20.0,2,25,25,72.0
190.-191.,8067,19.0,0,29,24,72.0
190.-191.,8293,19.0,0,29,24,72.0
192,8191,18.0,0,33,21,72.0
193,8136,20.0,0,34,18,72.0
194,8223,16.0,0,30,25,71.0
195,8238,20.0,0,30,21,71.0
196,8262,20.0,0,26,24,70.0
197,8269,20.0,0,29,21,70.0
198,8202,20.0,2,28,20,70.0
199,8162,20.0,0,35,15,70.0
200,8251,20.0,0,39,11,70.0
201,8324,20.0,2,24,23,69.0
202,8183,20.0,0,35,14,69.0
203,8273,19.0,0,23,26,68.0
204,8017,16.0,0,28,24,68.0
205,8062,20.0,0,27,21,68.0
206,8313,18.0,0,30,20,68.0
207,8289,19.0,0,29,20,68.0
208,8240,18.0,0,32,18,68.0
209,8252,19.0,0,23,25,67.0
210,8263,19.0,0,26,22,67.0
211,8226,20.0,0,33,14,67.0
212,8089,20.0,0,34,13,67.0
213,8060,20.0,0,18,28,66.0
214,8288,17.0,0,26,23,66.0
215,8141,18.0,0,26,22,66.0
216,8227,20.0,0,26,20,66.0
217,8308,20.0,0,29,17,66.0
218,8001,20.0,0,29,17,66.0
219,8101,20.0,2,27,17,66.0
220,8105,19.0,0,31,16,66.0
221,8271,19.0,0,34,12,65.0
222,8286,20.0,0,20,24,64.0
223,8186,20.0,0,20,24,64.0
224,8099,20.0,0,31,13,64.0
225,8134,20.0,0,32,12,64.0
226,8092,19.0,0,35,10,64.0
227,8283,18.0,0,22,23,63.0
228,8192,19.0,0,25,19,63.0
229,8165,20.0,2,27,14,63.0
230,8160,17.0,0,23,22,62.0
231,8119,17.0,0,27,18,62.0
232,8066,20.0,0,30,12,62.0
233.-234.,8008,20.0,0,30,12,62.0
233.-234.,8085,18.0,0,31,13,62.0
235,8298,18.0,0,31,13,62.0
236,8205,20.0,0,23,18,61.0
237,8309,16.0,0,28,17,61.0
238,8065,18.0,0,26,17,61.0
239,8135,20.0,0,26,15,61.0
240,8036,18.0,0,29,14,61.0
241,8118,20.0,0,27,14,61.0
242,8170,17.0,0,22,21,60.0
243,8094,18.0,0,27,15,60.0
244,8225,20.0,0,25,14,59.0
245,8302,19.0,0,27,13,59.0
246,8002,20.0,0,27,12,59.0
247,8248,18.0,0,31,10,59.0
248,8143,19.0,0,17,22,58.0
249,8013,19.0,0,22,17,58.0
250,8278,18.0,0,17,22,57.0
251,8138,17.0,0,24,16,57.0
252,8176,18.0,0,24,15,57.0
253,8010,19.0,0,27,11,57.0
254,8088,20.0,0,28,9,57.0
255,8046,16.0,0,19,21,56.0
256,8078,19.0,0,16,21,56.0
257,8064,18.0,0,23,15,56.0
258,8139,18.0,0,23,15,56.0
259,8304,18.0,0,24,14,56.0
260,8187,18.0,0,25,13,56.0
261,8314,15.0,0,29,12,56.0
262,8151,20.0,0,24,12,56.0
263,8071,19.0,0,14,22,55.0
264,8004,18.0,0,21,16,55.0
265,8212,19.0,0,21,15,55.0
266,8115,18.0,0,23,14,55.0
267,8210,20.0,0,21,14,55.0
258,8207,17.0,0,25,13,55.0
269,8209,19.0,0,20,15,54.0
270,8028,20.0,0,21,13,54.0
