RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
183,8118,20,0,33,25,78
184,8196,20,0,21,36,77
185,8239,17,,25,35,77
186,8014,17,0,29,31,77
"187,",8080,18,0,28,31,77
188,8176,20,0,33,24,77
189,8036,20,0,28,28,76
190,8224,20,0,29,27,76
"191,",8256,20,0,30,26,76
192,8028,20,0,34,22,76
193,8174,20,0,23,32,75
194,8132,20,0,24,31,75
195,8133,20,0,25,30,75
196,8001,19,0,30,26,75
197,8143,20,0,29,26,75
198,8073,20,0,29,26,75
199,8203,19,0,33,23,75
200,8159,19,0,26,29,74
201,8263,17,0,29,28,74
202,8227,20,0,29,25,74
203,8055,20,0,34,20,74
204,8228,14,0,23,36,73
205,8068,15,0,25,33,73
206,8193,19,0,29,25,73
207,8218,18,0,34,21,73
208,8278,20,0,17,35,72
209,8026,19,0,24,29,72
210,8089,20,0,26,26,72
211.212.,8138,20,0,30,22,72
211.-212.,8135,20,0,30,22,72
213,8265,19,0,25,27,71
214,8186,20,0,24,27,71
215,8061,20,0,29,22,71
216,8233,20,0,33,18,71
217,8215,18,0,21,31,70
218,8245,20,0,27,23,70
219,8192,20,0,30,20,70
220,8161,19,0,25,25,69
221,8262,18,0,27,24,69
222,8066,20,0,28,21,69
223,8110,19,0,32,18,69
224,8273,18,0,20,30,68
225,8187,20,0,22,26,68
226,8287,16,0,31,21,68
227,8121,20,0,15,32,67
228,8054,17,0,19,31,67
229,8094,17,0,22,28,67
230,8023,20,0,23,24,67
231,8113,20,0,26,21,67
232,8235,18,0,18,30,66
233,8043,18,0,23,25,66
234,8171,17,0,26,23,66
235,8087,17,0,27,22,66
236,8213,18,0,26,22,66
237,8281,16,0,22,27,65
238,8223,19,0,25,21,65
239,8012,19,0,29,17,65
240,8178,18,0,19,27,64
241,8201,12,0,31,21,64
242,8151,16,0,17,30,63
243,8146,14,0,20,29,63
244,8210,17,0,24,22,63
245,8134,20,,24,19,63
246,8039,19,0,21,22,62
247,8166,19,0,23,20,62
248,8208,15,0,28,19,62
249,8137,18,0,30,14,62
250,8197,20,0,34,8,62
251,8204,16,0,21,24,61
252,8276,19,,18,24,61
253,8199,20,0,18,23,61
254,8142,19,0,23,17,59
255,8033,20,0,25,14,59
256,8220,16,0,20,22,58
257,8108,20,0,16,22,58
258,8257,15,0,23,20,58
259,8243,15,0,23,20,58
260,8294,20,0,19,19,58
261,8141,20,0,20,18,58
262,8191,15,0,30,13,58
263,8188,19,,17,21,57
264,8219,18,0,21,18,57
265,8069,18,0,23,16,57
266,8249,13,0,18,25,56
267,8169,18,0,15,23,56
"268,",8275,18,0,16,22,56
269,8285,15,0,21,20,56
270,8007,19,0,24,12,55
271,8280,20,0,15,19,54
272,8236,18,0,20,16,54
273,8046,15,0,18,20,53
274,8195,20,0,19,14,53
275,8083,20,0,25,8,53
276,8290,15,0,19,18,52
277,8097,20,0,16,16,52
278,8282,17,0,16,17,50
279,8115,19,0,16,15,50
280,8172,17,0,21,12,50
281,8238,19,0,16,14,49
282,8037,18,0,11,18,47
283,8279,16,0,21,10,47
284,8240,19,0,19,8,46
285,8298,15,0,15,15,45
286,8247,7,0,17,17,41
287,8200,13,0,15,13,41
288,8160,18,0,12,11,41
289,8288,18,0,16,7,41
290,8237,19,0,7,13,39
291,8259,17,0,10,5,32
