RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
1,8081,20,5,47,50,122
2,8044,20,2,46,50,118
3,8168,20,5,43,50,118
4,8027,20,2,43,50,115
5,8170,20,2,45,48,115
6,8072,20,2,48,45,115
7,8025,20,0,43,50,113
8,8035,20,0,47,46,113
9,8175,20,0,46,46,112
10,8017,20,2,49,41,112
11,8076,20,0,43,48,111
12,8212,20,3,41,46,110
13,8164,20,0,46,44,110
14,8019,20,0,47,43,110
15,8082,20,0,43,46,109
16,8048,20,2,41,46,109
17,8140,20,2,43,44,109
18,8008,20,0,47,42,109
19,8086,20,3,35,50,108
20,8101,20,0,42,46,108
21,8268,20,2,40,46,108
22.-24.,8010,20,0,44,44,108
22.-24.,8156,20,0,44,44,108
22.-24.,8211,20,0,44,44,108
25,8018,20,2,44,42,108
26,8095,20,2,41,43,106
27,8070,20,0,46,40,106
28,8148,20,0,47,39,106
29,8202,20,2,45,39,106
30.-31.,8052,20,0,39,46,105
30.-31.,8157,20,0,39,46,105
32,8167,20,3,38,44,105
33,8015,20,2,40,43,105
34,8034,20,0,43,42,105
35,8096,20,0,44,41,105
36,8271,20,0,46,39,105
37,8104,20,0,35,48,103
38,8180,20,,43,38,103
39,8064,20,,39,43,102
40,8147,19,0,41,42,102
41,8092,19,0,45,38,102
42,8047,20,0,44,38,102
43,8255,20,0,39,42,101
44,8149,20,0,40,41,101
45,8098,20,0,41,40,101
46,8040,20,4,39,38,101
47,8013,20,2,34,44,100
48.-49.,8119,20,0,38,42,100
48.-49.,8116,20,0,38,42,100
50,8154,18,0,41,41,100
51.-52.,8145,20,0,39,41,100
51.-52.,8150,20,0,39,41,100
53,8071,20,0,42,38,100
54,8181,20,2,40,38,100
55,8002,19,0,35,45,99
55,8006,20,0,37,42,99
57,8079,20,0,38,41,99
58,8041,20,0,39,40,99
59.-60.,8077,20,0,44,35,99
59.-60.,8117,20,0,44,35,99
61,8179,18,0,38,42,98
62,8155,20,0,38,40,98
63.-64.,8139,20,0,40,38,98
63.-64.,8292,20,0,40,38,98
65,8126,20,0,37,40,97
66.-67.,8075,20,0,40,37,97
66.-67.,8131,20,0,40,37,97
68,8127,19,0,42,36,97
69,8185,20,0,45,32,97
70,8246,20,0,39,37,96
71,8059,19,0,41,36,96
72,8272,20,0,40,36,96
73,8198,18,0,46,32,96
74,8209,18,0,31,46,95
75.-76.,8093,20,0,33,42,95
"75,-76.",8105,20,0,33,42,95
77,8056,20,0,37,38,95
78,8078,20,0,39,36,95
79,8030,20,0,39,36,95
80,8099,20,0,40,35,95
81,8124,20,0,41,34,95
82,8103,20,0,32,42,94
83.-84.,8090,20,0,33,41,94
83.-84.,8270,20,0,33,41,94
85,8250,20,0,36,38,94
86,8177,20,0,37,37,94
87,8214,17,,41,36,94
88,8129,20,0,39,35,94
89.-90.,8084,20,0,40,34,94
89.-90.,8189,20,0,40,34,94
91.-92.,8112,20,0,36,37,93
91.-92.,8206,20,0,36,37,93
93,8045,20,0,39,34,93
94,8123,20,0,39,34,93
95,8122,18,0,33,41,92
96,8111,20,0,32,40,92
97,8106,20,0,36,36,92
98,8297,20,,35,35,92
99.-100.,8053,20,0,39,33,92
99.-100.,8091,20,0,39,33,92
101,8274,20,0,41,31,92
102,8042,19,0,31,41,91
103,8011,20,0,36,35,91
104,8049,20,2,36,33,91
105,8022,20,0,39,32,91
106,8063,20,2,38,31,91
107,8296,18,0,28,44,90
108,8128,20,0,32,38,90
109.-110.,8062,20,0,35,35,90
109.-110.,8269,20,0,35,35,90
111,8031,20,0,36,34,90
112,8005,20,0,43,27,90
113,8109,20,0,33,36,89
114,8183,20,2,31,36,89
115,8253,20,0,34,35,89
116,8205,20,0,35,34,89
117,8242,20,0,38,31,89
118,8291,18,0,33,37,88
119,8295,18,0,33,37,88
120,8232,20,0,35,33,88
121,8085,20,0,36,32,88
122,8100,20,0,36,32,88
123,8230,20,0,37,31,88
124,8260,20,0,39,29,88
125,8153,18,0,29,40,87
126.-127.,8051,20,0,32,35,87
125.-127.,8173,20,0,32,35,87
128,8029,20,0,33,34,87
129,8020,20,0,36,31,87
130,8057,20,0,41,26,87
131,8261,18,0,33,35,86
132,8283,20,,39,27,86
133,8165,20,0,29,36,85
134,8244,19,0,31,35,85
135,8289,20,0,33,32,85
136,8163,20,0,34,31,85
137,8182,19,0,40,26,85
138,8120,20,0,27,37,84
139,8050,20,0,30,34,84
140,8003,20,0,33,31,84
141,8107,18,0,30,35,83
142.443.,8009,20,0,33,30,83
142.-143.,8136,20,0,33,30,83
144,8252,20,0,36,27,83
145,8207,20,0,36,27,83
146,8060,20,0,27,35,82
147,8152,16,0,33,33,82
148,8158,20,0,30,32,82
149,8231,20,0,31,31,82
150,8266,20,0,35,27,82
151,8058,20,0,37,25,82
152,8114,18,0,29,34,81
153,8074,18,0,30,33,81
154,8088,20,0,29,32,81
155,8229,20,0,32,29,81
156,8184,20,,33,28,81
157,8267,20,0,22,38,80
158,8284,17,0,29,34,80
159,8258,20,0,30,30,80
160,8144,20,0,32,28,80
161,8226,16,0,24,39,79
162,8065,17,0,31,31,79
163,8222,20,0,28,31,79
164,8221,20,0,28,31,79
165,8021,20,0,29,30,79
166.-167.,8032,20,0,30,29,79
166.-167.,8264,20,0,30,29,79
168,8067,20,0,31,28,79
169,8038,20,0,31,28,79
170,8241,20,0,31,28,79
171,8299,17,0,39,23,79
172,8024,20,0,36,23,79
173,8125,20,0,36,23,79
174,8251,20,0,37,22,79
175,8254,15,0,29,34,78
176,8286,20,0,27,31,78
177,8102,20,0,28,30,78
178,8194,18,0,31,29,78
179,8248,18,0,31,29,78
180,8016,20,0,29,29,78
181,8216,20,0,29,29,78
182,8190,19,0,31,28,78
