TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
125,126,8135,20.0,0,37,31,88,2020,1581
126,126,8262,20.0,0,37,31,88,2020,1581
127,128,8264,20.0,0,39,29,88,2020,1581
128,129,8015,20.0,0,27,40,87,2020,1581
129,130,8234,20.0,0,30,37,87,2020,1581
130,131,8139,20.0,0,35,32,87,2020,1581
131,132,8240,20.0,5,32,30,87,2020,1581
132,133,8036,19.0,0,39,29,87,2020,1581
133,134,8184,20.0,2,37,28,87,2020,1581
134,135,8128,19.0,0,30,37,86,2020,1581
135,136,8042,20.0,0,30,36,86,2020,1581
136,137,8130,19.0,0,35,32,86,2020,1581
137,138,8098,20.0,0,37,29,86,2020,1581
138,139,8291,20.0,0,38,28,86,2020,1581
139,140,8230,20.0,0,38,28,86,2020,1581
140,141,8275,20.0,0,34,31,85,2020,1581
141,142,8232,19.0,0,36,30,85,2020,1581
142,143,8204,20.0,2,33,30,85,2020,1581
143,144,8168,20.0,0,33,31,84,2020,1581
144,145,8256,20.0,0,36,28,84,2020,1581
145,146,8127,20.0,0,40,24,84,2020,1581
146,147,8107,18.0,0,29,36,83,2020,1581
147,148,8176,20.0,0,28,35,83,2020,1581
148,149,8084,20.0,0,32,31,83,2020,1581
149,150,8245,19.0,0,37,27,83,2020,1581
150,151,8274,20.0,0,37,26,83,2020,1581
151,152,8086,20.0,0,40,23,83,2020,1581
152,153,8295,20.0,0,40,23,83,2020,1581
153,154,8271,19.0,0,30,33,82,2020,1581
154,155,8212,20.0,0,34,28,82,2020,1581
155,156,8074,20.0,0,36,26,82,2020,1581
156,157,8104,20.0,0,41,21,82,2020,1581
157,158,8071,20.0,0,31,30,81,2020,1581
158,159,8148,20.0,0,37,24,81,2020,1581
159,160,8233,20.0,0,25,35,80,2020,1581
160,161,8185,17.0,0,33,30,80,2020,1581
161,162,8241,18.0,0,33,29,80,2020,1581
162,163,8092,19.0,0,33,28,80,2020,1581
163,164,8003,20.0,0,35,25,80,2020,1581
164,165,8037,20.0,0,38,22,80,2020,1581
165,166,8001,20.0,0,41,18,79,2020,1581
166,167,8068,19.0,0,27,32,78,2020,1581
167,168,8066,20.0,0,28,30,78,2020,1581
168,168,8247,20.0,0,28,30,78,2020,1581
169,170,8064,20.0,0,31,27,78,2020,1581
170,170,8224,20.0,0,31,27,78,2020,1581
171,172,8144,20.0,0,32,26,78,2020,1581
172,173,8030,20.0,0,34,24,78,2020,1581
173,174,8179,18.0,0,37,23,78,2020,1581
174,175,8290,19.0,0,23,35,77,2020,1581
175,176,8105,19.0,0,26,32,77,2020,1581
176,177,8061,20.0,0,27,30,77,2020,1581
177,178,8250,20.0,0,28,29,77,2020,1581
178,179,8002,19.0,0,31,27,77,2020,1581
179,180,8253,20.0,0,30,27,77,2020,1581
180,181,8103,18.0,0,26,32,76,2020,1581
181,182,8287,19.0,0,31,26,76,2020,1581
182,183,8216,20.0,0,35,21,76,2020,1581
183,184,8111,19.0,0,19,37,75,2020,1581
184,185,8129,20.0,0,25,30,75,2020,1581
185,186,8227,20.0,0,41,14,75,2020,1581
186,187,8269,19.0,0,26,29,74,2020,1581
187,188,8311,19.0,0,26,29,74,2020,1581
188,189,8177,20.0,0,28,26,74,2020,1581
189,190,8020,20.0,0,29,25,74,2020,1581
190,191,8206,20.0,0,33,21,74,2020,1581
191,192,8276,19.0,0,24,30,73,2020,1581
192,193,8169,18.0,0,26,29,73,2020,1581
193,194,8116,20.0,0,29,24,73,2020,1581
194,195,8149,20.0,0,40,13,73,2020,1581
195,196,8231,20.0,0,24,28,72,2020,1581
196,197,8217,20.0,0,27,25,72,2020,1581
197,198,8310,19.0,0,29,24,72,2020,1581
198,199,8122,20.0,0,29,23,72,2020,1581
199,200,8062,20.0,0,26,25,71,2020,1581
200,200,8106,20.0,0,26,25,71,2020,1581
201,202,8248,20.0,0,28,23,71,2020,1581
202,203,8056,17.0,0,25,28,70,2020,1581
203,204,8242,16.0,0,27,27,70,2020,1581
204,205,8266,16.0,0,27,27,70,2020,1581
205,206,8112,20.0,0,28,22,70,2020,1581
206,207,8024,19.0,0,33,18,70,2020,1581
207,208,8059,18.0,0,21,30,69,2020,1581
208,209,8095,18.0,0,24,27,69,2020,1581
209,210,8303,18.0,0,26,25,69,2020,1581
210,211,8281,16.0,0,32,21,69,2020,1581
211,212,8121,20.0,0,30,19,69,2020,1581
212,213,8072,18.0,0,19,31,68,2020,1581
213,214,8163,20.0,0,24,24,68,2020,1581
214,215,8175,16.0,0,20,31,67,2020,1581
215,216,8085,20.0,0,24,23,67,2020,1581
216,217,8170,15.0,0,22,29,66,2020,1581
217,218,8178,18.0,0,19,29,66,2020,1581
218,219,8243,20.0,0,27,19,66,2020,1581
219,220,8226,20.0,0,29,17,66,2020,1581
