RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM
"210,",8303,18,0,26,25,69
211,8281,16,0,32,21,69
212,8121,20,0,30,19,69
213,8072,18,0,19,31,68
214,8163,20,0,24,24,68
215,8175,16,0,20,31,67
216,8085,20,0,24,23,67
217,8170,15,0,22,29,66
218,8178,18,0,19,29,66
219,8243,20,0,27,19,66
220,8226,20,0,29,17,66
221,8025,20,0,20,25,65
222,8031,20,0,24,21,65
223,8293,20,0,24,20,64
224,8259,20,0,25,19,64
225,8126,20,0,30,14,64
226,8260,19,0,11,33,63
227,8152,18,0,20,25,63
228,8143,20,0,24,19,63
229,8052,18,0,15,29,62
230,8164,17,0,19,26,62
231,8125,20,0,21,21,62
232,8301,19,0,23,20,62
233,8081,18,0,25,19,62
234,8267,20,0,27,15,62
235,8026,20,0,21,20,61
236,8228,19,0,24,18,61
237,8249,20,0,12,28,60
238,8012,20,0,24,16,60
239,8034,19,0,27,14,60
240,8244,20,0,30,10,60
241,8171,20,0,23,16,59
242,8294,14,0,24,20,58
243,8225,20,0,20,18,58
244,8150,17,0,15,25,57
245,8117,17,0,21,19,57
246,8043,17,0,13,26,56
247,8194,20,0,14,22,56
248,8100,20,0,19,17,56
249,8203,20,0,21,15,56
250,8049,20,0,23,13,56
251,8205,19,0,17,19,55
252,8136,19,0,19,17,55
"253,",8187,18,0,21,16,55
254,8147,20,0,22,13,55
255,8094,12,0,25,17,54
256,8158,19,0,19,16,54
257,8213,20,0,22,12,54
258,8298,20,0,18,15,53
259,8288,20,0,18,15,53
260,8193,17,0,23,13,53
261,8134,18,0,23,12,53
262,8219,19,0,32,2,53
263,8082,19,0,15,18,52
264,8079,20,0,15,17,52
265,8190,19,0,23,10,52
266,8236,19,0,11,21,51
267,8188,18,0,13,19,50
268,8142,18,0,14,18,50
269,8014,18,0,20,12,50
270,8282,19,0,19,12,50
271,8045,18,0,19,11,48
272,8292,16,0,22,9,47
273,8083,16,0,15,15,46
274,8306,11,0,18,16,45
275,8123,19,0,17,9,45
276,8189,18,0,19,8,45
277,8186,19,0,14,10,43
278,8221,19,0,15,9,43
279,8285,19,0,16,8,43
280,8018,15,0,13,14,42
281,8258,16,0,12,14,42
282,8254,16,0,13,13,42
283,8054,19,0,10,13,42
284,8133,15,0,18,9,42
285,8255,17,0,17,8,42
286,8145,17,0,12,12,41
287,8070,16,0,15,10,41
288,8172,17,0,14,9,40
289,8017,15,0,20,5,40
290,8097,15,0,14,10,39
291,8202,17,0,13,9,39
292,8280,19,0,12,8,39
293,8199,15,0,12,11,38
294,8304,15,0,7,12,34
295,8299,15,0,13,5,33
296,8268,19,0,4,9,32
297,8257,16,0,12,4,32
298,8283,18,0,11,1,30
299,8305,13,0,9,7,29
300,8289,19,0,6,0,25
