TODROP,RANK,ID,GRADES,CONTESTS,CZECH,MATH,SUM,YEAR,SCHOOLCOURSE_ID
0,1,8030,20.0,5,50,50,125.0,2018,1581
1,2,8143,20.0,3,46,48,117.0,2018,1581
2,3,8279,20.0,5,48,44,117.0,2018,1581
3,4,8029,20.0,5,43,46,114.0,2018,1581
4,5,8107,19.0,2,48,43,112.0,2018,1581
5,6,8322,20.0,5,44,42,111.0,2018,1581
6,7,8157,20.0,4,46,41,111.0,2018,1581
7,8,8050,20.0,5,47,39,111.0,2018,1581
8,9,8105,20.0,4,42,44,110.0,2018,1581
9,10,8291,20.0,0,43,46,109.0,2018,1581
10,11,8106,20.0,0,44,44,108.0,2018,1581
11,11,8210,20.0,0,44,44,108.0,2018,1581
12,13,8005,20.0,0,45,43,108.0,2018,1581
13,14,8074,20.0,0,45,43,108.0,2018,1581
14,15,8256,20.0,2,44,42,108.0,2018,1581
15,16,8012,20.0,5,44,39,108.0,2018,1581
16,17,8046,20.0,0,44,43,107.0,2018,1581
17,18,8200,20.0,2,44,41,107.0,2018,1581
18,19,8076,20.0,2,45,39,106.0,2018,1581
19,20,8082,20.0,5,36,44,105.0,2018,1581
20,21,8201,20.0,0,44,41,105.0,2018,1581
21,22,8004,20.0,0,43,41,104.0,2018,1581
22,23,8147,20.0,0,44,40,104.0,2018,1581
23,24,8138,20.0,0,46,38,104.0,2018,1581
24,25,8008,20.0,0,47,36,103.0,2018,1581
25,26,8137,20.0,0,41,41,102.0,2018,1581
26,27,8152,20.0,0,36,45,101.0,2018,1581
27,28,8340,20.0,0,42,39,101.0,2018,1581
28,29,8032,20.0,0,42,39,101.0,2018,1581
29,30,8294,20.0,0,41,39,100.0,2018,1581
30,31,8121,20.0,0,42,38,100.0,2018,1581
31,32,8162,20.0,3,39,38,100.0,2018,1581
32,33,8006,20.0,0,39,40,99.0,2018,1581
33,34,8067,20.0,0,43,36,99.0,2018,1581
34,35,8161,20.0,0,45,34,99.0,2018,1581
35,36,8083,20.0,3,42,34,99.0,2018,1581
36,37,8270,20.0,0,35,43,98.0,2018,1581
37,38,8102,20.0,0,44,34,98.0,2018,1581
38,39,8096,19.0,0,35,43,97.0,2018,1581
39,40,8052,20.0,0,38,39,97.0,2018,1581
40,41,8003,20.0,5,35,37,97.0,2018,1581
41,42,8049,19.0,0,42,36,97.0,2018,1581
42,43,8273,20.0,0,41,36,97.0,2018,1581
43,44,8268,20.0,0,39,37,96.0,2018,1581
44,45,8056,20.0,0,41,35,96.0,2018,1581
45,46,8150,20.0,3,41,32,96.0,2018,1581
46,47,8086,20.0,0,45,31,96.0,2018,1581
47,48,8001,20.0,0,37,38,95.0,2018,1581
48,49,8190,20.0,0,40,35,95.0,2018,1581
49,50,8060,20.0,0,44,31,95.0,2018,1581
50,51,8119,20.0,0,38,36,94.0,2018,1581
51,52,8044,19.0,0,41,34,94.0,2018,1581
52,53,8098,20.0,0,41,33,94.0,2018,1581
53,54,8328,18.0,0,32,43,93.0,2018,1581
54,55,8131,19.0,0,35,39,93.0,2018,1581
55,56,8189,20.0,2,32,39,93.0,2018,1581
56,57,8220,20.0,0,35,38,93.0,2018,1581
57,58,8195,20.0,0,39,34,93.0,2018,1581
58,59,8026,20.0,2,37,34,93.0,2018,1581
59,60,8127,20.0,0,41,32,93.0,2018,1581
60,61,8207,20.0,2,39,32,93.0,2018,1581
61,62,8211,20.0,0,48,25,93.0,2018,1581
62,63,8318,20.0,0,36,36,92.0,2018,1581
63,64,8031,20.0,0,37,35,92.0,2018,1581
64,65,8014,20.0,3,34,35,92.0,2018,1581
65,66,8325,20.0,0,38,34,92.0,2018,1581
66,67,8109,20.0,0,41,31,92.0,2018,1581
67,68,8233,20.0,2,39,31,92.0,2018,1581
68,69,8023,20.0,0,36,35,91.0,2018,1581
69,69,8261,20.0,0,36,35,91.0,2018,1581
70,69,8314,20.0,0,36,35,91.0,2018,1581
71,72,8007,20.0,0,37,34,91.0,2018,1581
72,73,8307,20.0,3,34,34,91.0,2018,1581
73,74,8089,20.0,2,37,32,91.0,2018,1581
74,75,8099,20.0,0,44,27,91.0,2018,1581
75,76,8123,20.0,2,34,34,90.0,2018,1581
76,77,8122,20.0,0,40,30,90.0,2018,1581
77,78,8088,20.0,0,44,26,90.0,2018,1581
78,79,8323,20.0,0,45,25,90.0,2018,1581
79,80,8078,20.0,0,34,35,89.0,2018,1581
80,81,8197,18.0,0,38,33,89.0,2018,1581
81,82,8312,20.0,0,37,32,89.0,2018,1581
82,83,8185,20.0,0,39,30,89.0,2018,1581
83,84,8241,20.0,0,39,30,89.0,2018,1581
84,85,8072,20.0,2,37,30,89.0,2018,1581
85,86,8009,20.0,3,28,37,88.0,2018,1581
86,87,8303,20.0,0,32,36,88.0,2018,1581
87,88,8178,19.0,0,35,34,88.0,2018,1581
88,89,8250,20.0,2,32,34,88.0,2018,1581
89,90,8126,20.0,0,36,32,88.0,2018,1581
90,91,8169,20.0,0,37,31,88.0,2018,1581
91,92,8035,20.0,0,40,28,88.0,2018,1581
92,93,8017,20.0,0,27,40,87.0,2018,1581
93,94,8010,17.0,0,33,37,87.0,2018,1581
94,95,8013,19.0,0,32,36,87.0,2018,1581
95,96,8283,18.0,2,31,36,87.0,2018,1581
96,97,8232,20.0,0,34,33,87.0,2018,1581
97,98,8130,20.0,0,37,30,87.0,2018,1581
98,99,8228,20.0,0,40,27,87.0,2018,1581
99,99,8247,20.0,0,40,27,87.0,2018,1581
100,101,8057,19.0,3,38,27,87.0,2018,1581
101,102,8280,20.0,0,46,21,87.0,2018,1581
102,103,8184,17.0,0,31,38,86.0,2018,1581
103,104,8071,20.0,4,31,31,86.0,2018,1581
104,105,8118,20.0,0,40,26,86.0,2018,1581
105,106,8336,20.0,2,39,25,86.0,2018,1581
106,107,8036,20.0,0,32,33,85.0,2018,1581
107,108,8310,20.0,0,33,32,85.0,2018,1581
108,109,8218,18.0,0,36,31,85.0,2018,1581
109,110,8205,20.0,0,35,30,85.0,2018,1581
110,111,8181,20.0,0,38,27,85.0,2018,1581
111,111,8272,20.0,0,38,27,85.0,2018,1581
112,113,8095,20.0,0,41,24,85.0,2018,1581
113,114,8042,20.0,0,34,30,84.0,2018,1581
114,115,8141,20.0,0,41,23,84.0,2018,1581
115,116,8085,19.0,2,29,33,83.0,2018,1581
116,117,8266,20.0,0,33,30,83.0,2018,1581
117,118,8051,20.0,0,34,29,83.0,2018,1581
118,119,8027,20.0,0,35,28,83.0,2018,1581
119,119,8084,20.0,0,35,28,83.0,2018,1581
120,121,8125,20.0,0,36,27,83.0,2018,1581
121,122,8202,20.0,0,42,21,83.0,2018,1581
122,123,8063,19.0,0,27,36,82.0,2018,1581
123,124,8300,20.0,0,27,35,82.0,2018,1581
124,125,8276,17.0,0,32,33,82.0,2018,1581
125,126,8199,18.0,2,30,32,82.0,2018,1581
126,127,8264,20.0,0,30,32,82.0,2018,1581
127,128,8075,20.0,0,35,27,82.0,2018,1581
128,129,8179,20.0,0,36,26,82.0,2018,1581
129,130,8208,20.0,0,39,23,82.0,2018,1581
130,131,8117,20.0,0,41,21,82.0,2018,1581
131,132,8168,19.0,0,35,27,81.0,2018,1581
132,133,8182,20.0,0,34,27,81.0,2018,1581
133,134,8236,20.0,0,36,25,81.0,2018,1581
134,135,8278,20.0,0,39,22,81.0,2018,1581
135,136,8289,18.0,0,29,33,80.0,2018,1581
136,137,8219,19.0,0,28,33,80.0,2018,1581
137,138,8120,20.0,0,35,25,80.0,2018,1581
138,139,8284,20.0,0,39,21,80.0,2018,1581
139,140,8194,19.0,4,41,16,80.0,2018,1581
140,141,8229,19.0,0,29,31,79.0,2018,1581
141,142,8133,19.0,0,30,30,79.0,2018,1581
142,143,8103,20.0,0,30,29,79.0,2018,1581
143,144,8277,20.0,0,31,28,79.0,2018,1581
144,145,8153,19.0,0,35,25,79.0,2018,1581
145,146,8214,20.0,0,34,25,79.0,2018,1581
146,147,8193,20.0,0,37,22,79.0,2018,1581
147,148,8149,18.0,0,26,34,78.0,2018,1581
148,149,8296,19.0,0,33,26,78.0,2018,1581
149,150,8039,18.0,0,35,25,78.0,2018,1581
150,151,8196,19.0,0,35,24,78.0,2018,1581
151,152,8217,20.0,0,36,22,78.0,2018,1581
152,153,8055,20.0,0,39,19,78.0,2018,1581
153,154,8073,20.0,0,42,16,78.0,2018,1581
154,155,8016,18.0,0,26,33,77.0,2018,1581
155,156,8079,19.0,0,29,29,77.0,2018,1581
156,157,8290,20.0,0,32,25,77.0,2018,1581
157,158,8081,20.0,0,33,24,77.0,2018,1581
158,159,8226,19.0,0,37,21,77.0,2018,1581
159,160,8246,16.0,0,30,30,76.0,2018,1581
160,161,8101,20.0,0,28,28,76.0,2018,1581
161,162,8223,20.0,0,29,27,76.0,2018,1581
162,163,8170,20.0,0,30,26,76.0,2018,1581
163,164,8330,20.0,0,32,24,76.0,2018,1581
164,165,8129,20.0,0,36,20,76.0,2018,1581
165,165,8160,20.0,0,36,20,76.0,2018,1581
166,165467,8192,20.0,0,36,20,76.0,2018,1581
167,168,8104,18.0,0,27,30,75.0,2018,1581
168,169,8092,19.0,3,26,27,75.0,2018,1581
169,170,8265,20.0,0,34,21,75.0,2018,1581
170,170,8282,20.0,0,34,21,75.0,2018,1581
171,172,8238,20.0,0,35,20,75.0,2018,1581
172,172,8297,20.0,0,35,20,75.0,2018,1581
173,174,8253,20.0,0,36,19,75.0,2018,1581
174,175,8164,19.0,0,29,26,74.0,2018,1581
175,176,8298,20.0,0,29,25,74.0,2018,1581
176,177,8112,19.0,0,31,24,74.0,2018,1581
177,178,8151,20.0,0,30,24,74.0,2018,1581
178,179,8145,20.0,2,28,24,74.0,2018,1581
179,180,8237,20.0,0,35,19,74.0,2018,1581
180,181,8269,15.0,0,28,30,73.0,2018,1581
181,182,8337,20.0,0,26,27,73.0,2018,1581
182,183,8139,20.0,0,27,26,73.0,2018,1581
183,184,8154,20.0,0,28,25,73.0,2018,1581
184,185,8166,17.0,0,33,23,73.0,2018,1581
185,186,8187,20.0,0,30,23,73.0,2018,1581
186,187,8240,20.0,0,30,23,73.0,2018,1581
187,188,8267,20.0,0,23,29,72.0,2018,1581
188,189,8024,19.0,0,29,24,72.0,2018,1581
189,190,8159,20.0,0,30,22,72.0,2018,1581
190,191,8344,16.0,0,36,20,72.0,2018,1581
191,192,8048,20.0,0,32,20,72.0,2018,1581
192,192,8111,20.0,0,32,20,72.0,2018,1581
193,194,8305,20.0,0,33,19,72.0,2018,1581
194,194,8332,20.0,0,33,19,72.0,2018,1581
195,196,8308,20.0,0,26,25,71.0,2018,1581
196,197,8329,19.0,0,29,23,71.0,2018,1581
197,198,8288,19.0,2,27,23,71.0,2018,1581
198,199,8302,20.0,0,30,21,71.0,2018,1581
199,200,8028,20.0,0,31,20,71.0,2018,1581
200,201,8025,19.0,0,33,19,71.0,2018,1581
201,201,8135,19.0,0,33,19,71.0,2018,1581
202,203,8299,20.0,0,34,17,71.0,2018,1581
203,204,8176,20.0,0,34,17,71.0,2018,1581
204,205,8230,20.0,0,38,13,71.0,2018,1581
205,206,8033,16.0,0,28,26,70.0,2018,1581
206,207,8311,20.0,0,25,25,70.0,2018,1581
207,208,8113,20.0,0,27,23,70.0,2018,1581
208,209,8045,20.0,0,29,21,70.0,2018,1581
209,210,8251,18.0,0,32,20,70.0,2018,1581
210,211,8097,20.0,0,31,19,70.0,2018,1581
211,212,8018,17.0,0,36,17,70.0,2018,1581
212,213,8155,19.0,0,28,22,69.0,2018,1581
213,214,8068,19.0,0,29,21,69.0,2018,1581
214,215,8259,20.0,0,32,17,69.0,2018,1581
215,216,8222,19.0,0,24,25,68.0,2018,1581
216,217,8198,20.0,0,30,18,68.0,2018,1581
217,218,8043,19.0,0,26,22,67.0,2018,1581
218,219,8144,20.0,0,25,22,67.0,2018,1581
219,220,8317,18.0,0,29,20,67.0,2018,1581
220,221,8213,19.0,0,34,14,67.0,2018,1581
221,222,8263,15.0,0,28,23,66.0,2018,1581
222,223,8203,19.0,0,30,17,66.0,2018,1581
223,224,8065,19.0,0,21,25,65.0,2018,1581
224,225,8021,17.0,0,24,24,65.0,2018,1581
225,226,8058,19.0,0,25,21,65.0,2018,1581
226,227,8309,19.0,0,27,19,65.0,2018,1581
227,228,8315,19.0,0,27,19,65.0,2018,1581
228,229,8087,19.0,0,28,18,65.0,2018,1581
229,230,8244,20.0,0,30,15,65.0,2018,1581
230,231,8243,20.0,0,22,22,64.0,2018,1581
231,232,8249,20.0,0,23,21,64.0,2018,1581
232,233,8059,19.0,0,25,20,64.0,2018,1581
233,234,8293,16.0,0,29,19,64.0,2018,1581
234,235,8341,16.0,0,29,19,64.0,2018,1581
235,236,8090,18.0,0,30,16,64.0,2018,1581
236,237,8080,20.0,0,31,13,64.0,2018,1581
237,237,8204,20.0,0,31,13,64.0,2018,1581
238,239,8054,17.0,0,24,22,63.0,2018,1581
239,240,8281,17.0,2,22,22,63.0,2018,1581
240,241,8257,18.0,0,25,20,63.0,2018,1581
241,242,8231,16.0,0,28,19,63.0,2018,1581
242,243,8321,19.0,0,25,19,63.0,2018,1581
243,244,8124,20.0,0,28,15,63.0,2018,1581
244,245,8343,20.0,0,29,14,63.0,2018,1581
245,246,8002,20.0,0,29,14,63.0,2018,1581
246,247,8334,19.0,0,21,22,62.0,2018,1581
247,248,8225,18.0,0,24,20,62.0,2018,1581
248,249,8011,19.0,0,23,20,62.0,2018,1581
249,250,8301,19.0,0,26,17,62.0,2018,1581
250,251,8224,20.0,0,25,17,62.0,2018,1581
251,252,8148,20.0,0,26,16,62.0,2018,1581
252,253,8275,18.0,0,23,20,61.0,2018,1581
253,254,8248,16.0,0,27,18,61.0,2018,1581
254,255,8292,19.0,0,25,17,61.0,2018,1581
255,256,8019,20.0,0,25,16,61.0,2018,1581
256,257,8206,19.0,0,23,18,60.0,2018,1581
257,257,8338,19.0,0,23,18,60.0,2018,1581
258,259,8271,16.0,0,30,14,60.0,2018,1581
259,260,8037,20.0,0,28,12,60.0,2018,1581
260,261,8342,19.0,0,31,10,60.0,2018,1581
261,262,8015,18.0,0,18,23,59.0,2018,1581
262,263,8062,14.0,0,25,20,59.0,2018,1581
263,264,8093,20.0,0,25,14,59.0,2018,1581
264,265,8258,17.0,0,30,12,59.0,2018,1581
265,266,8108,19.0,0,24,15,58.0,2018,1581
266,267,8038,15.0,0,28,14,57.0,2018,1581
267,268,8069,20.0,0,23,14,57.0,2018,1581
268,269,8140,19.0,0,25,13,57.0,2018,1581
269,270,8191,20.0,0,24,13,57.0,2018,1581
270,271,8132,20.0,0,25,12,57.0,2018,1581
271,272,8346,16.0,0,20,20,56.0,2018,1581
272,273,8163,18.0,0,24,14,56.0,2018,1581
273,274,8180,19.0,0,19,17,55.0,2018,1581
274,275,8142,20.0,0,19,16,55.0,2018,1581
275,276,8255,18.0,0,23,14,55.0,2018,1581
276,277,8094,20.0,0,25,10,55.0,2018,1581
