TODROP,RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,28,37,22,39,34,95,0,2019,381
1,29,103,22,39,34,95,0,2019,381
2,30,313,22,36,37,95,0,2019,381
3,31,13,22,34,39,95,0,2019,381
4,32,231,22,33,39,94,0,2019,381
5,33,177,14,39,40,93,0,2019,381
6,34,109,22,34,37,93,0,2019,381
7,35,62,22,29,42,93,0,2019,381
8,36,81,22,40,30,92,0,2019,381
9,37,224,22,31,39,92,0,2019,381
10,38,28,17,37,37,91,0,2019,381
11,39,316,22,34,35,91,0,2019,381
12,40,195,22,32,37,91,0,2019,381
13,41,80,22,30,39,91,0,2019,381
14,42,174,22,28,41,91,0,2019,381
15,43,127,22,40,28,90,0,2019,381
16,44,92,22,34,34,90,0,2019,381
17,45,264,22,30,38,90,0,2019,381
18,46,87,22,29,39,90,0,2019,381
19,47,250,22,32,35,89,0,2019,381
20,48,84,22,29,38,89,0,2019,381
21,49,52,22,27,40,89,0,2019,381
22,50,190,20,34,34,88,0,2019,381
23,51,68,22,23,43,88,0,2019,381
24,52,235,22,23,43,88,0,2019,381
25,53,93,22,30,35,87,0,2019,381
26,54,145,22,35,29,86,0,2019,381
27,55,306,22,29,35,86,0,2019,381
28,56,270,22,29,35,86,0,2019,381
29,57,233,22,26,38,86,0,2019,381
30,58,281,22,25,39,86,0,2019,381
31,59,228,20,35,30,85,0,2019,381
32,60,186,22,34,29,85,0,2019,381
33,61,102,22,28,35,85,0,2019,381
34,62,88,22,28,35,85,0,2019,381
35,63,159,21,27,37,85,0,2019,381
36,64,144,21,36,27,84,0,2019,381
37,65,23,22,34,28,84,0,2019,381
38,66,166,21,28,35,84,0,2019,381
39,67,51,22,26,35,83,0,2019,381
40,68,112,22,35,25,82,0,2019,381
41,69,35,22,31,29,82,0,2019,381
42,70,26,22,29,31,82,0,2019,381
43,71,107,21,28,33,82,0,2019,381
44,72,108,22,25,35,82,0,2019,381
45,73,126,22,25,35,82,0,2019,381
46,74,30,22,23,37,82,0,2019,381
47,75,147,19,34,28,81,0,2019,381
48,76,291,20,30,31,81,0,2019,381
49,77,41,22,25,34,81,0,2019,381
50,78,229,21,39,20,80,0,2019,381
51,79,282,21,34,25,80,0,2019,381
52,80,183,22,30,28,80,0,2019,381
53,81,45,22,29,29,80,0,2019,381
54,82,72,22,27,31,80,0,2019,381
55,83,307,21,26,33,80,0,2019,381
56,84,269,22,26,32,80,0,2019,381
57,85,263,22,25,33,80,0,2019,381
58,86,294,22,24,34,80,0,2019,381
59,87,182,22,24,34,80,0,2019,381
60,88,191,21,29,29,79,0,2019,381
61,89,285,20,33,25,78,0,2019,381
62,90,170,22,26,30,78,0,2019,381
63,91,188,21,25,32,78,0,2019,381
64,92,115,22,25,31,78,0,2019,381
65,93,44,21,33,23,77,0,2019,381
66,94,197,22,21,34,77,0,2019,381
67,95,15,22,19,36,77,0,2019,381
68,96,129,22,27,27,76,0,2019,381
69,97,151,19,20,37,76,0,2019,381
70,98,38,22,19,35,76,0,2019,381
71,99,161,20,27,28,75,0,2019,381
72,100,184,22,27,26,75,0,2019,381
73,101,113,22,27,26,75,0,2019,381
74,102,267,19,25,31,75,0,2019,381
75,103,175,21,24,30,75,0,2019,381
76,104,273,19,30,25,74,0,2019,381
77,105,114,22,26,26,74,0,2019,381
78,106,266,19,23,32,74,0,2019,381
79,107,295,22,23,29,74,0,2019,381
80,108,153,18,21,35,74,0,2019,381
81,109,225,21,21,32,74,0,2019,381
82,110,259,22,25,26,73,0,2019,381
83,111,149,22,23,28,73,0,2019,381
84,112,192,22,20,31,73,0,2019,381
85,113,57,22,18,33,73,0,2019,381
86,114,287,21,22,29,72,0,2019,381
87,115,40,22,22,28,72,0,2019,381
88,116,304,22,21,29,72,0,2019,381
89,117,132,22,27,22,71,0,2019,381
90,118,315,22,24,25,71,0,2019,381
91,119,43,22,23,26,71,0,2019,381
92,120,255,22,23,26,71,0,2019,381
93,121,110,22,10,39,71,0,2019,381
94,122,232,18,23,29,70,0,2019,381
95,123,187,22,21,27,70,0,2019,381
96,124,240,19,20,31,70,0,2019,381
97,125,55,22,20,28,70,0,2019,381
98,126,284,22,29,18,69,0,2019,381
99,127,150,15,27,27,69,0,2019,381
100,128,142,21,24,24,69,0,2019,381
101,129,120,22,24,23,69,0,2019,381
102,130,116,22,25,21,68,0,2019,381
103,131,89,18,21,29,68,0,2019,381
104,132,265,22,19,27,68,0,2019,381
105,133,36,22,17,29,68,0,2019,381
106,134,73,22,15,31,68,0,2019,381
107,135,237,22,13,32,67,0,2019,381
108,136,334,20,28,18,66,0,2019,381
109,137,230,20,20,26,66,0,2019,381
110,138,310,22,19,25,66,0,2019,381
111,139,143,22,16,28,66,0,2019,381
112,140,158,22,11,33,66,0,2019,381
113,141,293,21,26,18,65,0,2019,381
114,142,39,18,24,23,65,0,2019,381
115,143,56,22,24,19,65,0,2019,381
116,144,146,22,24,19,65,0,2019,381
117,145,83,21,22,22,65,0,2019,381
118,146,325,18,19,28,65,0,2019,381
119,147,61,22,16,27,65,0,2019,381
120,148,296,22,13,30,65,0,2019,381
121,149,79,19,22,23,64,0,2019,381
122,150,148,22,19,23,64,0,2019,381
123,151,163,22,19,23,64,0,2019,381
124,152,141,15,12,37,64,0,2019,381
125,153,173,18,32,13,63,0,2019,381
126,154,226,19,25,19,63,0,2019,381
127,155,268,19,25,19,63,0,2019,381
128,156,25,22,25,16,63,0,2019,381
129,157,66,18,23,22,63,0,2019,381
130,158,234,22,18,23,63,0,2019,381
131,159,303,22,19,21,62,0,2019,381
132,160,85,22,17,23,62,0,2019,381
133,161,181,18,15,29,62,0,2019,381
134,162,139,22,15,25,62,0,2019,381
135,163,227,19,20,22,61,0,2019,381
136,164,288,20,20,21,61,0,2019,381
137,165,86,22,20,19,61,0,2019,381
138,166,162,22,18,21,61,0,2019,381
139,167,253,22,16,23,61,0,2019,381
140,168,130,22,13,26,61,0,2019,381
141,169,82,22,12,27,61,0,2019,381
142,170,168,22,23,15,60,0,2019,381
143,171,122,19,18,23,60,0,2019,381
144,172,180,20,17,23,60,0,2019,381
145,173,125,18,15,27,60,0,2019,381
146,174,321,22,15,23,60,0,2019,381
147,175,128,22,19,18,59,0,2019,381
148,176,290,21,17,21,59,0,2019,381
149,177,90,22,13,24,59,0,2019,381
150,178,292,20,10,29,59,0,2019,381
151,179,167,17,17,24,58,0,2019,381
152,180,320,22,15,21,58,0,2019,381
153,181,330,18,22,17,57,0,2019,381
154,182,289,21,19,17,57,0,2019,381
155,183,251,21,15,21,57,0,2019,381
156,184,155,22,12,22,56,0,2019,381
157,185,169,20,10,26,56,0,2019,381
158,186,178,16,20,19,55,0,2019,381
159,187,322,20,17,18,55,0,2019,381
160,188,154,19,16,19,54,0,2019,381
161,189,297,19,24,10,53,0,2019,381
162,190,215,22,12,19,53,0,2019,381
163,191,305,22,12,19,53,0,2019,381
164,192,104,21,20,10,51,0,2019,381
165,193,331,22,8,21,51,0,2019,381
166,194,257,21,12,17,50,0,2019,381
167,195,256,20,9,21,50,0,2019,381
168,196,323,22,9,19,50,0,2019,381
169,197,236,20,7,23,50,0,2019,381
170,198,67,22,15,11,48,0,2019,381
171,199,47,19,12,17,48,0,2019,381
172,200,238,22,11,15,48,0,2019,381
173,201,286,19,10,19,48,0,2019,381
174,202,111,8,21,18,47,0,2019,381
175,203,94,1,28,17,46,0,2019,381
176,204,172,19,16,11,46,0,2019,381
177,205,324,20,12,14,46,0,2019,381
178,206,42,19,11,16,46,0,2019,381
179,207,106,22,8,16,46,0,2019,381
180,208,332,18,13,14,45,0,2019,381
181,209,333,18,12,14,44,0,2019,381
182,210,272,22,9,13,44,0,2019,381
183,211,14,19,10,14,43,0,2019,381
184,212,193,20,9,13,42,0,2019,381
185,213,176,22,4,16,42,0,2019,381
186,214,34,20,11,9,40,0,2019,381
187,215,223,8,13,18,39,0,2019,381
188,216,189,19,10,10,39,0,2019,381
189,217,91,18,9,12,39,0,2019,381
