RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID
27,75,22,39,32,93,0
28,138,22,36,35,93,0
29,17,22,33,38,93,0
30,275,22,32,39,93,0
31,191,22,32,39,93,0
32,262,22,30,41,93,0
33,205,22,27,44,93,0
34,41,22,37,33,92,0
35,234,21,37,33,91,0
36,287,22,35,34,91,0
37,31,22,30,39,91,0
38,135,22,27,42,91,0
39,97,22,26,43,91,0
40,26,22,36,32,90,0
41,45,22,28,40,90,0
42,37,22,33,34,89,0
43,172,21,29,39,89,0
44,139,22,24,43,89,0
45,24,22,35,31,88,0
46,118,18,34,36,88,0
47,78,22,34,32,88,0
48,107,21,33,34,88,0
49,127,22,33,33,88,0
50,201,22,29,37,88,0
51,64,22,28,38,88,0
52,25,22,27,39,88,0
53,85,22,24,42,88,0
54,57,20,32,35,87,0
55,216,22,32,33,87,0
56,263,22,28,37,87,0
57,58,22,23,42,87,0
58,27,22,32,32,86,0
59,267,22,32,32,86,0
60,120,22,32,32,86,0
61,290,22,29,35,86,0
62,174,22,32,31,85,0
63,218,22,29,34,85,0
64,241,22,31,31,84,0
65,131,21,29,33,83,0
66,103,21,28,34,83,0
67,261,22,28,33,83,0
68,175,22,27,34,83,0
69,86,22,25,35,82,0
70,192,22,23,37,82,0
71,202,20,21,41,82,0
72,185,18,35,28,81,0
73,16,22,34,25,81,0
74,128,22,29,30,81,0
75,162,22,28,31,81,0
76,98,22,22,37,81,0
77,65,22,19,40,81,0
78,246,22,32,26,80,0
79,298,19,29,32,80,0
80,193,22,29,29,80,0
81,73,20,27,33,80,0
82,156,21,27,32,80,0
83,258,22,20,38,80,0
84,165,22,31,26,79,0
85,164,21,28,30,79,0
86,212,21,26,32,79,0
87,208,21,33,24,78,0
88,222,21,28,29,78,0
89,140,22,26,30,78,0
90,76,22,20,36,78,0
91,264,17,30,30,77,0
92,104,22,24,31,77,0
93,87,22,23,32,77,0
94,245,22,29,25,76,0
95,302,18,28,30,76,0
96,251,21,27,28,76,0
97,173,21,22,33,76,0
98,161,21,17,38,76,0
99,273,21,30,24,75,0
100,282,21,27,27,75,0
101,53,21,23,31,75,0
102,266,22,22,31,75,0
103,206,22,21,32,75,0
104,32,22,19,34,75,0
105,133,22,19,34,75,0
106,272,20,25,29,74,0
107,278,22,23,29,74,0
108,125,22,23,29,74,0
109,111,22,22,30,74,0
110,54,21,20,33,74,0
111,255,22,20,31,73,0
112,215,20,23,29,72,0
113,137,22,22,28,72,0
114,265,20,19,33,72,0
115,190,22,19,31,72,0
