RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID
28,37,22,39,34,95,0
29,103,22,39,34,95,0
30,313,22,36,37,95,0
31,13,22,34,39,95,0
32,231,22,33,39,94,0
33,177,14,39,40,93,0
34,109,22,34,37,93,0
35,62,22,29,42,93,0
36,81,22,40,30,92,0
37,224,22,31,39,92,0
38,28,17,37,37,91,0
39,316,22,34,35,91,0
40,195,22,32,37,91,0
41,80,22,30,39,91,0
42,174,22,28,41,91,0
43,127,22,40,28,90,0
44,92,22,34,34,90,0
45,264,22,30,38,90,0
46,87,22,29,39,90,0
47,250,22,32,35,89,0
48,84,22,29,38,89,0
49,52,22,27,40,89,0
50,190,20,34,34,88,0
51,68,22,23,43,88,0
52,235,22,23,43,88,0
53,93,22,30,35,87,0
54,145,22,35,29,86,0
55,306,22,29,35,86,0
56,270,22,29,35,86,0
57,233,22,26,38,86,0
58,281,22,25,39,86,0
59,228,20,35,30,85,0
60,186,22,34,29,85,0
61,102,22,28,35,85,0
62,88,22,28,35,85,0
63,159,21,27,37,85,0
64,144,21,36,27,84,0
65,23,22,34,28,84,0
66,166,21,28,35,84,0
67,51,22,26,35,83,0
68,112,22,35,25,82,0
69,35,22,31,29,82,0
70,26,22,29,31,82,0
71,107,21,28,33,82,0
72,108,22,25,35,82,0
73,126,22,25,35,82,0
74,30,22,23,37,82,0
75,147,19,34,28,81,0
76,291,20,30,31,81,0
77,41,22,25,34,81,0
78,229,21,39,20,80,0
79,282,21,34,25,80,0
80,183,22,30,28,80,0
81,45,22,29,29,80,0
82,72,22,27,31,80,0
83,307,21,26,33,80,0
84,269,22,26,32,80,0
85,263,22,25,33,80,0
86,294,22,24,34,80,0
87,182,22,24,34,80,0
88,191,21,29,29,79,0
89,285,20,33,25,78,0
90,170,22,26,30,78,0
91,188,21,25,32,78,0
92,115,22,25,31,78,0
93,44,21,33,23,77,0
94,197,22,21,34,77,0
95,15,22,19,36,77,0
96,129,22,27,27,76,0
97,151,19,20,37,76,0
98,38,22,19,35,76,0
99,161,20,27,28,75,0
100,184,22,27,26,75,0
101,113,22,27,26,75,0
102,267,19,25,31,75,0
103,175,21,24,30,75,0
104,273,19,30,25,74,0
105,114,22,26,26,74,0
106,266,19,23,32,74,0
107,295,22,23,29,74,0
108,153,18,21,35,74,0
109,225,21,21,32,74,0
110,259,22,25,26,73,0
111,149,22,23,28,73,0
112,192,22,20,31,73,0
113,57,22,18,33,73,0
114,287,21,22,29,72,0
115,40,22,22,28,72,0
116,304,22,21,29,72,0
117,132,22,27,22,71,0
118,315,22,24,25,71,0
119,43,22,23,26,71,0
120,255,22,23,26,71,0
121,110,22,10,39,71,0
122,232,18,23,29,70,0
123,187,22,21,27,70,0
124,240,19,20,31,70,0
125,55,22,20,28,70,0
126,284,22,29,18,69,0
127,150,15,27,27,69,0
128,142,21,24,24,69,0
129,120,22,24,23,69,0
130,116,22,25,21,68,0
131,89,18,21,29,68,0
132,265,22,19,27,68,0
133,36,22,17,29,68,0
134,73,22,15,31,68,0
135,237,22,13,32,67,0
136,334,20,28,18,66,0
137,230,20,20,26,66,0
138,310,22,19,25,66,0
139,143,22,16,28,66,0
140,158,22,11,33,66,0
141,293,21,26,18,65,0
142,39,18,24,23,65,0
143,56,22,24,19,65,0
144,146,22,24,19,65,0
145,83,21,22,22,65,0
146,325,18,19,28,65,0
147,61,22,16,27,65,0
148,296,22,13,30,65,0
149,79,19,22,23,64,0
150,148,22,19,23,64,0
151,163,22,19,23,64,0
152,141,15,12,37,64,0
153,173,18,32,13,63,0
154,226,19,25,19,63,0
155,268,19,25,19,63,0
156,25,22,25,16,63,0
157,66,18,23,22,63,0
158,234,22,18,23,63,0
159,303,22,19,21,62,0
160,85,22,17,23,62,0
161,181,18,15,29,62,0
162,139,22,15,25,62,0
163,227,19,20,22,61,0
164,288,20,20,21,61,0
165,86,22,20,19,61,0
166,162,22,18,21,61,0
167,253,22,16,23,61,0
168,130,22,13,26,61,0
169,82,22,12,27,61,0
170,168,22,23,15,60,0
171,122,19,18,23,60,0
172,180,20,17,23,60,0
173,125,18,15,27,60,0
174,321,22,15,23,60,0
175,128,22,19,18,59,0
176,290,21,17,21,59,0
177,90,22,13,24,59,0
178,292,20,10,29,59,0
179,167,17,17,24,58,0
180,320,22,15,21,58,0
181,330,18,22,17,57,0
182,289,21,19,17,57,0
183,251,21,15,21,57,0
184,155,22,12,22,56,0
185,169,20,10,26,56,0
186,178,16,20,19,55,0
187,322,20,17,18,55,0
188,154,19,16,19,54,0
189,297,19,24,10,53,0
190,215,22,12,19,53,0
191,305,22,12,19,53,0
192,104,21,20,10,51,0
193,331,22,8,21,51,0
194,257,21,12,17,50,0
195,256,20,9,21,50,0
196,323,22,9,19,50,0
197,236,20,7,23,50,0
198,67,22,15,11,48,0
199,47,19,12,17,48,0
200,238,22,11,15,48,0
201,286,19,10,19,48,0
202,111,8,21,18,47,0
203,94,1,28,17,46,0
204,172,19,16,11,46,0
205,324,20,12,14,46,0
206,42,19,11,16,46,0
207,106,22,8,16,46,0
208,332,18,13,14,45,0
209,333,18,12,14,44,0
210,272,22,9,13,44,0
211,14,19,10,14,43,0
212,193,20,9,13,42,0
213,176,22,4,16,42,0
214,34,20,11,9,40,0
215,223,8,13,18,39,0
216,189,19,10,10,39,0
217,91,18,9,12,39,0
218,105,19,6,13,38,0
219,53,22,4,12,38,0
220,65,17,8,12,37,0
221,335,15,7,15,37,0
222,329,21,4,12,37,0
223,319,21,7,8,36,0
224,260,21,4,11,36,0
225,326,15,8,10,33,0
226,69,17,8,8,33,0
227,271,18,5,10,33,0
228,58,18,2,13,33,0
229,262,14,7,11,32,0
230,318,-1,12,20,31,0
231,59,18,6,7,31,0
232,164,18,5,8,31,0
233,252,17,4,9,30,0
234,283,21,1,8,30,0
235,261,18,6,5,29,0
236,328,-1,7,21,27,0
237,312,8,8,5,21,0
238,254,2,5,14,21,0
239,327,3,1,4,8,0
240,317,-20,5,12,-3,0
241,54,-40,11,20,-9,0
242,258,-105,11,21,-73,0
1,311,22,48,48,118,1
2,239,22,48,45,115,1
3,70,22,42,46,110,1
4,46,22,42,45,109,1
5,160,22,42,43,107,1
6,117,19,45,41,105,1
