RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
128,103,22,28,27,77,0,2017,381
129,220,16,21,40,77,0,2017,381
130,298,22,30,24,76,0,2017,381
131,251,22,28,26,76,0,2017,381
132,283,22,26,28,76,0,2017,381
133,213,22,24,30,76,0,2017,381
134,40,22,30,23,75,0,2017,381
135,187,22,26,27,75,0,2017,381
136,215,22,25,28,75,0,2017,381
137,292,19,30,25,74,0,2017,381
138,253,19,29,26,74,0,2017,381
139,191,22,29,23,74,0,2017,381
140,222,22,29,23,74,0,2017,381
141,216,22,24,28,74,0,2017,381
142,79,22,23,29,74,0,2017,381
143,232,19,29,25,73,0,2017,381
144,62,20,24,29,73,0,2017,381
145,101,21,22,30,73,0,2017,381
146,286,21,33,18,72,0,2017,381
147,248,16,27,29,72,0,2017,381
148,190,18,26,28,72,0,2017,381
149,150,22,25,25,72,0,2017,381
150,104,21,30,20,71,0,2017,381
151,308,17,28,26,71,0,2017,381
152,263,22,24,25,71,0,2017,381
153,300,22,20,29,71,0,2017,381
154,261,22,29,19,70,0,2017,381
155,290,21,26,23,70,0,2017,381
156,100,22,22,26,70,0,2017,381
157,81,22,21,27,70,0,2017,381
158,107,22,19,29,70,0,2017,381
159,116,20,24,25,69,0,2017,381
160,69,22,21,25,68,0,2017,381
161,218,21,27,19,67,0,2017,381
162,211,22,22,23,67,0,2017,381
163,229,22,22,23,67,0,2017,381
164,72,22,21,24,67,0,2017,381
165,71,22,17,28,67,0,2017,381
166,140,19,25,22,66,0,2017,381
167,288,17,30,18,65,0,2017,381
168,136,16,29,20,65,0,2017,381
169,280,19,23,23,65,0,2017,381
170,209,21,22,22,65,0,2017,381
171,314,19,20,26,65,0,2017,381
172,114,21,18,26,65,0,2017,381
173,231,20,18,27,65,0,2017,381
174,47,22,17,26,65,0,2017,381
175,94,21,25,18,64,0,2017,381
176,244,19,24,21,64,0,2017,381
177,74,21,23,20,64,0,2017,381
178,147,21,22,21,64,0,2017,381
179,255,22,22,20,64,0,2017,381
180,135,22,21,21,64,0,2017,381
181,108,20,17,27,64,0,2017,381
182,153,22,15,27,64,0,2017,381
183,48,22,22,19,63,0,2017,381
184,312,17,21,25,63,0,2017,381
185,50,22,19,22,63,0,2017,381
186,97,20,16,27,63,0,2017,381
187,193,22,13,27,62,0,2017,381
188,157,21,16,24,61,0,2017,381
189,310,22,14,25,61,0,2017,381
190,118,21,20,19,60,0,2017,381
191,235,10,30,19,59,0,2017,381
192,233,17,23,19,59,0,2017,381
193,181,21,19,19,59,0,2017,381
194,189,20,18,21,59,0,2017,381
195,296,22,17,20,59,0,2017,381
196,284,18,16,24,58,0,2017,381
197,243,18,16,24,58,0,2017,381
198,250,18,18,21,57,0,2017,381
199,86,22,16,19,57,0,2017,381
200,186,17,14,25,56,0,2017,381
201,210,14,20,21,55,0,2017,381
202,269,17,18,20,55,0,2017,381
203,315,17,16,22,55,0,2017,381
204,266,22,11,22,55,0,2017,381
205,59,20,20,14,54,0,2017,381
206,139,19,18,16,53,0,2017,381
207,256,11,21,20,52,0,2017,381
208,144,19,15,18,52,0,2017,381
209,313,21,14,16,51,0,2017,381
210,281,18,16,13,47,0,2017,381
211,38,20,16,11,47,0,2017,381
212,80,19,15,13,47,0,2017,381
213,156,20,13,13,46,0,2017,381
214,249,11,14,20,45,0,2017,381
215,287,6,20,18,44,0,2017,381
216,246,18,7,19,44,0,2017,381
217,297,20,9,12,41,0,2017,381
218,106,18,8,13,39,0,2017,381
219,183,18,3,11,32,0,2017,381
220,151,-2,13,10,21,0,2017,381
221,61,-2,12,9,19,0,2017,381
1,64,22,48,46,116,1,2017,381
2,237,22,46,47,115,1,2017,381
3,65,22,42,49,113,1,2017,381
4,224,22,42,47,111,1,2017,381
5,96,22,48,40,110,1,2017,381
6,178,22,44,44,110,1,2017,381
7,148,22,43,45,110,1,2017,381
8,20,22,42,46,110,1,2017,381
9,113,22,44,43,109,1,2017,381
10,58,22,41,46,109,1,2017,381
11,236,22,44,42,108,1,2017,381
12,36,22,42,44,108,1,2017,381
13,46,22,42,44,108,1,2017,381
14,99,22,40,46,108,1,2017,381
15,41,22,42,43,107,1,2017,381
16,60,22,40,45,107,1,2017,381
17,57,22,46,38,106,1,2017,381
18,294,22,46,38,106,1,2017,381
19,252,22,41,43,106,1,2017,381
20,285,22,39,45,106,1,2017,381
21,66,22,37,47,106,1,2017,381
22,42,22,48,35,105,1,2017,381
23,180,21,43,41,105,1,2017,381
24,177,22,40,43,105,1,2017,381
25,185,22,44,38,104,1,2017,381
26,37,22,42,40,104,1,2017,381
27,82,22,40,42,104,1,2017,381
28,39,22,38,44,104,1,2017,381
