TODROP,RANK,ID,GRADES,MATH,CZECH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
130,157,124,21,15,28,64,0,2018,381
131,158,300,22,25,16,63,0,2018,381
132,159,145,21,19,23,63,0,2018,381
133,160,299,21,17,25,63,0,2018,381
134,161,59,20,14,29,63,0,2018,381
135,162,186,22,11,30,63,0,2018,381
136,163,189,20,22,20,62,0,2018,381
137,164,244,19,21,21,61,0,2018,381
138,165,141,22,16,23,61,0,2018,381
139,166,126,20,11,30,61,0,2018,381
140,167,100,22,10,29,61,0,2018,381
141,168,42,21,19,20,60,0,2018,381
142,169,239,19,14,27,60,0,2018,381
143,170,81,22,13,25,60,0,2018,381
144,171,171,20,22,16,58,0,2018,381
145,172,301,19,18,21,58,0,2018,381
146,173,18,20,14,24,58,0,2018,381
147,174,60,21,13,24,58,0,2018,381
148,175,207,21,11,26,58,0,2018,381
149,176,34,19,17,21,57,0,2018,381
150,177,254,16,16,25,57,0,2018,381
151,178,198,21,18,17,56,0,2018,381
152,179,77,16,14,26,56,0,2018,381
153,180,235,21,13,22,56,0,2018,381
154,181,194,20,12,24,56,0,2018,381
155,182,101,21,12,23,56,0,2018,381
156,183,294,21,6,29,56,0,2018,381
157,184,237,20,16,19,55,0,2018,381
158,185,277,18,14,23,55,0,2018,381
159,186,110,22,14,19,55,0,2018,381
160,187,243,16,18,20,54,0,2018,381
161,188,293,17,15,22,54,0,2018,381
162,189,83,22,14,18,54,0,2018,381
163,190,250,20,12,22,54,0,2018,381
164,191,121,19,19,15,53,0,2018,381
165,192,102,18,14,21,53,0,2018,381
166,193,274,18,16,18,52,0,2018,381
167,194,240,21,16,15,52,0,2018,381
168,195,209,22,16,14,52,0,2018,381
169,196,82,21,13,16,50,0,2018,381
170,197,236,17,10,23,50,0,2018,381
171,198,242,22,7,21,50,0,2018,381
172,199,252,13,14,22,49,0,2018,381
173,200,182,20,14,15,49,0,2018,381
174,201,285,22,14,12,48,0,2018,381
175,202,129,17,13,18,48,0,2018,381
176,203,280,17,13,18,48,0,2018,381
177,204,203,20,15,12,47,0,2018,381
178,205,259,20,8,19,47,0,2018,381
179,206,99,21,8,18,47,0,2018,381
180,207,142,22,9,14,45,0,2018,381
181,208,295,18,8,19,45,0,2018,381
182,209,217,19,8,18,45,0,2018,381
183,210,196,17,7,21,45,0,2018,381
184,211,79,21,7,16,44,0,2018,381
185,212,84,20,15,8,43,0,2018,381
186,213,132,19,7,17,43,0,2018,381
187,214,157,21,11,10,42,0,2018,381
188,215,249,1,23,17,41,0,2018,381
189,216,195,12,17,10,39,0,2018,381
190,217,88,19,8,12,39,0,2018,381
191,218,67,12,14,11,37,0,2018,381
192,219,68,15,13,9,37,0,2018,381
193,220,291,9,13,14,36,0,2018,381
194,221,46,17,12,7,36,0,2018,381
195,222,47,15,9,11,35,0,2018,381
196,223,30,17,6,12,35,0,2018,381
197,224,167,19,6,8,33,0,2018,381
198,225,276,20,2,10,32,0,2018,381
199,226,134,17,5,8,30,0,2018,381
200,227,297,9,9,9,27,0,2018,381
201,228,136,-2,7,15,20,0,2018,381
202,229,144,-20,5,10,-5,0,2018,381
203,1,197,22,42,48,112,1,2018,381
204,2,36,22,44,45,111,1,2018,381
205,3,253,22,41,48,111,1,2018,381
206,4,112,22,45,43,110,1,2018,381
207,5,284,22,44,44,110,1,2018,381
208,6,71,22,43,43,108,1,2018,381
209,7,288,21,41,45,107,1,2018,381
210,8,106,22,38,47,107,1,2018,381
211,9,160,22,46,38,106,1,2018,381
212,10,43,22,40,43,105,1,2018,381
213,11,74,22,42,40,104,1,2018,381
214,12,33,22,40,41,103,1,2018,381
215,13,122,22,40,41,103,1,2018,381
216,14,89,22,42,37,101,1,2018,381
217,15,105,22,38,41,101,1,2018,381
218,16,38,22,36,43,101,1,2018,381
219,17,108,22,39,39,100,1,2018,381
220,18,170,21,38,39,98,1,2018,381
221,19,148,22,34,42,98,1,2018,381
222,20,231,22,38,37,97,1,2018,381
223,21,289,22,36,39,97,1,2018,381
224,22,233,22,41,33,96,1,2018,381
225,23,211,22,39,35,96,1,2018,381
226,24,169,22,37,37,96,1,2018,381
227,25,55,22,34,39,95,1,2018,381
228,26,143,22,28,44,94,1,2018,381
