Výsledky přijímacího řízení do 8 letého studia - dle pořadí uchazeče,,,,,,,,
Pořadí,Ev. číslo žáka,Olympiády,OSP,Vysvědčení,ČJL,Mat,Celkem,Přijat
205.,2017014,0,"18,50","10,00","25,00","21,00","74,50",Ne
206.,20170209,0,"19,00","9,50","19,00","26,00","73,50",Ne
207.,20170448,0,"20,00","9,55","20,00","23,00","72,55",Ne
208.,20170225,0,"17,00","9,44","17,00","27,00","70,44",Ne
209.,20170196,0,"18,50","9,35","23,00","19,00","69,85",Ne
210.,20170443,0,"15,50","9,22","27,00","18,00","69,72",Ne
211.,20170468,0,"25,50","8,98","22,00","12,00","68,48",Ne
212.,20170159,0,"13,00","8,85","24,00","22,00","67,85",Ne
213.,20170107,0,"16,00","9,55","27,00","13,00","65,55",Ne
214.,20170212,0,"13,00","9,35","20,00","23,00","65,35",Ne
215.,20170472,0,"14,50","8,99","18,00","22,00","63,49",Ne
216.,20170273,0,"14,50","8,92","17,00","23,00","63,42",Ne
217.,20170458,0,"20,00","9,00","19,00","14,00","62,00",Ne
218.,20170142,0,"14,00","8,79","17,00","22,00","61,79",Ne
219.,20170146,0,"19,50","9,94","16,00","12,00","57,44",Ne
220.,20170470,0,"9,00","7,94","23,00","17,00","56,94",Ne
221.,20170287,0,"15,50","8,61","18,00","14,00","56,11",Ne
222.,20170378,0,"9,00","9,10","16,00","21,00","55,10",Ne
223.,20170370,0,"12,00","9,58","12,00","20,00","53,58",Ne
224.,20170157,0,"9,00","9,43","15,00","19,00","52,43",Ne
225.,20170374,0,"5,50","9,13","17,00","14,00","45,63",Ne
226.,20170384,0,"4,50","7,74","13,00","14,00","39,24",Ne
