ID,Termín,GRADES,MATH,CZECH,SUM,RANK,ADMITTED_ID
817333,2,"12,0",33,35,"80,0",124,nepřijat/a
817334,2,"12,0",42,42,"96,0",23,přijat/a
817335,2,"7,8",23,31,"61,8",244,nepřijat/a
817336,2,"9,4",35,33,"77,4",139,nepřijat/a
817337,2,"12,0",40,40,"92,0",40,přijat/a
817338,2,"10,6",34,24,"68,6",199,nepřijat/a
817339,2,"12,0",30,39,"81,0",116,nepřijat/a
817340,2,"9,4",40,22,"71,4",179,nepřijat/a
817341,2,"8,0",38,38,"84,0",93,nepřijat/a
817342,2,"7,6",33,22,"62,6",235,nepřijat/a
817343,2,"11,4",23,28,"62,4",237,nepřijat/a
817344,2,"12,0",46,47,"105,0",3,přijat/a
817345,2,"12,0",26,18,"56,0",277,nepřijat/a
817346,2,"12,0",33,37,"82,0",108,nepřijat/a
817347,2,"12,0",19,25,"56,0",277,nepřijat/a
817348,2,"12,0",11,20,"43,0",321,nepřijat/a
817349,2,"11,4",17,14,"42,4",327,nepřijat/a
