TODROP,ID,TERMIN,GRADES,MATH,CZECH,SUM,RANK,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
86,817088,1,12.0,31,33,76.0,152,nepřijat/a,2017,1981
87,817089,1,12.0,35,30,77.0,143,nepřijat/a,2017,1981
88,817090,1,10.6,39,37,86.6,76,nepřijat/a,2017,1981
89,817091,1,9.8,41,27,77.8,136,nepřijat/a,2017,1981
90,817092,1,11.4,43,32,86.4,77,nepřijat/a,2017,1981
91,817093,1,12.0,46,45,103.0,7,přijat/a,2017,1981
92,817094,1,3.4,34,18,55.4,283,nepřijat/a,2017,1981
93,817095,1,10.8,23,26,59.8,261,nepřijat/a,2017,1981
94,817096,1,9.0,37,27,73.0,167,nepřijat/a,2017,1981
95,817097,1,10.6,17,31,58.6,266,nepřijat/a,2017,1981
96,817099,1,11.2,31,34,76.2,150,nepřijat/a,2017,1981
97,817100,1,12.0,25,24,61.0,250,nepřijat/a,2017,1981
98,817101,1,12.0,37,44,93.0,35,přijat/a,2017,1981
99,817102,1,12.0,42,45,99.0,18,přijat/a,2017,1981
100,817103,1,10.6,14,20,44.6,311,nepřijat/a,2017,1981
101,817104,1,12.0,40,33,85.0,83,nepřijat/a,2017,1981
102,817105,1,8.0,30,22,60.0,257,nepřijat/a,2017,1981
103,817106,1,12.0,36,38,86.0,78,nepřijat/a,2017,1981
104,817107,1,10.6,22,21,53.6,286,nepřijat/a,2017,1981
105,817108,1,8.4,25,17,50.4,295,nepřijat/a,2017,1981
106,817109,1,11.4,27,25,63.4,229,nepřijat/a,2017,1981
107,817110,1,12.0,39,38,89.0,55,přijat/a,2017,1981
108,817111,1,0.0,24,18,42.0,328,nepřijat/a,2017,1981
109,817112,1,11.4,29,20,60.4,253,nepřijat/a,2017,1981
110,817113,1,7.8,29,39,75.8,156,nepřijat/a,2017,1981
111,817114,1,7.4,18,16,41.4,331,nepřijat/a,2017,1981
112,817115,1,12.0,32,40,84.0,93,nepřijat/a,2017,1981
113,817116,1,9.2,19,12,40.2,334,nepřijat/a,2017,1981
114,817117,1,12.0,44,32,88.0,62,přijat/a,2017,1981
115,817118,1,12.0,39,34,85.0,83,nepřijat/a,2017,1981
116,817119,1,6.0,28,24,58.0,268,nepřijat/a,2017,1981
117,817120,1,12.0,29,21,62.0,242,nepřijat/a,2017,1981
118,817121,1,12.0,34,34,80.0,124,nepřijat/a,2017,1981
119,817122,1,11.4,32,33,76.4,149,nepřijat/a,2017,1981
120,817123,1,7.6,24,30,61.6,247,nepřijat/a,2017,1981
121,817124,1,2.2,23,37,62.2,241,nepřijat/a,2017,1981
122,817125,1,12.0,33,37,82.0,108,nepřijat/a,2017,1981
123,817126,1,7.6,25,29,61.6,247,nepřijat/a,2017,1981
124,817127,1,12.0,38,39,89.0,55,přijat/a,2017,1981
125,817128,1,11.4,24,31,66.4,210,nepřijat/a,2017,1981
126,817129,1,7.6,13,21,41.6,329,nepřijat/a,2017,1981
127,817130,1,11.4,26,18,55.4,283,nepřijat/a,2017,1981
128,817131,1,12.0,42,34,88.0,62,přijat/a,2017,1981
129,817132,1,10.6,31,20,61.6,247,nepřijat/a,2017,1981
130,817133,1,12.0,48,45,105.0,3,přijat/a,2017,1981
131,817134,1,12.0,48,45,105.0,3,přijat/a,2017,1981
132,817135,1,11.4,20,20,51.4,292,nepřijat/a,2017,1981
133,817136,1,12.0,33,36,81.0,116,nepřijat/a,2017,1981
134,817137,1,7.0,34,31,72.0,174,nepřijat/a,2017,1981
135,817138,1,11.4,29,26,66.4,210,nepřijat/a,2017,1981
136,817139,1,3.0,25,24,52.0,291,nepřijat/a,2017,1981
137,817140,1,12.0,10,19,41.0,333,nepřijat/a,2017,1981
138,817141,1,9.2,21,26,56.2,276,nepřijat/a,2017,1981
139,817142,1,9.0,10,24,43.0,321,nepřijat/a,2017,1981
140,817143,1,8.2,43,30,81.2,115,nepřijat/a,2017,1981
141,817144,1,9.2,16,20,45.2,310,nepřijat/a,2017,1981
142,817145,1,11.2,18,21,50.2,297,nepřijat/a,2017,1981
143,817146,1,12.0,36,24,72.0,174,nepřijat/a,2017,1981
144,817147,1,10.6,27,32,69.6,192,nepřijat/a,2017,1981
145,817148,1,11.4,27,30,68.4,202,nepřijat/a,2017,1981
146,817149,1,12.0,38,34,84.0,93,nepřijat/a,2017,1981
147,817150,1,8.2,15,14,37.2,340,nepřijat/a,2017,1981
148,817151,1,12.0,29,31,72.0,174,nepřijat/a,2017,1981
149,817152,1,0.2,33,18,51.2,294,nepřijat/a,2017,1981
150,817153,1,11.4,34,33,78.4,134,nepřijat/a,2017,1981
151,817154,1,6.2,24,39,69.2,194,nepřijat/a,2017,1981
152,817155,1,12.0,30,31,73.0,167,nepřijat/a,2017,1981
153,817156,1,4.2,23,32,59.2,263,nepřijat/a,2017,1981
154,817157,1,12.0,39,33,84.0,93,nepřijat/a,2017,1981
155,817158,1,12.0,40,30,82.0,108,nepřijat/a,2017,1981
156,817159,1,12.0,27,28,67.0,208,nepřijat/a,2017,1981
157,817160,1,0.0,23,20,43.0,321,nepřijat/a,2017,1981
158,817161,1,10.6,27,28,65.6,216,nepřijat/a,2017,1981
159,817162,1,12.0,46,45,103.0,7,přijat/a,2017,1981
160,817163,1,7.4,22,20,49.4,299,nepřijat/a,2017,1981
161,817164,1,10.6,20,12,42.6,325,nepřijat/a,2017,1981
162,817165,1,11.4,14,35,60.4,253,nepřijat/a,2017,1981
163,817166,1,12.0,19,17,48.0,304,nepřijat/a,2017,1981
164,817167,1,11.4,10,20,41.4,331,nepřijat/a,2017,1981
165,817168,1,12.0,44,38,94.0,30,přijat/a,2017,1981
166,817169,1,9.2,36,32,77.2,142,nepřijat/a,2017,1981
167,817170,1,12.0,37,27,76.0,152,nepřijat/a,2017,1981
168,817171,1,12.0,31,26,69.0,196,nepřijat/a,2017,1981
169,817172,1,12.0,42,45,99.0,18,přijat/a,2017,1981
170,817173,1,12.0,35,29,76.0,152,nepřijat/a,2017,1981
171,817174,1,12.0,28,31,71.0,183,nepřijat/a,2017,1981
172,817175,1,12.0,44,40,96.0,23,přijat/a,2017,1981
173,817176,1,0.0,30,30,60.0,257,nepřijat/a,2017,1981
174,817177,1,3.8,20,25,48.8,301,nepřijat/a,2017,1981
175,817178,1,12.0,44,27,83.0,103,nepřijat/a,2017,1981
176,817179,1,12.0,35,22,69.0,196,nepřijat/a,2017,1981
177,817180,1,12.0,42,30,84.0,93,nepřijat/a,2017,1981
178,817181,1,6.8,35,21,62.8,234,nepřijat/a,2017,1981
179,817182,1,9.4,28,25,62.4,237,nepřijat/a,2017,1981
180,817183,1,12.0,43,32,87.0,70,přijat/a,2017,1981
181,817184,1,12.0,11,21,44.0,314,nepřijat/a,2017,1981
182,817185,1,8.4,30,33,71.4,179,nepřijat/a,2017,1981
183,817186,1,10.6,26,38,74.6,161,nepřijat/a,2017,1981
184,817187,1,11.2,36,35,82.2,106,nepřijat/a,2017,1981
185,817188,1,12.0,44,34,90.0,47,přijat/a,2017,1981
186,817189,1,11.4,32,21,64.4,223,nepřijat/a,2017,1981
187,817190,1,6.6,20,23,49.6,298,nepřijat/a,2017,1981
188,817191,1,9.2,44,31,84.2,91,nepřijat/a,2017,1981
189,817192,1,10.6,39,39,88.6,61,přijat/a,2017,1981
190,817193,1,9.0,23,24,56.0,277,nepřijat/a,2017,1981
