RANK,ID,4,5,GRADES,CONTESTS,CZECH,MATH,SUM,ADMITTED_ID
111.-114.,123,1,1,20,0,55.8,66.6,142.4,0
111.-114.,152,1,1,20,0,55.8,66.6,142.4,0
111.-114.,201,1,1,20,0,66.6,55.8,142.4,0
111.-114.,233,1,1,20,0,73.8,48.6,142.4,0
115,344,1,1.2,18,0,54,70.2,142.2,0
116,156,1.4,1.2,14,0,66.6,61.2,141.8,0
117.-119.,263,1,1,20,0,57.6,63,140.6,0
117.-119.,337,1,1,20,0,52.2,68.4,140.6,0
117.-119.,348,1,1,20,0,59.4,61.2,140.6,0
120,317,1,1.6,14,0,54,72,140,0
121.-122.,241,1,1,20,0,61.2,57.6,138.8,0
121.-122.,379,1,1,20,0,79.2,39.6,138.8,0
123.-124.,273,1,1,20,0,52.2,64.8,137,0
123.-124.,407,1,1,20,0,68.4,48.6,137,0
125,399,1,1.2,18,0,57.6,61.2,136.8,0
126,439,1.2,1.2,16,0,52.2,68.4,136.6,0
127.-131.,117,1,1,20,0,59.4,55.8,135.2,0
127.-131.,203,1,1,20,0,64.8,50.4,135.2,0
127.-131.,267,1,1,20,0,45,70.2,135.2,0
127.-131.,279,1,1,20,0,57.6,57.6,135.2,0
127.-131.,412,1,1,20,0,54,61.2,135.2,0
132.-135.,171,1,1,20,0,59.4,54,133.4,0
132.-135.,211,1,1,20,0,57.6,55.8,133.4,0
132.-135.,325,1,1,20,0,61.2,52.2,133.4,0
132.-135.,355,1,1,20,0,64.8,48.6,133.4,0
136,238,1.4,1.2,14,0,64.8,54,132.8,0
137,454,1.6,1.4,10,0,52.2,70.2,132.4,0
138,246,1,1,20,0,46.8,64.8,131.6,0
139.-140.,214,1,1.2,18,0,50.4,63,131.4,0
139.-140.,303,1,1.2,18,0,55.8,57.6,131.4,0
141,259,1,1,20,0,54,55.8,129.8,0
142,277,1,1.4,16,0,34.2,79.2,129.4,0
143,332,1,1.6,14,0,63,52.2,129.2,0
144,343,1,1,20,0,64.8,43.2,128,0
145.-147.,175,1,1,20,0,64.8,41.4,126.2,0
145.-147.,327,1,1,20,0,59.4,46.8,126.2,0
145.-147.,361,1,1,20,0,52.2,54,126.2,0
148,378,1,1.2,18,0,63,45,126,0
149,185,1.2,1.2,16,0,57.6,52.2,125.8,0
150.-153.,200,1,1,20,0,59.4,45,124.4,0
150.-153.,209,1,1,20,0,46.8,57.6,124.4,0
150.-153.,274,1,1,20,0,59.4,45,124.4,0
150.-153.,284,1,1,20,0,55.8,48.6,124.4,0
154,285,1,1.2,18,0,52.2,54,124.2,0
155,396,1,1.4,16,0,59.4,48.6,124,0
156,213,1,1,20,0,59.4,43.2,122.6,0
157,226,1.2,1,18,0,45,59.4,122.4,0
158,422,1,1.6,14,0,57.6,50.4,122,0
159,323,1.4,1.6,10,0,34.2,75.6,119.8,0
160,172,1,1,20,0,52.2,45,117.2,0
161,204,1.2,1,18,0,57.6,41.4,117,0
162,310,1.2,1.4,14,0,48.6,54,116.6,0
163,419,1,1,20,0,55.8,39.6,115.4,0
164,141,1.2,1.4,14,0,41.4,59.4,114.8,0
165,188,1,1,20,0,52.2,41.4,113.6,0
166.-167.,397,1,1,20,0,54,37.8,111.8,0
166.-167.,370,1,1,20,0,46.8,45,111.8,0
168,385,1.2,1.4,14,0,45,52.2,111.2,0
169.-171.,427,1,1,20,0,50.4,39.6,110,0
169.-171.,383,1,1,20,0,48.6,41.4,110,0
169.-171.,351,1,1,20,0,55.8,34.2,110,0
172,132,1,1.2,18,0,43.2,48.6,109.8,0
173.-174.,163,1,1,20,0,48.6,39.6,108.2,0
173.-174.,438,1,1,20,0,52.2,36,108.2,0
175,453,1.4,1,16,0,52.2,39.6,107.8,0
176,320,1.8,1.4,8,0,45,54,107,0
177,313,1,1,20,0,43.2,43.2,106.4,0
178,347,1.6,1.4,10,0,32.4,63,105.4,0
179.-182.,135,1,1,20,0,41.4,43.2,104.6,0
179.-182.,150,1,1,20,0,34.2,50.4,104.6,0
179.-182.,424,1,1,20,0,45,39.6,104.6,0
179.-182.,394,1,1,20,0,37.8,46.8,104.6,0
183,375,1.6,1.4,10,0,46.8,46.8,103.6,0
184,423,1,1,20,0,37.8,45,102.8,0
185,362,1.6,1.2,12,0,46.8,43.2,102,0
186,202,1.8,2,2,0,52.2,46.8,101,0
187,377,1.2,1.8,10,0,39.6,50.4,100,0
188.-190.,154,1,1,20,0,50.4,28.8,99.2,0
188.-190.,250,1,1,20,0,46.8,32.4,99.2,0
