TODROP,RANK,ID,4,5,GRADES,CONTESTD,CZECH,MATH,SUM,CZECH1,SUM1,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
74,75,825,1.2,1.0,18,0,57.6,68.4,144.0,32,38,0,2018,1081
75,76,699,1.0,1.0,20,4,57.6,61.2,142.8,32,34,0,2018,1081
76,77,659,1.0,1.0,20,0,61.2,61.2,142.4,34,34,0,2018,1081
77,78,695,1.0,1.2,18,0,59.4,64.8,142.2,33,36,0,2018,1081
78,79,608,1.0,1.0,20,0,63.0,57.6,140.6,35,32,0,2018,1081
79,80,681,1.0,1.0,20,0,64.8,55.8,140.6,36,31,0,2018,1081
80,81,694,1.0,1.0,20,0,66.6,54.0,140.6,37,30,0,2018,1081
81,82,894,1.2,1.0,18,0,66.6,55.8,140.4,37,31,0,2018,1081
82,83,900,1.2,1.2,16,0,54.0,70.2,140.2,30,39,0,2018,1081
83,84,877,1.0,1.2,18,5,43.2,73.8,140.0,24,41,0,2018,1081
84,85,878,1.0,1.0,20,0,55.8,63.0,138.8,31,35,0,2018,1081
85,86,822,1.0,1.0,20,0,57.6,61.2,138.8,32,34,0,2018,1081
86,87,675,1.0,1.0,20,0,68.4,50.4,138.8,38,28,0,2018,1081
87,88,819,1.0,1.0,20,0,70.2,48.6,138.8,39,27,0,2018,1081
88,89,613,1.0,1.0,20,0,61.2,55.8,137.0,34,31,0,2018,1081
89,90,601,1.0,1.0,20,0,63.0,54.0,137.0,35,30,0,2018,1081
90,91,692,1.0,1.0,20,0,66.6,50.4,137.0,37,28,0,2018,1081
91,92,862,1.0,1.0,20,0,52.2,63.0,135.2,29,35,0,2018,1081
92,92,705,1.0,1.0,20,0,52.2,63.0,135.2,29,35,0,2018,1081
93,94,687,1.0,1.0,20,0,63.0,52.2,135.2,35,29,0,2018,1081
94,95,664,1.0,1.0,20,0,39.6,73.8,133.4,22,41,0,2018,1081
