RANK,ID,4,5,GRADES,CONTESTD,CZECH,MATH,SUM,CZECH1,SUM1,ADMITTED_ID
204,802,1,1.4,16,0,27,14.4,57.4,15,8,0
205,821,1.4,1.2,14,0,23.4,19.8,57.2,13,11,0
206,682,1.4,1.6,10,0,28.8,18,56.8,16,10,0
207,632,1.6,1.4,10,0,32.4,14.4,56.8,18,8,0
208,607,1.4,1.2,14,0,18,21.6,53.6,10,12,0
209,810,1.4,1.4,12,0,16.2,23.4,51.6,9,13,0
210,884,1.2,1.2,16,0,16.2,18,50.2,9,10,0
211,857,1,1.6,14,0,18,16.2,48.2,10,9,0
212,818,2,1.4,6,0,28.8,12.6,47.4,16,7,0
213,826,1.4,2.4,6,0,21.6,18,45.6,12,10,0
214,835,2,1.6,4,0,23.4,18,45.4,13,10,0
215,645,1.8,2.4,2,0,18,25.2,45.2,10,14,0
216,622,1.4,1.6,10,0,14.4,12.6,37,8,7,0
217,655,2.4,1.6,4,0,7.2,14.4,25.6,4,8,0
218,807,1,1.6,14,0,0,0,14,0,0,0
