,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
190.,8342,12,27,40,13,92,Nepřijat
191.,8090,15,39,27,11,92,Nepřijat
192.,8218,10,36,29,17,92,Nepřijat
193.,8325,15,35,29,13,92,Nepřijat
194.,8049,15,35,28,14,92,Nepřijat
195.–196.,8014,15,34,28,15,92,Nepřijat
195.–196.,8100,14,34,28,16,92,Nepřijat
197.,8377,13,32,28,19,92,Nepřijat
198.–199.,8074,15,25,33,19,92,Nepřijat
198.–199.,8122,14,25,33,20,92,Nepřijat
200.,8249,9,41,22,19,91,Nepřijat
201.,8298,12,28,32,19,91,Nepřijat
202.,8007,13,21,36,21,91,Nepřijat
203.,8316,5,37,38,10,90,Nepřijat
204.,8143,10,34,34,12,90,Nepřijat
205.,8118,5,33,32,20,90,Nepřijat
206.,8102,11,35,29,15,90,Nepřijat
207.,8138,8,33,31,18,90,Nepřijat
208.,8153,9,34,27,20,90,Nepřijat
209.,8248,15,34,26,15,90,Nepřijat
210.,8032,15,20,40,15,90,Nepřijat
211.–212.,8101,13,28,30,19,90,Nepřijat
211.–212.,8287,15,28,30,17,90,Nepřijat
213.,8066,13,27,30,20,90,Nepřijat
214.,8278,14,26,29,21,90,Nepřijat
215.,8065,13,24,40,12,89,Nepřijat

,"Seznam nepřijatých uchazečů
osmileté gymnázium (79-41-K/81)
Gymnázium, Praha 7, Nad Štolou 1 zpracováno:",,,,,16. června 2020,
,,,B o d o v é h o d n o c e n í,,,,
Pořadí,Číslo uchazeče,Body,Přijímací zkouška,,Celkem,,Rozhodnutí
,,za ZŠ,MAT ČJ VŠP,,,,
216.,8123,13,33,29,14,89,Nepřijat
217.,8051,15,30,30,14,89,Nepřijat
218.,8301,15,24,28,22,89,Nepřijat
219.,8152,8,28,37,15,88,Nepřijat
220.,8104,14,27,34,13,88,Nepřijat
221.,8221,14,27,31,16,88,Nepřijat
222.,8302,14,36,20,18,88,Nepřijat
223.,8265,13,19,37,19,88,Nepřijat
224.,8172,15,30,25,18,88,Nepřijat
