"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,datum zvefejnéniz,17,6. 2020
Pouéeni:,,,,,,,
Nepotvrdi-1i uchazeé nebo zékonny zéstupce nezletilého uchazeée odevzdénim,,,,,,,
"zépisového listku 1'1mys1 Vzdélévat se Ve stfedni ékole, zanikaji poslednim dnem 1h1°1ty",,,,,,,
préwni ﬁéinky rozhodnuti 0 pfij eti tohoto uchazeée ke Vzdélévéni V dané stfedni ékole.,,,,,,,
Pfij atym uchazeéﬁm zaéiné osmileté studium 1.,,9. 2020.,,,,,
,,Bodové hodnoceni,,,,,
Bod}:,,,,,,,
,Z who,,"1v’i""ij imaci zk0u‘s'ka",,,,
za ZS,bonus,CJ,M,,VPAJ,,
811031,10,0,49,48,47,154,1
811018,10,0,49,47,42,148,2
811050,10,0,48,44,41.5,143.5,3
821069,9,0,44,50,38,141,4
822007,10,0,42,47,41.5,140.5,5
812035,10,0,47,50,33,140,6
812090,10,0,47,42,39,138,7
821038,10,0,47,44,37,138,8
811064,10,0,42,40,45.5,137.5,9
811005,10,0,41,43,43.5,137.5,10
811033,10,0,46,47,34.5,137.5,11
821074,10,0,46,40,40,136,12
821010,10,0,48,41,37,136,13
822018,10,0,46,43,36.5,135.5,14
812018,10,0,49,35,41,135,15
812029,10,0,47,41,36,134,16
811054,10,0,46,42,36,134,17
812077,10,0,45,44,35,134,18
821009,10,0,42,40,41.5,133.5,19
812034,10,0,45,42,36.5,133.5,20
821013,10,0,34,40,48,132,21
811015,10,0,41,48,33,132,22
812031,10,0,47,43,32,132,23
822057,10,0,44,46,32,132,24
822082,10,0,44,46,31,131,25
812022,10,0,41,49,30.5,130.5,26
812051,10,0,44,43,33,130,27
822079,10,0,45,42,32.5,129.5,28
811051,10,0,45,37,36.5,128.5,29
821005,10,0,45,48,25.5,128.5,30
812032,10,0,45,37,36,128,31
821025,10,0,38,45,35,128,32
812014,10,0,45,38,34.5,127.5,33
811046,9,0,41,43,34.5,127.5,34
,,Bodové hodnoceni,,,,,
,,,"Pi""ij imaci zk0u‘s'ka",,,,
,,CJ,M,,VPAJ,,
812003,10,0,43,41,33.5,127.5,35
821043,10,0,46,50,21,127,36
821066,9,0,49,32,36.5,126.5,37
811010,10,0,39,42,35.5,126.5,38
811044,10,0,34,46,36,126,39
811021,10,0,43,39,33,125,40
812010,10,0,45,34,35.5,124.5,41
812039,6,0,44,45,29.5,124.5,42
821030,10,0,41,47,26.5,124.5,43
822056,10,0,38,32,43.5,123.5,44
821011,10,0,40,34,39.5,123.5,45
812073,10,0,36,42,35.5,123.5,46
822070,10,0,42,41,30.5,123.5,47
812083,10,0,46,42,25.5,123.5,48
811049,10,0,37,41,35,123,49
812106,10,0,46,33,33.5,122.5,50
812016,10,0,46,38,27.5,121.5,51
812080,10,0,45,39,27.5,121.5,52
822010,10,0,44,38,29,121,53
821080,9,0,43,43,26,121,54
811056,10,0,38,37,35.5,120.5,55
822015,10,0,42,40,28.5,120.5,56
822041,10,0,40,42,28.5,120.5,57
812042,10,0,43,38,29,120,58
811026,10,0,41,36,32.5,119.5,59
821006,10,0,38,41,30.5,119.5,60
811084,10,0,42,40,27.5,119.5,61
822013,10,0,44,40,25.5,119.5,62
,,Bodovéhodnoceni,,,,,,
rvr,,,,,,,,
Nepi‘ij at1 zacl,.,,,,,,,
,,,"Pi""ij imaci zk0u‘s'ka",,,,,
,,h,,,,,,
K(')d,,CJ,M,,VPAJ,,,
821064,,10,0,38,35,35.5,118.5,63
812059,,10,0,43,32,33.5,118.5,64
822022,,10,0,43,41,24.5,118.5,65
812098,,10,0,43,41,24,118,66
811016,,10,0,43,34,30,117,67
821039,,10,0,38,31,37.5,116.5,68
822009,,10,0,43,42,21.5,116.5,69
821050,,10,0,40,30,36,116,70
822016,,10,0,47,27,31.5,115.5,71
821056,,10,0,40,29,36,115,72
821068,,10,0,38,36,30.5,114.5,73
821078,,10,0,39,29,36,114,74
811014,,10,0,34,40,30,114,75
821026,,10,0,41,39,23.5,113.5,76
821018,,9,0,39,43,22.5,113.5,77
812038,,10,0,37,45,21.5,113.5,78
812121,,9,0,33,48,23,113,79
821021,,10,0,43,39,21,113,80
822062,,10,0,33,34,35.5,112.5,81
811038,,10,0,34,34,34.5,112.5,82
812033,,10,0,41,42,19.5,112.5,83
811030,,8,0,36,39,29,112,84
821077,,10,0,37,41,24,112,85
822046,,10,0,43,36,23,112,86
812047,,10,0,34,35,32.5,111.5,87
811001,,10,0,43,33,25.5,111.5,88
822053,,10,0,40,36,25.5,111.5,89
811080,,10,0,35,42,24.5,111.5,90
822037,,10,0,29,40,32,111,91
822068,,9,0,38,36,28,111,92
821055,,10,0,39,36,26,111,93
812100,,9,0,34,45,23,111,94
812005,,10,0,37,31,32.5,110.5,95
821047,,9,0,33,40,28.5,110.5,96
821033,,10,0,31,37,32,110,97
821044,,10,0,34,36,30,110,98
811009,,9,0,35,36,29.5,109.5,99
811034,,10,0,32,39,28.5,109.5,100
821032,,8,0,30,45,26,109,101
821024,,10,0,42,32,25,109,102
812065,,10,0,33,43,23,109,103
821007,,10,0,41,35,22.5,108.5,104
821049,,9,0,38,44,17.5,108.5,105
811077,,10,0,34,31,33,108,106
,,,Bodovéhodnoceni,,,,,,
v..,rvr,.,,,,,,,
Neprlj atl zacl,,,,,,,,,
,,,"Pi""ij imaci zk0u‘s'ka",,,,,,
,,,h,,,,,,
K(')d,,,CJ,M,VPAJ,,,,
821082,,,9,0,34,42,23,108,107
821014,,,9,0,36,43,20,108,108
821022,,,9,0,40,41,18,108,109
812095,,,10,0,38,28,31.5,107.5,110
822071,,,10,0,36,28,33,107,111
812009,,,10,0,33,37,27,107,112
822019,,,10,0,36,25,35.5,106.5,113
812019,,,10,0,41,25,30.5,106.5,114
811043,,,10,0,37,33,26.5,106.5,115
821002,,,10,0,34,39,23.5,106.5,116
812108,,,10,0,39,27,30,106,117
811073,,,10,0,32,35,29,106,118
822038,,,10,0,44,25,27,106,119
821058,,,10,0,32,37,27,106,120
822069,,,10,0,43,29,24,106,121
822006,,,10,0,39,36,21,106,122
811061,,,10,0,28,41,26.5,105.5,123
812120,,,10,0,33,32,30,105,124
821008,,,8,0,31,38,28,105,125
821016,,,8,0,38,34,25,105,126
821051,,,10,0,37,34,24,105,127
822025,,,9,0,32,33,30.5,104.5,128
812049,,,9,0,38,38,19.5,104.5,129
812092,,,10,0,38,30,25.5,103.5,130
821012,,,4,0,41,37,21.5,103.5,131
812006,,,10,0,42,21,30,103,132
812023,,,10,0,33,33,27,103,133
