TODROP,ID,GRADES_CONTESTS,CONTESTS,CZECH,MATH,VPAJ,SUM,RANK,ADMITTED_ID,GRADES,YEAR,SCHOOLCOURSE_ID
0,811028,13,3,47,42,45.5,147.5,1,1,10,2019,581
1,811116,16,6,46,48,36.5,146.5,2,1,10,2019,581
2,821034,10,0,46,49,39.5,144.5,3,1,10,2019,581
3,811020,16,6,43,47,33.5,139.5,4,1,10,2019,581
4,821033,10,0,50,44,29.5,133.5,5,1,10,2019,581
5,822038,10,0,48,27,45.0,130.0,6,1,10,2019,581
6,812019,10,0,45,42,32.5,129.5,7,1,10,2019,581
7,822017,10,0,44,39,36.0,129.0,8,1,10,2019,581
8,811033,16,6,41,47,25.0,129.0,9,1,10,2019,581
9,821011,10,0,48,45,25.5,128.5,10,1,10,2019,581
10,821054,15,5,44,42,26.0,127.0,11,1,10,2019,581
11,812024,10,0,45,36,35.5,126.5,12,1,10,2019,581
12,822025,10,0,46,40,29.5,125.5,13,1,10,2019,581
13,822001,10,0,44,35,35.5,124.5,14,1,10,2019,581
14,811094,10,0,44,36,34.5,124.5,15,1,10,2019,581
15,811054,10,0,37,44,33.5,124.5,16,1,10,2019,581
16,812006,10,0,43,43,28.0,124.0,17,1,10,2019,581
17,822043,10,0,46,46,22.0,124.0,18,1,10,2019,581
18,812055,14,5,38,30,41.5,123.5,19,1,9,2019,581
19,821043,10,0,42,39,32.5,123.5,20,1,10,2019,581
20,821075,10,0,41,40,32.0,123.0,21,1,10,2019,581
21,812023,10,0,40,42,31.0,123.0,22,1,10,2019,581
22,822009,10,0,39,41,32.5,122.5,23,1,10,2019,581
23,811090,10,0,36,40,35.5,121.5,24,1,10,2019,581
24,811088,7,0,41,45,28.0,121.0,25,1,7,2019,581
25,822028,10,0,45,36,29.5,120.5,26,1,10,2019,581
26,821105,10,0,43,43,24.5,120.5,27,1,10,2019,581
27,821008,10,0,46,34,30.0,120.0,28,1,10,2019,581
28,812011,10,0,45,35,30.0,120.0,29,1,10,2019,581
29,821003,10,0,43,39,28.0,120.0,30,1,10,2019,581
30,811069,10,0,41,31,37.0,119.0,31,1,10,2019,581
31,821087,10,0,45,33,31.0,119.0,32,1,10,2019,581
32,821041,10,0,40,38,30.5,118.5,33,1,10,2019,581
33,812009,10,0,43,35,29.5,117.5,34,1,10,2019,581
34,821077,10,0,39,39,28.0,116.0,35,1,10,2019,581
35,822024,10,0,44,36,26.0,116.0,36,1,10,2019,581
36,822006,10,0,43,38,25.0,116.0,37,1,10,2019,581
37,822011,10,0,45,37,24.0,116.0,38,1,10,2019,581
38,822014,10,0,43,30,32.5,115.5,39,1,10,2019,581
39,821086,10,0,37,38,30.5,115.5,40,1,10,2019,581
40,812075,10,0,43,33,29.5,115.5,41,1,10,2019,581
41,811074,10,0,35,43,27.5,115.5,42,1,10,2019,581
42,812085,10,0,42,34,29.0,115.0,43,1,10,2019,581
43,812099,10,0,40,37,28.0,115.0,44,1,10,2019,581
44,821045,10,0,34,40,30.5,114.5,45,1,10,2019,581
45,812049,10,0,40,41,23.5,114.5,46,1,10,2019,581
46,812012,10,0,37,32,35.0,114.0,47,1,10,2019,581
47,821010,10,0,41,33,30.0,114.0,48,1,10,2019,581
48,812052,10,0,39,39,26.0,114.0,49,1,10,2019,581
49,811058,10,0,34,41,28.0,113.0,50,1,10,2019,581
50,811031,10,0,43,33,27.0,113.0,51,1,10,2019,581
51,822031,10,0,40,36,27.0,113.0,52,1,10,2019,581
52,812065,10,0,34,45,24.0,113.0,53,1,10,2019,581
53,811019,10,0,38,33,31.5,112.5,54,1,10,2019,581
54,821036,10,0,37,36,29.5,112.5,55,1,10,2019,581
55,821030,10,0,34,39,29.5,112.5,56,1,10,2019,581
56,811041,10,0,41,35,26.5,112.5,57,1,10,2019,581
57,822065,10,0,43,36,23.5,112.5,58,1,10,2019,581
58,812007,10,0,38,31,33.0,112.0,59,1,10,2019,581
59,812069,10,0,43,29,30.0,112.0,60,1,10,2019,581
60,811005,10,0,43,38,21.0,112.0,61,0,10,2019,581
61,812015,10,0,35,25,41.5,111.5,62,0,10,2019,581
62,821082,10,0,35,31,35.5,111.5,63,0,10,2019,581
63,811038,10,0,33,41,27.5,111.5,64,0,10,2019,581
64,811045,10,0,39,27,35.0,111.0,65,0,10,2019,581
65,811091,9,0,38,29,35.0,111.0,66,0,9,2019,581
66,822005,10,0,39,35,27.0,111.0,67,0,10,2019,581
67,811021,10,0,30,40,30.0,110.0,68,0,10,2019,581
68,821062,10,0,38,37,24.5,109.5,69,0,10,2019,581
69,812071,10,0,40,29,28.5,107.5,70,0,10,2019,581
70,821022,10,0,38,31,28.5,107.5,71,0,10,2019,581
71,822042,10,0,39,33,25.5,107.5,72,0,10,2019,581
72,822048,10,0,39,30,28.0,107.0,73,0,10,2019,581
73,811012,10,0,42,29,26.0,107.0,74,0,10,2019,581
74,821081,10,0,39,38,20.0,107.0,75,0,10,2019,581
75,811010,10,0,36,34,26.5,106.5,76,0,10,2019,581
