"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,
Pfijati izici,,"B°”'.""..Yé “,°°‘“.°°““",,,,,
,Body,,Pr1]1mac1 zkouska,,,,
Kéd,za ZS,bonus,(':J,M,VPAJ,,
821029,10,0,37,37,21,105,134
811014,10,0,28,35,31.5,104.5,135
812061,9,0,33,32,30.5,104.5,136
812050,10,0,34,28,32,104,137
822101,10,0,34,31,29,104,138
812059,10,0,37,30,27,104,139
812038,10,0,39,30,25,104,140
811084,8,0,31,34,30.5,103.5,141
821024,9,0,32,35,27.5,103.5,142
812095,10,0,39,28,26.5,103.5,143
811030,10,0,36,31,26.5,103.5,144
812024,10,0,33,35,25.5,103.5,145
822060,10,0,37,33,23.5,103.5,146
811069,10,0,32,29,32,103,147
822103,10,0,36,28,29,103,148
"Vysledkovzi listina pi""ij1'mac1'ch zk0u§ek - osmileté studium",,,,,,,,,
Gymnézium Opatov,,,,,zpracovémoz 2. 5. 2017,,,,
,,,Bodovéhodnoceni,,,,,,
v..,rvr,.,,,,,,,
Neprlj atl zacl,,,,,,,,,
,,,Body,"Pi""ij imaci zk0u‘s'ka",,,,,
Kéd,,,za ZS,bonus,CJ,M,VPAJ,,
812018,,,10,0,34,32,27,103,149
812014,,,10,0,37,30,26,103,150
812035,,,10,0,35,33,25,103,151
822016,,,10,0,33,37,23,103,152
811010,,,10,0,29,31,32.5,102.5,153
822021,,,10,0,39,26,27.5,102.5,154
812110,,,10,0,34,33,25.5,102.5,155
822084,,,10,0,32,29,31,102,156
822106,,,10,0,35,28,29,102,157
811057,,,10,0,35,30,27,102,158
811097,,,10,0,32,34,26,102,159
822083,,,10,0,32,22,37.5,101.5,160
822035,,,10,0,36,34,21.5,101.5,161
811094,,,10,0,35,35,21.5,101.5,162
821015,,,9,0,30,33,29,101,163
812056,,,10,0,36,27,28,101,164
822074,,,10,0,35,28,28,101,165
811041,,,10,0,30,33,28,101,166
811051,,,9,0,30,36,26,101,167
822053,,,8,0,35,32,25.5,100.5,168
812060,,,10,0,30,37,23.5,100.5,169
821005,,,10,0,25,38,27,100,170
822076,,,10,0,32,32,26,100,171
811056,,,9,0,28,41,22,100,172
821047,,,7,0,27,32,33.5,99.5,173
811026,,,10,0,32,30,27.5,99.5,174
822037,,,10,0,35,30,24.5,99.5,175
821019,,,10,0,33,29,27,99,176
812067,,,10,0,34,29,26,99,177
822044,,,10,0,32,32,25,99,178
822100,,,4,0,30,41,24,99,179
811005,,,10,0,32,25,31.5,98.5,180
821075,,,10,0,29,31,28.5,98.5,181
822065,,,10,0,31,30,27.5,98.5,182
822048,,,10,0,34,28,26.5,98.5,183
822017,,,10,0,31,32,25.5,98.5,184
811077,,,10,0,29,34,25.5,98.5,185
811068,,,8,0,29,38,23.5,98.5,186
821013,,,9,0,30,38,21.5,98.5,187
