Výsledková listina přijímacích zkoušek - osmileté studium,,,,,,,
Gymnázium Opatov datum zveřejnění: 29. 4. 2019,,,,,,,
Poučení:,,,,,,,
Nepotvrdí-li uchazeč nebo zákonný zástupce nezkletilého uchazeče odevzdáním,,,,,,,
"zápisového lístku úmysl vzdělávat se ve střední škole, zanikají posledním dnem lhůty",,,,,,,
právní účinky rozhodnutí o přijetí tohoto uchazeče ke vzdělávání v dané střední škole.,,,,,,,
Přijatým uchazečům začíná osmileté studium 2. 9. 2019.,,,,,,,
,,,B o d o v é h o d n o c e n í,,,,
Přijatí žáci,Body,z toho,Přijímací zkouška,,,Celkem,Pořadí
Kód,za ZŠ,bonus,ČJ,M,VPAJ,,
811025,10,0,28,40,19.5,97.5,116.
821006,10,0,36,36,15.5,97.5,117.
822013,10,0,41,17,29.0,97.0,118.
811034,10,0,31,31,25.0,97.0,119.
812022,10,0,32,28,26.0,96.0,120.
811047,16,6,29,27,24.0,96.0,121.
821100,6,0,39,20,30.5,95.5,122.
811087,10,0,30,25,30.5,95.5,123.
811095,8,0,21,23,43.0,95.0,124.
811014,10,0,36,27,22.0,95.0,125.
811109,9,0,28,26,31.5,94.5,126.
811071,8,0,27,33,26.5,94.5,127.
821052,9,0,36,24,25.5,94.5,128.
812028,10,0,33,27,24.5,94.5,129.
811007,10,0,29,31,24.5,94.5,130.
812021,10,0,38,26,20.5,94.5,131.
811065,10,0,25,34,25.0,94.0,132.
822021,10,0,34,34,16.0,94.0,133.
811008,7,0,34,22,30.5,93.5,134.
812039,10,0,36,22,25.5,93.5,135.
822079,10,0,31,32,20.5,93.5,136.
821001,10,0,27,29,27.0,93.0,137.
822035,10,0,35,26,22.0,93.0,138.
821080,10,0,35,28,19.5,92.5,139.
811105,10,0,27,28,26.5,91.5,140.
811106,10,0,34,24,23.5,91.5,141.
822041,10,0,32,26,23.5,91.5,142.
821085,10,0,34,28,19.5,91.5,143.
811099,10,0,34,20,27.0,91.0,144.
812089,9,0,33,33,16.0,91.0,145.
822033,10,0,32,23,25.5,90.5,146.
812038,10,0,34,22,24.5,90.5,147.
821048,10,0,33,25,22.5,90.5,148.
821027,10,0,32,26,22.5,90.5,149.
822034,10,0,31,32,17.0,90.0,150.
811036,9,0,30,26,24.0,89.0,151.
812100,10,0,32,25,22.0,89.0,152.
812068,10,0,31,29,19.0,89.0,153.
812096,10,0,32,25,21.5,88.5,154.

,,,B o d o v é h o d n o c e n í,,,,
Nepřijatí žáci,,,,,,,
