TODROP,ID,GRADES,CONTESTS,CZECH,MATH,VPAJ,SUM,RANK,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
0,811011,10.0,0,48,46,43.5,147.5,1,1,2017,581
1,811040,10.0,0,46,48,40.0,144.0,2,1,2017,581
2,812073,10.0,0,47,46,36.5,139.5,3,1,2017,581
3,822010,10.0,0,46,46,34.5,136.5,4,1,2017,581
4,821016,10.0,0,42,46,37.0,135.0,5,1,2017,581
5,812026,10.0,0,42,47,35.5,134.5,6,1,2017,581
6,822079,10.0,0,46,42,36.0,134.0,7,1,2017,581
7,822022,10.0,0,44,46,33.5,133.5,8,1,2017,581
8,822092,10.0,0,40,42,41.0,133.0,9,1,2017,581
9,821053,10.0,0,46,44,33.0,133.0,10,1,2017,581
10,822013,10.0,0,44,40,38.5,132.5,11,1,2017,581
11,822082,10.0,0,47,40,35.5,132.5,12,1,2017,581
12,821022,10.0,0,44,44,34.5,132.5,13,1,2017,581
13,822096,10.0,0,44,46,32.5,132.5,14,1,2017,581
14,812092,10.0,0,45,39,38.0,132.0,15,1,2017,581
15,811024,10.0,0,42,44,36.0,132.0,16,1,2017,581
16,811104,10.0,0,38,41,41.0,130.0,17,1,2017,581
17,821025,10.0,0,41,42,37.0,130.0,18,1,2017,581
18,811039,10.0,0,49,42,29.0,130.0,19,1,2017,581
19,811001,10.0,6,42,46,26.0,130.0,20,1,2017,581
20,822003,10.0,0,43,37,39.5,129.5,21,1,2017,581
21,811065,10.0,0,42,42,35.5,129.5,22,1,2017,581
22,811083,10.0,0,45,44,30.5,129.5,23,1,2017,581
23,811023,10.0,0,39,48,32.0,129.0,24,1,2017,581
24,812013,10.0,0,41,48,30.0,129.0,25,1,2017,581
25,822061,10.0,0,43,38,37.5,128.5,26,1,2017,581
26,811050,10.0,0,43,46,29.0,128.0,27,1,2017,581
27,821014,10.0,0,38,46,33.0,127.0,28,1,2017,581
28,812027,10.0,0,43,48,26.0,127.0,29,1,2017,581
29,821007,10.0,0,40,48,28.5,126.5,30,1,2017,581
30,822031,10.0,0,44,38,33.5,125.5,31,1,2017,581
31,811054,10.0,0,31,50,34.0,125.0,32,1,2017,581
32,822088,10.0,0,35,37,42.5,124.5,33,1,2017,581
33,822085,10.0,0,43,41,30.5,124.5,34,1,2017,581
34,822095,10.0,0,46,29,39.0,124.0,35,1,2017,581
35,811096,10.0,0,36,46,32.0,124.0,36,1,2017,581
36,812066,10.0,0,38,42,33.5,123.5,37,1,2017,581
37,821023,10.0,0,34,46,33.5,123.5,38,1,2017,581
38,821046,10.0,0,40,43,30.5,123.5,39,1,2017,581
39,821081,10.0,0,39,35,39.0,123.0,40,1,2017,581
40,812106,10.0,0,40,40,33.0,123.0,41,1,2017,581
41,811034,10.0,0,41,46,26.0,123.0,42,1,2017,581
42,811021,10.0,0,36,44,32.5,122.5,43,1,2017,581
43,811066,10.0,0,39,42,31.5,122.5,44,1,2017,581
44,821063,10.0,0,38,44,30.5,122.5,45,1,2017,581
45,812003,10.0,0,40,41,31.0,122.0,46,1,2017,581
46,811085,10.0,0,38,43,31.0,122.0,47,1,2017,581
47,812041,10.0,0,46,36,30.0,122.0,48,1,2017,581
48,821070,10.0,0,38,44,30.0,122.0,49,1,2017,581
49,822036,10.0,0,39,39,33.5,121.5,50,1,2017,581
50,811008,10.0,0,36,46,29.5,121.5,51,1,2017,581
51,822043,10.0,0,35,42,33.5,120.5,52,1,2017,581
52,812006,10.0,0,39,40,31.5,120.5,53,1,2017,581
53,812084,10.0,0,34,48,28.5,120.5,54,1,2017,581
54,812051,10.0,0,38,37,35.0,120.0,55,1,2017,581
55,812009,10.0,0,42,40,28.0,120.0,56,1,2017,581
56,822027,10.0,0,39,44,26.5,119.5,57,1,2017,581
57,822030,10.0,0,39,36,34.0,119.0,58,1,2017,581
58,822019,10.0,0,38,38,32.5,118.5,59,1,2017,581
59,822015,10.0,0,42,31,35.0,118.0,60,1,2017,581
60,812091,9.0,0,40,37,32.0,118.0,61,0,2017,581
61,812088,10.0,0,41,41,26.0,118.0,62,0,2017,581
62,812015,10.0,0,40,33,34.5,117.5,63,0,2017,581
63,812004,10.0,0,36,39,32.5,117.5,64,0,2017,581
64,821099,10.0,0,38,38,31.5,117.5,65,0,2017,581
65,821027,10.0,0,38,40,29.5,117.5,66,0,2017,581
66,822093,10.0,0,43,38,26.5,117.5,67,0,2017,581
67,821058,10.0,0,42,36,29.0,117.0,68,0,2017,581
68,811004,10.0,0,38,41,28.0,117.0,69,0,2017,581
69,812099,10.0,0,35,45,27.0,117.0,70,0,2017,581
70,821096,8.0,0,41,40,27.5,116.5,71,0,2017,581
71,822087,10.0,0,36,39,31.0,116.0,72,0,2017,581
72,822080,10.0,0,37,41,28.0,116.0,73,0,2017,581
73,811088,10.0,0,42,29,34.5,115.5,74,0,2017,581
74,812089,10.0,0,44,31,30.5,115.5,75,0,2017,581
75,811055,10.0,0,39,36,30.0,115.0,76,0,2017,581
76,811053,10.0,2,32,41,30.0,115.0,77,0,2017,581
77,822020,10.0,0,40,38,27.0,115.0,78,0,2017,581
78,811003,10.0,0,39,30,35.0,114.0,79,0,2017,581
79,822038,10.0,0,38,32,34.0,114.0,80,0,2017,581
80,822032,10.0,0,36,38,30.0,114.0,81,0,2017,581
81,821094,10.0,0,39,36,29.0,114.0,82,0,2017,581
82,812008,10.0,0,36,39,29.0,114.0,83,0,2017,581
83,812042,10.0,0,42,34,28.0,114.0,84,0,2017,581
84,821034,8.0,0,39,39,27.5,113.5,85,0,2017,581
85,821010,10.0,0,34,41,28.0,113.0,86,0,2017,581
86,822056,10.0,0,38,41,24.0,113.0,87,0,2017,581
87,822011,10.0,0,41,39,23.0,113.0,88,0,2017,581
88,812075,10.0,0,38,30,33.5,111.5,89,0,2017,581
89,811071,10.0,0,34,37,30.5,111.5,90,0,2017,581
90,811064,10.0,0,31,41,29.5,111.5,91,0,2017,581
91,822052,10.0,0,38,38,25.5,111.5,92,0,2017,581
92,811048,10.0,0,37,29,35.0,111.0,93,0,2017,581
93,811072,10.0,0,36,33,32.0,111.0,94,0,2017,581
94,822073,10.0,0,41,31,29.0,111.0,95,0,2017,581
95,812097,9.0,0,43,34,25.0,111.0,96,0,2017,581
96,822004,10.0,0,35,37,28.5,110.5,97,0,2017,581
97,821062,10.0,0,38,39,23.5,110.5,98,0,2017,581
98,822098,10.0,0,42,27,31.0,110.0,99,0,2017,581
99,811047,10.0,0,34,35,31.0,110.0,100,0,2017,581
100,811086,10.0,0,36,36,28.0,110.0,101,0,2017,581
101,821032,7.0,0,35,41,27.0,110.0,102,0,2017,581
102,822005,10.0,0,31,40,28.5,109.5,103,0,2017,581
103,821098,10.0,0,31,42,26.5,109.5,104,0,2017,581
104,822069,10.0,0,37,31,31.0,109.0,105,0,2017,581
105,822006,10.0,0,34,34,30.5,108.5,106.-107.,0,2017,581
106,821044,10.0,0,34,34,30.5,108.5,106.-107.,0,2017,581
107,811052,10.0,0,37,33,28.5,108.5,108,0,2017,581
108,821091,10.0,0,32,39,27.5,108.5,109,0,2017,581
109,822002,10.0,0,33,39,26.5,108.5,110,0,2017,581
110,821071,8.0,0,32,42,26.5,108.5,111,0,2017,581
111,822029,9.0,0,36,39,24.5,108.5,112,0,2017,581
112,812077,10.0,0,38,38,22.5,108.5,113,0,2017,581
113,822055,10.0,0,41,26,31.0,108.0,114,0,2017,581
114,812022,9.0,0,43,29,27.0,108.0,115,0,2017,581
115,812096,10.0,0,33,38,27.0,108.0,116,0,2017,581
116,812128,10.0,0,38,28,31.5,107.5,117,0,2017,581
117,821093,10.0,0,35,32,30.0,107.0,118,0,2017,581
118,812090,9.0,0,41,29,28.0,107.0,119,0,2017,581
119,812109,7.0,0,36,30,33.5,106.5,120,0,2017,581
120,822070,9.0,0,39,27,31.5,106.5,121,0,2017,581
121,812101,10.0,0,34,38,24.5,106.5,122,0,2017,581
122,812057,10.0,0,33,28,35.0,106.0,123,0,2017,581
123,822009,9.0,0,40,29,28.0,106.0,124,0,2017,581
124,812019,9.0,0,44,27,26.0,106.0,125,0,2017,581
125,821006,10.0,0,39,34,23.0,106.0,126,0,2017,581
126,822026,10.0,0,36,38,22.0,106.0,127,0,2017,581
127,822063,10.0,0,36,24,35.5,105.5,128,0,2017,581
128,812098,10.0,0,39,26,30.5,105.5,129,0,2017,581
129,812001,10.0,0,31,34,30.5,105.5,130,0,2017,581
130,811033,10.0,0,34,35,26.5,105.5,131,0,2017,581
131,812016,10.0,0,37,33,25.5,105.5,132,0,2017,581
132,812126,9.0,0,35,24,37.0,105.0,133,0,2017,581
