TODROP,ID,SPECIALIZATION,GRADES,CZECH,CZECH1,CZECHKREDITY,MATH,MATH1,MATHJREDITY,HT,HT1,HTKREDITY,TAL,TAL1,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
52,011/18/1,soloq zip&,48.0,30.0,60,180.0,26.0,52,156.0,9.0,39,20.35,"3,27",33,98.1,502.45,2018,1681
53,053/18/2,viola,36.0,34.0,68,204.0,25.0,50,150.0,16.0,70,36.17,"2,53",25,75.9,502.07,2018,1681
54,045/18/1,kytara,38.0,27.0,54,162.0,32.0,64,192.0,10.0,43,22.61,"2,87",29,86.1,500.71,2018,1681
55,031/18/2,kytara,46.0,22.0,44,132.0,9.0,18,54.0,11.0,48,24.87,8.0,80,240.0,496.87,2018,1681
56,007/18/1,solovy zpev,44.0,17.0,34,102.0,10.0,20,60.0,3.0,13,6.78,"8,47",85,254.1,466.88,2018,1681
57,054/18/1,housle,36.0,20.0,40,120.0,11.0,22,66.0,2.0,9,4.52,"7,93",79,237.9,464.42,2018,1681
58,008/18/2,solovy zpev,48.0,25.0,50,150.0,19.0,38,114.0,15.0,65,33.91,"3,8",38,114.0,459.91,2018,1681
59,009/18/1,solovy zpev,48.0,15.0,30,90.0,12.0,24,72.0,8.0,35,18.09,"7,5",75,225.0,453.09,2018,1681
60,002/18/2,solovy zpev,48.0,34.0,68,204.0,22.0,44,132.0,6.0,26,13.57,"1,53",15,45.9,443.47,2018,1681
61,026/18/2,housle,46.0,24.0,48,144.0,22.0,44,132.0,20.0,87,45.22,"2,27",23,68.1,435.32,2018,1681
62,063/18/1,solovy zpev,42.0,29.0,58,174.0,28.0,56,168.0,9.0,39,20.35,"0,87",9,26.1,430.45,2018,1681
63,059/18/1,solovy zpev,42.0,17.0,34,102.0,17.0,34,102.0,6.0,26,13.57,"5,2",52,156.0,415.57,2018,1681
64,047/18/1,solovy zpev,48.0,23.0,46,138.0,15.0,30,90.0,5.0,22,11.3,4.0,40,120.0,407.3,2018,1681
65,068/18/1,solovy zpev,28.0,17.0,34,102.0,5.0,10,30.0,4.0,17,9.04,"7,73",77,231.9,400.94,2018,1681
66,041/18/1,zpev,36.0,32.0,64,192.0,11.0,22,66.0,6.0,26,13.57,"2,27",23,68.1,375.67,2018,1681
67,042/18/2,saxofon,48.0,22.0,44,132.0,16.0,32,96.0,7.0,30,15.83,"1,93",19,57.9,349.73,2018,1681
68,056/18/1,solovy zpev,46.0,26.0,52,156.0,8.0,16,48.0,7.0,30,15.83,"2,53",25,75.9,341.73,2018,1681
69,044/18/1,trubka,40.0,24.0,48,144.0,15.0,30,90.0,7.0,30,15.83,"1,53",15,45.9,335.73,2018,1681
70,058/18/1,zobcova fletna,34.0,13.0,26,78.0,13.0,26,78.0,7.0,30,15.83,"4,13",41,123.9,329.73,2018,1681
71,018/18/1,kytara,32.0,13.0,26,78.0,10.0,20,60.0,8.0,35,18.09,"4,67",47,140.1,328.19,2018,1681
72,048/18/1,solovy zpev,42.0,21.0,42,126.0,6.0,12,36.0,6.0,26,13.57,"3,27",33,98.1,315.67,2018,1681
73,065/18/2,housle,40.0,19.0,38,114.0,13.0,26,78.0,6.0,26,13.57,"0,53",5,15.9,261.47,2018,1681
