TODROP,ID,SPECIALIZATION,GRADES4,GRADES5,CZECH,CZECH2,CZECHKREDITY,MATH,MATH2,MATHKREDITY,HT,HT2,HTKREDITY,TAL,TAL2,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
54,22171,trubka,20,22,28,56%,168,16,32%,96,21,75%,39,8.07,81%,242.1,587.1,2017,1681
55,34172,klavir,20,22,26,52%,156,28,56%,168,14,50%,26,6.27,63%,188.1,580.1,2017,1681
56,58172,klavir,24,22,33,66%,198,12,24%,72,18,64%,33.43,7.6,76%,228,577.43,2017,1681
57,39171,klavir,24,20,28,56%,168,30,60%,180,24,86%,44.57,4.4,44%,132,568.57,2017,1681
58,25171,sOlovy zpev,24,24,36,72%,216,34,68%,204,6,21%,11.14,2.93,29%,87.9,567.04,2017,1681
59,13171,klavir,16,18,19,38%,114,27,54%,162,22,79%,40.86,7.2,72%,216,566.86,2017,1681
60,10172,kytara,24,24,33,66%,198,34,68%,204,16,57%,29.71,2.47,25%,74.1,553.81,2017,1681
61,38172,housle,24,22,32,64%,192,31,62%,186,13,46%,24.14,3.27,33%,98.1,546.24,2017,1681
62,46172,kytara,24,24,33,66%,198,31,62%,186,18,64%,33.43,2.33,23%,69.9,535.33,2017,1681
63,27171,klarinet,18,24,27,54%,162,37,74%,222,8,29%,14.86,2.93,29%,87.9,528.76,2017,1681
64,35172,kontrabas,24,24,21,42%,126,20,40%,120,14,50%,26,6.57,66%,197.1,517.1,2017,1681
65,62171,hoboj,20,14,21,42%,126,20,40%,120,10,36%,18.57,6.87,69%,206.1,504.67,2017,1681
66,1171,klavfr,24,24,28,56%,168,31,62%,186,18,64%,33.43,1.93,19%,57.9,493.33,2017,1681
67,44171,klarinet,24,24,27,54%,162,27,54%,162,12,43%,22.29,2.93,29%,87.9,482.19,2017,1681
68,53171,solov9 zpev,22,24,29,58%,174,21,42%,126,17,61%,31.57,3.2,32%,96,473.57,2017,1681
69,3171,housle,24,24,27,54%,162,23,46%,138,18,64%,33.43,2.2,22%,66,447.43,2017,1681
70,3171,sOlovy zip&,24,24,27,54%,162,23,46%,138,18,64%,33.43,2.2,22%,66,447.43,2017,1681
71,69171,sOlovy zpev,24,22,29,58%,174,24,48%,144,14,50%,26,1.47,15%,44.1,434.1,2017,1681
72,63171,sOlovy zpev,24,24,17,34%,102,21,42%,126,20,71%,37.14,2.27,23%,68.1,381.24,2017,1681
73,65171,sOlov9 zpev,24,22,18,36%,108,12,24%,72,9,32%,16.71,2,20%,60,302.71,2017,1681
74,130 00 Praha 3,,,,,,,,,,,,,,,,,2017,1681
75,0,,,,,,,,,,,,,,,,,2017,1681
