TODRPOP,ID,SPECIALIZATION,GRADES,MATH,MATH1,MATHKREDITY,CZECH,CZECH1,CZECHKREDITY,HT,HT1,HTKREDITY,TAL,TAL1,TALKREDITY,SUM,YEAR,SCHOOLCOURSE_ID
41,046/19/1,saxofon,46.0,30.0,60.0,180.0,23.0,46.0,138.0,5.0,17.9,9.29,9.44,94.4,283.2,656.49,2019,1681
42,076/19/1,sOlovY zpev,48.0,22.0,44.0,132.0,32.0,64.0,192.0,16.5,58.9,30.64,8.44,84.4,253.2,655.84,2019,1681
43,012/19/2,klavir,48.0,42.0,84.0,252.0,37.0,74.0,222.0,15.0,53.6,27.86,2.78,27.8,83.4,633.26,2019,1681
44,064/19/2,klavir,48.0,36.0,72.0,216.0,47.0,94.0,282.0,22.0,78.6,40.86,1.33,13.3,39.9,626.76,2019,1681
45,070/19/2,kytara,48.0,38.0,76.0,228.0,47.0,94.0,282.0,16.0,57.1,29.71,1.22,12.2,36.6,624.31,2019,1681
46,010/19/1,klavir,48.0,31.0,62.0,186.0,38.0,76.0,228.0,24.5,87.5,45.5,3.89,38.9,116.7,624.2,2019,1681
47,055/19/1,solovy zpev,48.0,28.0,56.0,168.0,40.0,80.0,240.0,14.5,51.8,26.93,4.67,46.7,140.1,623.03,2019,1681
48,044/19/1,solovji zpev,48.0,26.0,52.0,156.0,21.0,42.0,126.0,17.5,62.5,32.5,8.63,86.3,258.9,621.4,2019,1681
49,085/19/1,"so1ov3', zpev",36.0,41.0,82.0,246.0,47.0,94.0,282.0,7.5,26.8,13.93,1.33,13.3,39.9,617.83,2019,1681
50,058/19/1,solovy zpev,48.0,30.0,60.0,180.0,32.0,64.0,192.0,21.0,75.0,39.0,5.22,52.2,156.6,615.6,2019,1681
51,045/19/1,klavir,48.0,18.0,36.0,108.0,36.0,72.0,216.0,8.0,28.6,14.86,7.33,73.3,219.9,606.76,2019,1681
52,062/19/1,violoncello,32.0,23.0,46.0,138.0,18.0,36.0,108.0,14.5,51.8,26.93,10.0,100.0,300.0,604.93,2019,1681
53,026/19/1,solovy zpev,48.0,33.0,66.0,198.0,29.0,58.0,174.0,6.5,23.2,12.07,5.44,54.4,163.2,595.27,2019,1681
54,072/19/1,kytara,48.0,23.0,46.0,138.0,34.0,68.0,204.0,9.0,32.1,16.71,5.67,56.7,170.1,576.81,2019,1681
55,049/19/1,"so1ov3""/ zpev",46.0,16.0,32.0,96.0,23.0,46.0,138.0,4.5,16.1,8.36,9.44,94.4,283.2,571.56,2019,1681
56,061/19/1,solovy zpev,28.0,36.0,72.0,216.0,35.0,70.0,210.0,11.0,39.3,20.43,3.22,32.2,96.6,571.03,2019,1681
57,003/19/1,kytara,46.0,39.0,78.0,234.0,35.0,70.0,210.0,20.0,71.4,37.14,1.44,14.4,43.2,570.34,2019,1681
58,058/19/1,klavir,48.0,30.0,60.0,180.0,32.0,64.0,192.0,21.0,75.0,39.0,3.44,34.4,103.2,562.2,2019,1681
59,002/19/2,hoboj,48.0,14.0,28.0,84.0,26.0,52.0,156.0,17.5,62.5,32.5,7.88,78.8,236.4,556.9,2019,1681
60,034/19/1,solovy zpev,42.0,23.0,46.0,138.0,20.0,40.0,120.0,10.0,35.7,18.57,7.89,78.9,236.7,555.27,2019,1681
61,041/19/1,piTena fletna,48.0,15.0,30.0,90.0,26.0,52.0,156.0,17.0,60.7,31.57,7.56,75.6,226.8,552.37,2019,1681
62,023/19/1,trumpeta,48.0,19.0,38.0,114.0,33.0,66.0,198.0,15.0,53.6,27.86,5.44,54.4,163.2,551.06,2019,1681
63,068/19/1,housle,48.0,38.0,76.0,228.0,26.0,52.0,156.0,13.5,48.2,25.07,3.11,31.1,93.3,550.37,2019,1681
64,074/19/1,klavir,48.0,15.0,30.0,90.0,22.0,44.0,132.0,4.5,16.1,8.36,9.0,90.0,270.0,548.36,2019,1681
65,050/19/1,kytara,40.0,10.0,20.0,60.0,19.0,38.0,114.0,18.5,66.1,34.36,9.89,98.9,296.7,545.06,2019,1681
66,071/19/1,viola,48.0,26.0,52.0,156.0,33.0,66.0,198.0,18.5,66.1,34.36,3.44,34.4,103.2,539.56,2019,1681
67,065/19/1,solovY zpev,48.0,22.0,44.0,132.0,22.0,44.0,132.0,19.5,69.6,36.21,6.22,62.2,186.6,534.81,2019,1681
68,089/19/1,sOloq zpev,38.0,10.0,20.0,60.0,28.0,56.0,168.0,8.5,30.4,15.79,8.13,81.3,243.9,525.69,2019,1681
69,007/19/1,zobcova fletna,48.0,24.0,48.0,144.0,38.0,76.0,228.0,16.0,57.1,29.71,2.22,22.2,66.6,516.31,2019,1681
70,021/19/1,trombon,42.0,14.0,28.0,84.0,17.0,34.0,102.0,8.5,30.4,15.79,8.89,88.9,266.7,510.49,2019,1681
71,011/19/1,hoboj,40.0,17.0,34.0,102.0,26.0,52.0,156.0,8.0,28.6,14.86,6.33,63.3,189.9,502.76,2019,1681
72,006/19/1,kytara,48.0,28.0,56.0,168.0,35.0,70.0,210.0,12.0,42.9,22.29,1.78,17.8,53.4,501.69,2019,1681
73,031/19/2,kytara,40.0,16.0,32.0,96.0,21.0,42.0,126.0,19.5,69.6,36.21,6.78,67.8,203.4,501.61,2019,1681
74,051/19/1,klavir,48.0,27.0,54.0,162.0,36.0,72.0,216.0,12.5,44.6,23.21,1.44,14.4,43.2,492.41,2019,1681
75,016/19/1,housle,48.0,32.0,64.0,192.0,32.0,64.0,192.0,9.0,32.1,16.71,1.11,11.1,33.3,482.01,2019,1681
76,086/19/1,trom bon,42.0,7.0,14.0,42.0,24.0,48.0,144.0,9.5,33.9,17.64,7.44,74.4,223.2,468.84,2019,1681
77,013/19/1,so1ovj/ zpev,30.0,18.0,36.0,108.0,27.0,54.0,162.0,28.0,100.0,52.0,3.11,31.1,93.3,445.3,2019,1681
78,036/19/1,harfa,42.0,18.0,36.0,108.0,30.0,60.0,180.0,9.5,33.9,17.64,3.22,32.2,96.6,444.24,2019,1681
79,032/19/2,solovji zpev,48.0,27.0,54.0,162.0,30.0,60.0,180.0,7.0,25.0,13.0,1.33,13.3,39.9,442.9,2019,1681
80,077/19/2,s6 lovjf zpev,48.0,29.0,58.0,174.0,18.0,36.0,108.0,18.5,66.1,34.36,2.11,21.1,63.3,427.66,2019,1681
81,029/19/2,housle,48.0,17.0,34.0,102.0,26.0,52.0,156.0,18.5,66.1,34.36,2.89,28.9,86.7,427.06,2019,1681
82,035/19/1,soloq zpev,38.0,23.0,46.0,138.0,30.0,60.0,180.0,10.0,35.7,18.57,1.33,13.3,39.9,414.47,2019,1681
83,087/19/1,violoncello,42.0,16.0,32.0,96.0,18.0,36.0,108.0,8.0,28.6,14.86,5.0,50.0,150.0,410.86,2019,1681
84,040/19/2,sOloq zpev,44.0,23.0,46.0,138.0,25.0,50.0,150.0,8.5,30.4,15.79,1.89,18.9,56.7,404.49,2019,1681
85,020/19/1,kytara,42.0,17.0,34.0,102.0,20.0,40.0,120.0,12.0,42.9,22.29,3.0,30.0,90.0,376.29,2019,1681
86,092/19/2,housle,48.0,16.0,32.0,96.0,20.0,40.0,120.0,23.5,83.9,43.64,2.0,20.0,60.0,367.64,2019,1681
87,025/19/2,kytara,40.0,16.0,32.0,96.0,22.0,44.0,132.0,17.0,60.7,31.57,2.0,20.0,60.0,359.57,2019,1681
88,047/19/2,klavir,30.0,13.0,26.0,78.0,19.0,38.0,114.0,13.5,48.2,25.07,3.67,36.7,110.1,357.17,2019,1681
89,086/19/1,bici,42.0,7.0,14.0,42.0,24.0,48.0,144.0,9.5,33.9,17.64,3.44,34.4,103.2,348.84,2019,1681
90,030/19/1,housle,48.0,19.0,38.0,114.0,23.0,46.0,138.0,6.5,23.2,12.07,1.22,12.2,36.6,348.67,2019,1681
91,081/19/1,solovy zpev,40.0,16.0,32.0,96.0,21.0,42.0,126.0,10.5,37.5,19.5,1.89,18.9,56.7,338.2,2019,1681
92,028/19/2,housle,46.0,21.0,42.0,126.0,15.0,30.0,90.0,11.5,41.1,21.36,1.0,10.0,30.0,313.36,2019,1681
93,060/19/1,zobcova fletna,48.0,6.0,12.0,36.0,24.0,48.0,144.0,4.0,14.3,7.43,2.0,20.0,60.0,295.43,2019,1681
94,090/19/1,solovY zpev,30.0,9.0,18.0,54.0,13.0,26.0,78.0,13.0,46.4,24.14,2.44,24.4,73.2,259.34,2019,1681
