ID,SPECIALIZATION,GRADES,MATH,MATH%,MATHKREDITY,CZECH,CZECH%,CZECHKREDITY,HT,HT%,HTKREDITY,TAL,TAL%,TALKREDITY,SUM
065/19/1,solovY zpev,"48,00","22,00","44,0","132,00","22,00","44,0","132,00","19,50","69,6","36,21","6,22","62,2","186,60","534,81"
089/19/1,sOloq zpev,"38,00","10,00","20,0","60,00","28,00","56,0","168,00","8,50","30,4","15,79","8,13","81,3","243,90","525,69"
007/19/1,zobcova fletna,"48,00","24,00","48,0","144,00","38,00","76,0","228,00","16,00","57,1","29,71","2,22","22,2","66,60","516,31"
021/19/1,trombon,"42,00","14,00","28,0","84,00","17,00","34,0","102,00","8,50","30,4","15,79","8,89","88,9","266,70","510,49"
011/19/1,hoboj,"40,00","17,00","34,0","102,00","26,00","52,0","156,00","8,00","28,6","14,86","6,33","63,3","189,90","502,76"
006/19/1,kytara,"48,00","28,00","56,0","168,00","35,00","70,0","210,00","12,00","42,9","22,29","1,78","17,8","53,40","501,69"
031/19/2,kytara,"40,00","16,00","32,0","96,00","21,00","42,0","126,00","19,50","69,6","36,21","6,78","67,8","203,40","501,61"
051/19/1,klavir,"48,00","27,00","54,0","162,00","36,00","72,0","216,00","12,50","44,6","23,21","1,44","14,4","43,20","492,41"
016/19/1,housle,"48,00","32,00","64,0","192,00","32,00","64,0","192,00","9,00","32,1","16,71","1,11","11,1","33,30","482,01"
086/19/1,trom bon,"42,00","7,00","14,0","42,00","24,00","48,0","144,00","9,50","33,9","17,64","7,44","74,4","223,20","468,84"
013/19/1,so1ovj/ zpev,"30,00","18,00","36,0","108,00","27,00","54,0","162,00","28,00","100,0","52,00","3,11","31,1","93,30","445,30"
036/19/1,harfa,"42,00","18,00","36,0","108,00","30,00","60,0","180,00","9,50","33,9","17,64","3,22","32,2","96,60","444,24"
032/19/2,solovji zpev,"48,00","27,00","54,0","162,00","30,00","60,0","180,00","7,00","25,0","13,00","1,33","13,3","39,90","442,90"
077/19/2,s6 lovjf zpev,"48,00","29,00","58,0","174,00","18,00","36,0","108,00","18,50","66,1","34,36","2,11","21,1","63,30","427,66"
029/19/2,housle,"48,00","17,00","34,0","102,00","26,00","52,0","156,00","18,50","66,1","34,36","2,89","28,9","86,70","427,06"
035/19/1,soloq zpev,"38,00","23,00","46,0","138,00","30,00","60,0","180,00","10,00","35,7","18,57","1,33","13,3","39,90","414,47"
087/19/1,violoncello,"42,00","16,00","32,0","96,00","18,00","36,0","108,00","8,00","28,6","14,86","5,00","50,0","150,00","410,86"
040/19/2,sOloq zpev,"44,00","23,00","46,0","138,00","25,00","50,0","150,00","8,50","30,4","15,79","1,89","18,9","56,70","404,49"
020/19/1,kytara,"42,00","17,00","34,0","102,00","20,00","40,0","120,00","12,00","42,9","22,29","3,00","30,0","90,00","376,29"
092/19/2,housle,"48,00","16,00","32,0","96,00","20,00","40,0","120,00","23,50","83,9","43,64","2,00","20,0","60,00","367,64"
025/19/2,kytara,"40,00","16,00","32,0","96,00","22,00","44,0","132,00","17,00","60,7","31,57","2,00","20,0","60,00","359,57"
047/19/2,klavir,"30,00","13,00","26,0","78,00","19,00","38,0","114,00","13,50","48,2","25,07","3,67","36,7","110,10","357,17"
086/19/1,bici,"42,00","7,00","14,0","42,00","24,00","48,0","144,00","9,50","33,9","17,64","3,44","34,4","103,20","348,84"
030/19/1,housle,"48,00","19,00","38,0","114,00","23,00","46,0","138,00","6,50","23,2","12,07","1,22","12,2","36,60","348,67"
081/19/1,solovy zpev,"40,00","16,00","32,0","96,00","21,00","42,0","126,00","10,50","37,5","19,50","1,89","18,9","56,70","338,20"
028/19/2,housle,"46,00","21,00","42,0","126,00","15,00","30,0","90,00","11,50","41,1","21,36","1,00","10,0","30,00","313,36"
060/19/1,zobcova fletna,"48,00","6,00","12,0","36,00","24,00","48,0","144,00","4,00","14,3","7,43","2,00","20,0","60,00","295,43"
090/19/1,solovY zpev,"30,00","9,00","18,0","54,00","13,00","26,0","78,00","13,00","46,4","24,14","2,44","24,4","73,20","259,34"
