Unnamed: 0;Unnamed: 1;B o d o v é  h o d n o c e n í;Unnamed: 3
192.;8064;333 279 90;702
193.;8441;306 306 89;701
194.;8134;288 315 91;694
195.;8209;252 342 100;694
196.;8391;261 333 100;694
197.-199.;8184;288 306 100;694
197.-199.;8168;288 306 100;694
197.-199.;8434;288 306 100;694
200.;8139;315 279 100;694
201.;8307;342 252 100;694
202.;8453;306 297 90;693
203.;8005;270 342 80;692
204.;8226;360 252 80;692
205.;8466;306 288 91;685
206.;8147;351 243 91;685
207.-208.;8219;252 333 100;685
207.-208.;8195;252 333 100;685
209.;8265;261 324 100;685
210.;8169;270 315 100;685
211.-213.;8367;279 306 100;685
211.-213.;8027;279 306 100;685
211.-213.;8029;279 306 100;685
214.;8347;297 288 100;685
215.;8037;306 279 100;685
216.;8354;270 324 90;684
217.;8410;261 342 80;683
218.;8236;306 288 89;683
219.;8082;360 270 50;680
220.;8044;288 297 91;676
221.-222.;8035;243 333 100;676
221.-222.;8291;243 333 100;676
223.;8066;252 324 100;676
224.;8071;261 315 100;676
225.;8299;279 297 100;676
226.-227.;8010;288 288 100;676
226.-227.;8274;288 288 100;676
228.;8279;297 279 100;676
229.-230.;8155;324 252 100;676
229.-230.;8003;324 252 100;676
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
231.;8038;243 342 90;675
232.;8206;297 288 90;675
233.;8479;360 234 80;674
234.;8449;297 288 89;674
235.;8186;216 378 78;672
236.-237.;8098;225 342 100;667
236.-237.;8241;225 342 100;667
238.-239.;8277;234 333 100;667
238.-239.;8263;234 333 100;667
240.-241.;8314;252 315 100;667
240.-241.;8304;252 315 100;667
242.;8056;261 306 100;667
243.;8288;270 297 100;667
244.-245.;8216;315 252 100;667
244.-245.;8157;315 252 100;667
246.;8440;324 243 100;667
247.;8152;288 288 90;666
248.;8328;315 261 87;663
249.;8021;252 306 100;658
250.-251.;8357;261 297 100;658
250.-251.;8123;261 297 100;658
252.;8194;306 252 100;658
253.;8223;270 297 90;657
254.;8255;189 387 80;656
255.-256.;8156;225 324 100;649
255.-256.;8131;225 324 100;649
257.;8144;234 315 100;649
258.;8403;243 306 100;649
259.;8083;252 297 100;649
260.-261.;8158;297 252 100;649
260.-261.;8362;297 252 100;649
262.;8408;333 216 100;649
263.;8316;342 207 100;649
264.;8166;252 315 80;647
265.;8162;234 324 89;647
266.;8315;279 288 78;645
267.;8298;324 234 87;645
268.;8384;225 315 100;640
269.-270.;8260;234 306 100;640
269.-270.;8007;234 306 100;640
271.-272.;8438;261 279 100;640
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
271.-272.;8201;261 279 100;640
273.;8284;270 270 100;640
274.;8058;279 261 100;640
275.;8070;288 252 100;640
276.;8101;315 225 100;640
277.-278.;8189;324 216 100;640
277.-278.;8330;324 216 100;640
279.;8225;279 270 86;635
280.;8321;243 315 73;631
281.;8500;243 288 100;631
282.;8486;279 252 100;631
283.;8113;288 243 100;631
284.;8333;315 216 100;631
285.;8294;324 207 100;631
286.;8041;225 315 90;630
287.;8485;279 261 90;630
288.;8437;270 270 89;629
289.;8499;279 261 89;629
290.;8262;306 225 91;622
291.;8018;216 306 100;622
292.;8401;261 261 100;622
293.;8220;324 198 100;622
294.;8205;243 297 80;620
295.;8468;243 297 73;613
296.;8199;216 297 100;613
297.;8387;243 270 100;613
298.;8420;270 243 100;613
299.;8432;288 225 100;613
300.;8137;234 288 89;611
301.;8302;180 324 100;604
302.;8126;225 279 100;604
303.;8193;261 243 100;604
304.;8355;279 225 100;604
305.;8063;234 279 90;603
306.;8174;261 252 90;603
307.;8348;234 288 80;602
308.;8233;243 288 70;601
309.;8386;288 234 78;600
310.;8358;207 288 100;595
311.;8258;225 270 100;595
312.;8287;234 261 100;595
;;B o d o v é  h o d n o c e n í;
;reg. číslo;čeština matemat. ZŠ;Celkem
313.-314.;8423;243 252 100;595
313.-314.;8464;243 252 100;595
315.;8025;252 243 100;595
316.;8372;288 207 100;595
317.;8151;306 189 100;595
318.;8187;261 225 100;586
319.-321.;8379;288 198 100;586
319.-321.;8105;288 198 100;586
319.-321.;8092;288 198 100;586
322.;8178;306 180 100;586
323.;8135;207 297 80;584
324.;8406;252 252 80;584
325.;8280;234 270 78;582
326.;8180;180 297 100;577
327.;8309;216 261 100;577
328.;8119;234 243 100;577
329.;8369;243 234 100;577
330.;8430;252 225 100;577
331.;8086;288 189 100;577
332.;8160;207 279 90;576
