TODROP,RANK,ID,CZECH,MATH,GRADES,SUM,YEAR,SCHOOLCOURSE_ID
150,150,9075,261,306,100,667,2018,1481
151,150,8024,261,306,100,667,2018,1481
152,153,9004,324,243,100,667,2018,1481
153,154,9117,333,234,100,667,2018,1481
154,155,9130,369,198,100,667,2018,1481
155,156,8223,261,324,80,665,2018,1481
156,157,9035,324,234,100,658,2018,1481
157,157,8243,324,234,100,658,2018,1481
158,157,8274,324,234,100,658,2018,1481
159,157,8002,324,234,100,658,2018,1481
160,161,9054,342,216,100,658,2018,1481
161,162,9076,351,207,100,658,2018,1481
162,163,9120,369,189,100,658,2018,1481
163,164,8114,306,261,90,657,2018,1481
164,165,9062,297,261,91,649,2018,1481
165,166,8079,252,297,100,649,2018,1481
166,167,9077,297,252,100,649,2018,1481
167,168,8037,306,243,100,649,2018,1481
168,168,8232,306,243,100,649,2018,1481
169,170,9142,315,234,100,649,2018,1481
170,171,9030,324,225,100,649,2018,1481
171,171,9174,324,225,100,649,2018,1481
172,173,9036,342,207,100,649,2018,1481
173,173,8072,342,207,100,649,2018,1481
174,175,9049,369,180,100,649,2018,1481
175,176,9010,369,189,89,647,2018,1481
176,177,9026,243,297,100,640,2018,1481
177,178,8272,288,252,100,640,2018,1481
178,178,9152,288,252,100,640,2018,1481
179,180,9056,297,243,100,640,2018,1481
180,180,8270,297,243,100,640,2018,1481
181,180,8076,297,243,100,640,2018,1481
182,180,9053,297,243,100,640,2018,1481
183,180,9149,297,243,100,640,2018,1481
184,185,8275,315,225,100,640,2018,1481
185,186,8155,333,207,100,640,2018,1481
186,187,9080,315,234,89,638,2018,1481
187,188,9194,243,288,100,631,2018,1481
188,189,8023,270,261,100,631,2018,1481
189,190,8112,279,252,100,631,2018,1481
190,190,8128,279,252,100,631,2018,1481
191,192,9135,315,216,100,631,2018,1481
192,193,9129,324,207,100,631,2018,1481
193,194,8266,333,198,100,631,2018,1481
194,194,9146,333,198,100,631,2018,1481
195,196,8074,270,252,100,622,2018,1481
196,197,9125,297,225,100,622,2018,1481
197,197,8102,297,225,100,622,2018,1481
198,197,9072,297,225,100,622,2018,1481
199,197,9023,297,225,100,622,2018,1481
200,201,9172,342,180,100,622,2018,1481
201,202,8021,315,216,90,621,2018,1481
202,203,9096,225,324,70,619,2018,1481
203,204,8199,315,225,78,618,2018,1481
204,205,8003,252,261,100,613,2018,1481
205,206,8132,261,252,100,613,2018,1481
206,206,9028,261,252,100,613,2018,1481
207,208,8022,270,243,100,613,2018,1481
208,209,9095,279,234,100,613,2018,1481
209,210,8081,288,234,89,611,2018,1481
210,211,8175,216,288,100,604,2018,1481
211,212,9047,243,261,100,604,2018,1481
212,213,8255,297,207,100,604,2018,1481
213,214,8085,324,180,100,604,2018,1481
214,215,8094,333,171,100,604,2018,1481
215,216,8277,360,144,100,604,2018,1481
216,217,9082,288,234,80,602,2018,1481
217,218,8043,261,252,89,602,2018,1481
218,219,8256,270,243,89,602,2018,1481
219,220,8034,216,315,64,595,2018,1481
220,221,8117,315,207,73,595,2018,1481
221,222,8136,225,279,91,595,2018,1481
222,223,8198,216,279,100,595,2018,1481
223,224,9111,234,261,100,595,2018,1481
224,225,9199,261,234,100,595,2018,1481
225,226,8195,288,207,100,595,2018,1481
226,227,9039,207,297,89,593,2018,1481
227,228,9025,252,243,91,586,2018,1481
228,229,9184,207,279,100,586,2018,1481
229,230,8017,225,261,100,586,2018,1481
230,231,8093,270,216,100,586,2018,1481
231,232,9078,297,189,100,586,2018,1481
232,232,8205,297,189,100,586,2018,1481
233,234,8060,243,252,82,577,2018,1481
234,235,8210,234,243,100,577,2018,1481
235,236,8108,243,234,100,577,2018,1481
236,237,8029,252,225,100,577,2018,1481
237,237,8028,252,225,100,577,2018,1481
238,239,8247,243,243,90,576,2018,1481
239,240,8020,207,288,80,575,2018,1481
240,241,9140,279,207,89,575,2018,1481
241,242,8127,306,180,82,568,2018,1481
242,243,9134,252,216,100,568,2018,1481
243,244,9091,261,207,100,568,2018,1481
244,245,8075,270,198,100,568,2018,1481
245,245,8178,270,198,100,568,2018,1481
246,247,9166,288,180,100,568,2018,1481
247,248,9081,297,171,100,568,2018,1481
248,248,8184,297,171,100,568,2018,1481
249,248,8253,297,171,100,568,2018,1481
250,251,8229,198,279,90,567,2018,1481
251,252,8083,297,180,90,567,2018,1481
252,253,8005,270,207,89,566,2018,1481
253,254,8146,207,252,100,559,2018,1481
254,255,9006,252,207,100,559,2018,1481
255,255,8194,252,207,100,559,2018,1481
256,257,8263,270,189,100,559,2018,1481
257,257,9009,270,189,100,559,2018,1481
258,259,8254,306,153,100,559,2018,1481
259,260,9157,315,144,100,559,2018,1481
260,261,9012,261,207,90,558,2018,1481
261,262,9102,288,198,70,556,2018,1481
262,263,8201,216,261,73,550,2018,1481
263,264,9015,198,252,100,550,2018,1481
264,265,8033,261,189,100,550,2018,1481
265,265,9083,261,189,100,550,2018,1481
266,267,9173,270,180,100,550,2018,1481
267,268,8133,279,171,100,550,2018,1481
268,268,9137,279,171,100,550,2018,1481
269,270,9126,306,144,100,550,2018,1481
270,271,9044,225,234,87,546,2018,1481
271,272,9190,225,216,100,541,2018,1481
272,273,8051,261,180,100,541,2018,1481
273,273,8071,261,180,100,541,2018,1481
274,275,8226,270,171,100,541,2018,1481
275,276,8044,279,162,100,541,2018,1481
276,276,9141,279,162,100,541,2018,1481
277,278,9116,234,216,90,540,2018,1481
278,279,8139,306,144,90,540,2018,1481
279,280,9060,243,216,80,539,2018,1481
280,281,9059,225,234,78,537,2018,1481
281,282,9097,279,180,78,537,2018,1481
282,283,8246,288,171,78,537,2018,1481
283,284,9017,234,207,91,532,2018,1481
284,285,8213,306,135,91,532,2018,1481
285,286,9040,171,261,100,532,2018,1481
286,287,8215,198,234,100,532,2018,1481
287,288,9164,270,162,100,532,2018,1481
288,289,8095,288,144,100,532,2018,1481
289,290,8153,216,243,67,526,2018,1481
290,291,8042,216,243,64,523,2018,1481
291,292,9067,207,216,100,523,2018,1481
292,292,9003,207,216,100,523,2018,1481
293,294,9046,225,198,100,523,2018,1481
294,294,8109,225,198,100,523,2018,1481
295,296,8278,306,117,100,523,2018,1481
296,297,9033,261,171,90,522,2018,1481
297,298,8124,225,207,89,521,2018,1481
298,299,8160,252,198,67,517,2018,1481
299,300,9155,216,198,100,514,2018,1481
300,301,8062,234,180,100,514,2018,1481
301,302,9110,270,144,100,514,2018,1481
302,303,8007,279,135,100,514,2018,1481
303,304,9160,315,108,90,513,2018,1481
304,305,9031,252,180,80,512,2018,1481
305,306,8066,243,189,78,510,2018,1481
306,307,8057,234,207,67,508,2018,1481
307,308,8110,189,243,73,505,2018,1481
308,309,8242,225,207,73,505,2018,1481
309,310,8142,207,198,100,505,2018,1481
310,311,9038,225,180,100,505,2018,1481
311,312,8106,243,162,100,505,2018,1481
312,313,8065,198,198,100,496,2018,1481
313,314,8248,207,189,100,496,2018,1481
314,315,9177,216,180,100,496,2018,1481
315,315,8039,216,180,100,496,2018,1481
316,317,9042,225,171,100,496,2018,1481
317,317,9008,225,171,100,496,2018,1481
318,319,9050,234,162,100,496,2018,1481
319,320,8158,243,153,100,496,2018,1481
320,321,8010,207,198,90,495,2018,1481
321,322,8038,261,171,62,494,2018,1481
322,323,8088,261,144,82,487,2018,1481
323,324,8090,234,162,91,487,2018,1481
324,325,8171,162,225,100,487,2018,1481
325,326,9066,171,216,100,487,2018,1481
326,327,9087,216,171,100,487,2018,1481
327,328,9099,234,153,100,487,2018,1481
328,329,8219,252,135,100,487,2018,1481
329,330,8054,243,153,90,486,2018,1481
330,331,9094,288,108,90,486,2018,1481
331,332,8063,234,171,80,485,2018,1481
332,333,8045,171,225,89,485,2018,1481
333,334,8169,207,189,89,485,2018,1481
334,335,9124,279,135,70,484,2018,1481
335,336,9143,216,162,100,478,2018,1481
336,337,8101,180,216,80,476,2018,1481
337,338,8235,243,135,91,469,2018,1481
338,339,8015,171,198,100,469,2018,1481
339,340,8031,234,135,100,469,2018,1481
340,341,9052,216,180,67,463,2018,1481
341,342,9065,171,189,100,460,2018,1481
342,343,9123,180,180,100,460,2018,1481
343,344,9086,198,162,100,460,2018,1481
344,345,8157,216,144,100,460,2018,1481
345,346,9127,225,135,100,460,2018,1481
346,347,9016,216,153,90,459,2018,1481
347,348,8168,162,207,89,458,2018,1481
348,349,8261,135,216,100,451,2018,1481
349,350,9051,180,171,100,451,2018,1481
350,351,8098,189,162,100,451,2018,1481
351,352,8107,225,126,100,451,2018,1481
352,353,8058,270,81,100,451,2018,1481
353,354,8267,144,261,44,449,2018,1481
354,355,8119,162,198,89,449,2018,1481
355,356,8046,189,180,78,447,2018,1481
356,357,9069,243,126,78,447,2018,1481
357,358,8238,99,270,73,442,2018,1481
358,359,8055,243,117,82,442,2018,1481
359,360,8036,153,189,100,442,2018,1481
360,361,8251,198,144,100,442,2018,1481
361,362,8276,234,108,100,442,2018,1481
362,363,8173,180,171,90,441,2018,1481
363,364,9073,189,171,80,440,2018,1481
364,365,9158,189,162,89,440,2018,1481
365,366,9119,216,144,78,438,2018,1481
366,367,8244,234,135,67,436,2018,1481
367,368,9005,180,153,100,433,2018,1481
368,369,8056,189,144,100,433,2018,1481
369,370,9195,144,198,87,429,2018,1481
370,371,8240,126,270,29,425,2018,1481
371,372,8180,207,144,73,424,2018,1481
372,373,9104,180,153,91,424,2018,1481
373,374,8193,216,117,91,424,2018,1481
374,375,8185,153,171,100,424,2018,1481
375,376,9156,198,126,100,424,2018,1481
376,377,9189,225,99,100,424,2018,1481
377,378,9108,198,135,90,423,2018,1481
378,379,8196,153,189,80,422,2018,1481
379,380,9133,216,126,80,422,2018,1481
380,381,8120,216,144,55,415,2018,1481
381,381,8148,216,144,55,415,2018,1481
382,383,9001,207,126,82,415,2018,1481
383,384,9186,243,108,62,413,2018,1481
384,385,9121,189,126,91,406,2018,1481
385,386,8047,207,108,91,406,2018,1481
386,387,8013,171,135,100,406,2018,1481
387,388,8137,189,117,100,406,2018,1481
388,389,8008,198,117,90,405,2018,1481
389,390,9198,180,135,89,404,2018,1481
390,391,8166,189,153,60,402,2018,1481
391,392,9144,171,144,86,401,2018,1481
392,393,8086,162,153,82,397,2018,1481
393,394,9100,171,126,100,397,2018,1481
394,395,8170,225,72,100,397,2018,1481
395,396,8089,162,153,80,395,2018,1481
396,397,8264,207,108,80,395,2018,1481
397,398,8059,243,72,80,395,2018,1481
398,399,8202,126,198,70,394,2018,1481
399,400,8159,207,108,75,390,2018,1481
400,401,8163,225,90,73,388,2018,1481
401,402,8130,216,90,82,388,2018,1481
402,403,9037,234,63,90,387,2018,1481
403,404,8073,198,108,80,386,2018,1481
404,405,9131,225,72,89,386,2018,1481
405,406,8179,189,117,78,384,2018,1481
406,407,9048,180,153,50,383,2018,1481
407,408,9068,135,180,67,382,2018,1481
408,409,9192,198,126,56,380,2018,1481
409,410,9139,135,144,100,379,2018,1481
410,411,8113,189,108,80,377,2018,1481
411,412,8236,162,126,89,377,2018,1481
412,413,8138,180,108,89,377,2018,1481
413,414,8014,153,117,100,370,2018,1481
414,415,8227,189,81,100,370,2018,1481
415,416,9150,198,72,100,370,2018,1481
416,417,9024,162,99,100,361,2018,1481
417,418,8231,108,162,90,360,2018,1481
418,419,9165,135,144,80,359,2018,1481
419,420,8126,162,117,80,359,2018,1481
420,421,8103,162,117,78,357,2018,1481
421,422,8208,144,126,82,352,2018,1481
422,423,8234,135,117,100,352,2018,1481
423,423,8122,135,117,100,352,2018,1481
424,425,9185,171,81,100,352,2018,1481
425,426,9187,144,117,90,351,2018,1481
426,427,9169,189,72,89,350,2018,1481
427,428,8225,198,81,70,349,2018,1481
428,429,8222,180,99,60,339,2018,1481
429,430,9128,171,90,78,339,2018,1481
430,431,9007,144,90,100,334,2018,1481
431,432,9058,126,99,100,325,2018,1481
432,433,8147,153,72,100,325,2018,1481
433,434,9085,162,63,100,325,2018,1481
434,435,9061,135,99,89,323,2018,1481
435,436,9034,180,72,70,322,2018,1481
436,437,8182,108,135,78,321,2018,1481
437,438,8105,90,153,64,307,2018,1481
438,439,8250,144,63,100,307,2018,1481
439,440,8027,126,117,60,303,2018,1481
440,441,8048,162,72,67,301,2018,1481
441,442,8183,126,117,55,298,2018,1481
442,443,9193,180,63,55,298,2018,1481
443,444,8115,153,72,67,292,2018,1481
444,445,8176,135,54,100,289,2018,1481
445,446,8187,153,45,90,288,2018,1481
446,447,9032,126,81,80,287,2018,1481
447,448,8096,99,126,50,275,2018,1481
448,449,8012,81,117,70,268,2018,1481
449,450,8049,108,81,78,267,2018,1481
450,451,8252,135,45,82,262,2018,1481
451,452,9183,99,99,60,258,2018,1481
452,453,8080,135,54,67,256,2018,1481
453,454,8077,171,54,30,255,2018,1481
454,455,8149,108,108,37,253,2018,1481
455,456,9197,144,54,55,253,2018,1481
456,457,8145,90,126,30,246,2018,1481
457,458,9114,108,72,64,244,2018,1481
458,459,8233,126,18,100,244,2018,1481
459,460,8070,108,54,78,240,2018,1481
460,461,8064,135,81,20,236,2018,1481
461,462,8121,90,63,80,233,2018,1481
462,463,8161,144,0,82,226,2018,1481
463,464,8191,108,54,62,224,2018,1481
464,465,8104,99,45,60,204,2018,1481
465,466,8237,90,18,89,197,2018,1481
466,467,9022,135,36,25,196,2018,1481
467,468,8209,63,45,80,188,2018,1481
468,469,8181,90,45,0,135,2018,1481
