RANK, reg. číslo,čeština,matemat.,ZŠ,Celkem
210.-211.,5148,297,306,100,703
212.,5029,306,297,100,703
213.,6112,315,288,100,703
214.-215.,6076,324,279,100,703
214.-215.,6150,324,279,100,703
216.,5059,342,261,100,703
217.,6235,351,252,100,703
218.,5278,360,243,100,703
219.,6241,378,225,100,703
220.,6156,315,297,84,696
221.,6109,180,414,100,694
222.-223.,5015,261,333,100,694
222.-223.,6029,261,333,100,694
224.-227.,6066,279,315,100,694
224.-227.,6054,279,315,100,694
224.-227.,6070,279,315,100,694
224.-227.,6257,279,315,100,694
228.,6251,288,306,100,694
229.-230.,6185,297,297,100,694
229.-230.,6204,297,297,100,694
231.,6042,306,288,100,694
232.,5168,324,270,100,694
233.,6010,369,225,100,694
234.,5046,306,306,80,692
235.,6090,270,333,82,685
236.,6019,297,288,100,685
237.-238.,6003,306,279,100,685
237.-238.,6215,306,279,100,685
239.,6153,315,270,100,685
240.,5014,324,261,100,685
241.,6132,333,252,100,685
242.,5211,378,207,100,685
243.,6052,306,288,89,683
244.,6247,252,324,100,676
245.,6147,279,297,100,676
246.,6114,306,270,100,676
247.,6123,288,297,89,674
248.,6113,306,261,100,667
249.-251.,6145,315,252,100,667
249.-251.,6191,315,252,100,667
249.-251.,5223,315,252,100,667
252.,6229,351,225,89,665
253.,5269,279,288,91,658
254.,6183,180,378,100,658
255.,6230,306,252,100,658
256.-257.,5174,315,243,100,658
256.-257.,6133,315,243,100,658
258.,5132,234,342,80,656
259.,6104,288,288,80,656
260.,6264,288,261,100,649
261.-262.,5224,297,252,100,649
261.-262.,5094,297,252,100,649
263.,5259,324,225,100,649
264.,5272,333,216,100,649
265.,6176,342,207,100,649
266.,5022,261,297,90,648
267.,6173,333,225,90,648
268.,5237,270,288,89,647
269.,6002,252,306,83,641
270.-271.,6224,270,270,100,640
270.-271.,6021,270,270,100,640
272.,6216,288,252,100,640
273.,5122,297,243,100,640
274.,6202,315,225,100,640
275.,5220,324,216,100,640
276.,5222,261,306,72,639
277.,5257,225,324,90,639
278.,5030,324,225,90,639
279.,6194,261,288,89,638
280.,6016,234,324,73,631
281.,6139,234,315,82,631
282.,6143,225,306,100,631
283.-284.,6174,270,261,100,631
283.-284.,6138,270,261,100,631
285.,6201,279,252,100,631
286.,5127,315,216,100,631
287.,6254,333,198,100,631
288.,5007,207,342,78,627
289.,5275,261,270,91,622
290.-291.,6057,252,270,100,622
290.-291.,5091,252,270,100,622
292.,5032,315,207,100,622
293.,6136,324,198,91,613
294.,5124,252,261,100,613
295.-296.,5172,261,252,100,613
295.-296.,6271,261,252,100,613
297.,6067,279,234,100,613
298.,5144,288,225,100,613
299.-301.,5228,297,216,100,613
299.-301.,6083,297,216,100,613
299.-301.,5130,297,216,100,613
302.,5188,315,198,100,613
303.,6091,270,252,90,612
304.,6102,234,288,89,611
305.,5285,297,234,78,609
306.,6268,261,270,73,604
307.,6270,216,288,100,604
308.,5245,261,243,100,604
309.-310.,6255,270,234,100,604
309.-310.,5024,270,234,100,604
311.,6243,288,216,100,604
312.,5035,297,207,100,604
313.,6085,315,189,100,604
314.,6040,288,216,92,596
315.,5212,234,270,91,595
316.,5038,207,288,100,595
317.-318.,6035,243,252,100,595
317.-318.,5023,243,252,100,595
319.,5048,279,216,100,595
320.,6086,324,171,100,595
321.,6065,270,234,87,591
322.,6267,162,342,82,586
323.,6023,180,306,100,586
324.,6238,207,279,100,586
325.-326.,5044,216,270,100,586
325.-326.,5069,216,270,100,586
327.,6079,243,243,100,586
328.,6208,261,225,100,586
329.,6020,306,180,100,586
330.,5135,351,135,100,586
331.,6069,216,279,90,585
332.,5011,261,243,80,584
333.,6163,288,216,80,584
334.,6172,306,198,78,582
335.,6157,171,351,56,578
336.,6024,297,225,55,577
337.,6130,144,333,100,577
338.,6059,153,324,100,577
339.,5267,207,270,100,577
340.,6077,216,261,100,577
341.,5202,252,225,100,577
342.,5068,270,207,100,577
343.,5115,189,297,90,576
344.,5006,207,279,90,576
345.,5181,261,225,90,576
346.,6120,225,261,89,575
347.,6124,153,333,87,573
348.,5105,189,279,100,568
349.,6250,216,252,100,568
350.,6258,243,225,100,568
351.,6252,252,216,100,568
352.,6045,270,198,100,568
353.,5075,297,180,90,567
354.,6155,261,225,78,564
355.,5186,234,279,50,563
356.,5159,234,261,67,562
357.,5247,243,261,55,559
358.,5271,216,270,73,559
359.,6186,360,99,100,559
360.,5101,324,153,80,557
361.,5242,261,234,60,555
362.,6180,189,261,100,550
363.,5241,252,198,100,550
364.,5238,207,252,90,549
365.,6058,270,189,90,549
366.,6261,243,234,70,547
367.,6036,288,180,78,546
368.,5150,207,279,55,541
369.,6162,252,198,91,541
370.-371.,5104,216,225,100,541
370.-371.,6207,216,225,100,541
372.,6075,225,216,100,541
373.,6187,234,207,100,541
374.,5063,252,189,100,541
375.,5041,288,153,100,541
376.,5199,198,252,90,540
377.,6197,180,252,100,532
378.,6193,198,234,100,532
379.,5140,252,180,100,532
380.,6211,288,144,100,532
381.,6073,297,135,100,532
382.-383.,5128,216,234,80,530
382.-383.,5084,216,234,80,530
384.,5151,207,225,91,523
385.,5273,243,189,91,523
386.,6171,153,270,100,523
387.,6237,180,243,100,523
388.,5239,234,189,100,523
389.,5064,243,180,100,523
390.,6022,171,261,90,522
391.,5171,135,297,87,519
392.,5282,261,153,100,514
393.,5078,279,135,100,514
394.,5113,270,153,90,513
395.,6239,153,261,91,505
396.-397.,6118,216,189,100,505
396.-397.,5080,216,189,100,505
398.,6263,108,306,87,501
399.,5204,153,243,100,496
400.,6233,207,189,100,496
401.-402.,5005,252,144,100,496
401.-402.,6248,252,144,100,496
403.,6134,198,216,,494
404.,6244,225,162,100,487
405.,5234,270,117,100,487
406.,6043,306,81,100,487
407.,6072,207,189,89,485
408.,6062,216,189,73,478
409.,5197,171,216,91,478
410.,5083,180,198,100,478
411.,6051,198,180,100,478
412.,5110,225,153,100,478
413.,5217,234,144,100,478
414.,6056,126,261,90,477
415.,5042,171,216,90,477
416.,5002,216,171,90,477
417.,6170,135,279,60,474
418.,5214,180,243,50,473
419.,5133,180,207,82,469
420.,6053,198,189,80,467
421.,6089,171,225,70,466
422.,5261,189,207,70,466
423.,5123,252,162,50,464
424.,6253,144,216,100,460
425.,5164,180,180,100,460
426.,6017,234,144,80,458
427.,5160,189,207,60,456
428.,5026,252,126,73,451
429.,5218,180,171,100,451
430.,6049,207,144,100,451
431.,5274,252,198,0,450
432.,6093,234,135,80,449
433.,5161,180,180,87,447
434.,5196,162,207,75,444
435.,6078,180,162,100,442
436.,5049,207,135,100,442
437.,6259,225,117,100,442
438.,6256,288,54,100,442
439.,5021,144,207,90,441
440.,5131,216,135,90,441
441.,5221,108,252,80,440
442.,5028,144,216,80,440
443.,6142,153,207,80,440
444.,5079,180,180,80,440
445.,5233,207,189,43,439
446.,6060,189,189,60,438
447.,6116,189,180,64,433
448.,5065,198,135,100,433
449.,5157,234,99,100,433
450.,5121,207,135,90,432
451.,5039,207,153,70,430
452.,6225,243,126,60,429
453.,5155,225,153,50,428
454.,5255,198,162,67,427
455.,6160,171,153,100,424
456.,6004,225,99,100,424
457.,5109,180,153,90,423
458.,6269,216,117,90,423
459.,5008,144,189,89,422
460.,6037,216,135,70,421
461.,5163,225,126,70,421
462.,6048,144,171,100,415
463.,5060,225,99,90,414
464.,5031,180,153,80,413
465.,5187,207,117,89,413
466.,6260,153,189,67,409
467.,5034,171,180,56,407
468.,5169,189,135,82,406
469.,5033,153,171,80,404
470.,5251,180,144,80,404
471.,5098,162,153,89,404
472.,6154,135,162,100,397
473.,5012,180,117,100,397
474.,6006,189,144,60,393
475.,5165,135,153,100,388
476.,6127,144,153,89,386
477.,6149,162,162,60,384
478.,6063,180,126,78,384
479.,5120,207,81,91,379
480.-481.,5073,162,117,100,379
480.-481.,5200,162,117,100,379
482.,6161,189,90,100,379
483.,6214,207,99,67,373
484.,6198,216,99,57,372
485.,5235,198,81,90,369
486.,6107,144,135,89,368
487.,6031,81,216,70,367
488.,6144,135,144,78,357
489.,6013,153,144,56,353
490.,6039,189,162,0,351
491.,5088,198,54,90,342
492.,6071,135,126,80,341
493.,5215,153,135,50,338
494.,6117,99,162,70,331
495.,5284,72,198,60,330
496.,6226,126,99,100,325
497.,5141,189,54,80,323
498.,5095,153,81,89,323
499.-500.,5054,117,135,70,322
499.-500.,5154,117,135,70,322
501.,6014,36,234,50,320
502.,5156,126,90,100,316
503.,5102,135,99,80,314
504.,6262,99,126,89,314
505.,5264,117,90,100,307
506.,6080,171,90,44,305
507.,6101,126,90,89,305
508.,6223,72,162,70,304
509.,5087,189,36,78,303
510.,5043,153,108,36,297
511.,5210,126,72,78,276
512.,5074,81,99,90,270
513.,6038,108,81,80,269
514.,6159,144,54,70,268
515.,6081,81,99,82,262
516.,5070,117,81,60,258
517.,6011,135,45,78,258
518.,6165,162,18,78,258
519.,6034,126,36,89,251
520.,5139,81,54,100,235
521.,5243,108,27,100,235
522.,5112,153,0,70,223
523.,6026,108,63,45,216
524.,5071,90,54,67,211
525.,5058,63,81,62,206
526.,5185,72,72,60,204
527.,6082,36,81,85,202
528.,6033,54,72,67,193
529.,5020,45,81,62,188
530.,5016,36,81,50,167
531.,5225,81,36,50,167
532.,5097,18,45,89,152
533.,5213,54,9,60,123
