
RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
212.,9094,243,252,100,595
213.,9037,261,234,100,595
214.-215.,9083,270,225,100,595
214.-215.,9174,270,225,100,595
216.,9175,279,216,100,595
217.,8142,288,207,100,595
218.-219.,8188,306,189,100,595
218.-219.,8154,306,189,100,595
220.,8040,351,180,60,591
221.,9165,279,225,87,591
222.,8058,243,279,67,589
223.,9202,279,234,75,588
224.,8229,333,180,73,586
225.,8158,207,279,100,586
226.,8006,261,225,100,586
227.,9047,270,216,100,586
228.,9240,297,189,100,586
229.,8072,252,252,80,584
230.,9132,198,288,91,577
231.-232.,8195,324,162,91,577
231.-232.,8192,324,162,91,577
233.,9004,216,261,100,577
234.,9093,288,189,100,577
235.,9244,297,198,80,575
236.,9060,261,225,89,575
237.,9157,315,189,70,574
238.,9167,315,189,67,571
239.,8096,297,198,73,568
240.,9178,180,288,100,568
241.,8265,198,270,100,568
242.-243.,8079,234,234,100,568
242.-243.,9253,234,234,100,568
244.,8037,315,153,100,568
245.,8197,180,306,80,566
246.,8245,288,207,70,565
247.,8115,315,180,64,559
248.-249.,9084,234,225,100,559
248.-249.,8085,234,225,100,559
250.,9080,252,207,100,559
251.,8106,279,180,100,559
252.-254.,8186,297,162,100,559
252.-254.,8249,297,162,100,559
252.-254.,9230,297,162,100,559
255.,9070,306,153,100,559
256.,8026,342,117,100,559
257.,9035,306,171,80,557
258.,8113,261,207,89,557
259.,9049,180,279,91,550
260.,9248,162,288,100,550
261.,8087,225,225,100,550
262.,8125,234,216,100,550
263.,8078,270,180,100,550
264.,9150,261,198,90,549
265.,9158,216,252,80,548
266.,9138,189,252,100,541
267.,9103,207,234,100,541
268.-269.,9139,234,207,100,541
268.-269.,8143,234,207,100,541
270.,8080,243,198,100,541
271.-272.,9116,261,180,100,541
271.-272.,8177,261,180,100,541
273.,8025,270,171,100,541
274.,8047,315,126,100,541
275.,8027,270,189,80,539
276.,9163,261,180,91,532
277.,9237,207,225,100,532
278.,8075,216,216,100,532
279.-280.,9025,243,189,100,532
279.-280.,9096,243,189,100,532
281.,8210,270,162,100,532
282.,9059,297,135,100,532
283.,8246,261,180,90,531
284.,8209,252,189,89,530
285.,9236,207,234,82,523
286.,8022,126,297,100,523
287.,9010,234,189,100,523
288.,8166,261,171,90,522
289.,9043,153,288,80,521
290.,9016,279,180,60,519
291.,9155,243,189,82,514
292.,9031,216,198,100,514
293.,8247,225,189,100,514
294.-295.,9125,279,135,100,514
294.-295.,9229,279,135,100,514
296.,9008,297,117,100,514
297.,9113,252,180,80,512
298.,9249,216,279,11,506
299.,8244,207,207,91,505
300.,9065,180,225,100,505
301.,9007,189,216,100,505
302.,9182,234,171,100,505
303.,8223,252,153,100,505
304.-305.,8004,288,117,100,505
304.-305.,8202,288,117,100,505
306.,9241,297,108,100,505
307.,9012,261,189,50,500
308.,9154,252,144,100,496
309.,8109,279,117,100,496
310.,9074,297,99,100,496
311.,8212,261,153,80,494
312.,9090,189,216,89,494
313.,8057,198,207,89,494
314.,9159,333,108,50,491
315.,8110,207,216,67,490
316.,8021,234,153,100,487
317.,9091,261,126,100,487
318.,8112,270,117,100,487
319.,8218,333,54,100,487
320.,9147,261,135,90,486
321.,9058,207,234,44,485
322.,9118,279,117,89,485
323.,9028,162,234,87,483
324.,8032,261,144,73,478
325.,9219,180,198,100,478
326.,8039,207,171,100,478
327.,9018,270,108,100,478
328.,8067,153,243,78,474
329.,8119,171,234,67,472
330.,8165,207,171,91,469
331.,9176,234,144,91,469
332.,9189,189,180,100,469
333.-334.,8089,207,162,100,469
333.-334.,9145,207,162,100,469
335.-336.,9232,225,144,100,469
335.-336.,9027,225,144,100,469
337.,9014,216,162,90,468
338.,8038,153,234,80,467
339.,8232,117,288,60,465
340.,8082,207,180,78,465
341.,9099,153,252,55,460
342.,8262,153,207,100,460
343.,8171,180,180,100,460
344.-345.,8063,198,162,100,460
344.-345.,9201,198,162,100,460
346.,8156,207,153,100,460
347.,8128,216,144,100,460
348.,9005,243,117,100,460
349.,8118,135,234,90,459
350.,8041,189,189,78,456
351.,8020,180,171,100,451
352.,8054,189,162,100,451
353.,9001,207,144,100,451
354.,9142,216,135,100,451
355.,9077,225,126,100,451
