RANK,reg. číslo,čeština,matemat.,ZŠ,Celkem
213.,8255,297,207,100,604
214.,8085,324,180,100,604
215.,8094,333,171,100,604
216.,8277,360,144,100,604
217.,9082,288,234,80,602
218.,8043,261,252,89,602
219.,8256,270,243,89,602
220.,8034,216,315,64,595
221.,8117,315,207,73,595
222.,8136,225,279,91,595
223.,8198,216,279,100,595
224.,9111,234,261,100,595
225.,9199,261,234,100,595
226.,8195,288,207,100,595
227.,9039,207,297,89,593
228.,9025,252,243,91,586
229.,9184,207,279,100,586
230.,8017,225,261,100,586
231.,8093,270,216,100,586
232.-233.,9078,297,189,100,586
232.-233.,8205,297,189,100,586
234.,8060,243,252,82,577
235.,8210,234,243,100,577
236.,8108,243,234,100,577
237.-238.,8029,252,225,100,577
237.-238.,8028,252,225,100,577
239.,8247,243,243,90,576
240.,8020,207,288,80,575
241.,9140,279,207,89,575
242.,8127,306,180,82,568
243.,9134,252,216,100,568
244.,9091,261,207,100,568
245.-246.,8075,270,198,100,568
245.-246.,8178,270,198,100,568
247.,9166,288,180,100,568
248.-250.,9081,297,171,100,568
248.-250.,8184,297,171,100,568
248.-250.,8253,297,171,100,568
251.,8229,198,279,90,567
252.,8083,297,180,90,567
253.,8005,270,207,89,566
254.,8146,207,252,100,559
255.-256.,9006,252,207,100,559
255.-256.,8194,252,207,100,559
257.-258.,8263,270,189,100,559
257.-258.,9009,270,189,100,559
259.,8254,306,153,100,559
260.,9157,315,144,100,559
261.,9012,261,207,90,558
262.,9102,288,198,70,556
263.,8201,216,261,73,550
264.,9015,198,252,100,550
265.-266.,8033,261,189,100,550
265.-266.,9083,261,189,100,550
267.,9173,270,180,100,550
268.-269.,8133,279,171,100,550
268.-269.,9137,279,171,100,550
270.,9126,306,144,100,550
271.,9044,225,234,87,546
272.,9190,225,216,100,541
273.-274.,8051,261,180,100,541
273.-274.,8071,261,180,100,541
275.,8226,270,171,100,541
276.-277.,8044,279,162,100,541
276.-277.,9141,279,162,100,541
278.,9116,234,216,90,540
279.,8139,306,144,90,540
280.,9060,243,216,80,539
281.,9059,225,234,78,537
282.,9097,279,180,78,537
283.,8246,288,171,78,537
284.,9017,234,207,91,532
285.,8213,306,135,91,532
286.,9040,171,261,100,532
287.,8215,198,234,100,532
288.,9164,270,162,100,532
289.,8095,288,144,100,532
290.,8153,216,243,67,526
291.,8042,216,243,64,523
292.-293.,9067,207,216,100,523
292.-293.,9003,207,216,100,523
294.-295.,9046,225,198,100,523
294.-295.,8109,225,198,100,523
296.,8278,306,117,100,523
297.,9033,261,171,90,522
298.,8124,225,207,89,521
299.,8160,252,198,67,517
300.,9155,216,198,100,514
301.,8062,234,180,100,514
302.,9110,270,144,100,514
303.,8007,279,135,100,514
304.,9160,315,108,90,513
305.,9031,252,180,80,512
306.,8066,243,189,78,510
307.,8057,234,207,67,508
308.,8110,189,243,73,505
309.,8242,225,207,73,505
310.,8142,207,198,100,505
311.,9038,225,180,100,505
312.,8106,243,162,100,505
313.,8065,198,198,100,496
314.,8248,207,189,100,496
315.-316.,9177,216,180,100,496
315.-316.,8039,216,180,100,496
317.-318.,9042,225,171,100,496
317.-318.,9008,225,171,100,496
319.,9050,234,162,100,496
320.,8158,243,153,100,496
321.,8010,207,198,90,495
322.,8038,261,171,62,494
323.,8088,261,144,82,487
324.,8090,234,162,91,487
325.,8171,162,225,100,487
326.,9066,171,216,100,487
327.,9087,216,171,100,487
328.,9099,234,153,100,487
329.,8219,252,135,100,487
330.,8054,243,153,90,486
331.,9094,288,108,90,486
332.,8063,234,171,80,485
333.,8045,171,225,89,485
334.,8169,207,189,89,485
335.,9124,279,135,70,484
336.,9143,216,162,100,478
337.,8101,180,216,80,476
338.,8235,243,135,91,469
339.,8015,171,198,100,469
340.,8031,234,135,100,469
341.,9052,216,180,67,463
342.,9065,171,189,100,460
343.,9123,180,180,100,460
344.,9086,198,162,100,460
345.,8157,216,144,100,460
346.,9127,225,135,100,460
347.,9016,216,153,90,459
348.,8168,162,207,89,458
349.,8261,135,216,100,451
350.,9051,180,171,100,451
351.,8098,189,162,100,451
352.,8107,225,126,100,451
353.,8058,270,81,100,451
354.,8267,144,261,44,449
355.,8119,162,198,89,449
356.,8046,189,180,78,447
357.,9069,243,126,78,447
358.,8238,99,270,73,442
359.,8055,243,117,82,442
360.,8036,153,189,100,442
361.,8251,198,144,100,442
362.,8276,234,108,100,442
363.,8173,180,171,90,441
364.,9073,189,171,80,440
365.,9158,189,162,89,440
366.,9119,216,144,78,438
367.,8244,234,135,67,436
368.,9005,180,153,100,433
369.,8056,189,144,100,433
370.,9195,144,198,87,429
371.,8240,126,270,29,425
372.,8180,207,144,73,424
373.,9104,180,153,91,424
374.,8193,216,117,91,424
375.,8185,153,171,100,424
376.,9156,198,126,100,424
377.,9189,225,99,100,424
378.,9108,198,135,90,423
379.,8196,153,189,80,422
380.,9133,216,126,80,422
381.-382.,8120,216,144,55,415
381.-382.,8148,216,144,55,415
383.,9001,207,126,82,415
384.,9186,243,108,62,413
385.,9121,189,126,91,406
386.,8047,207,108,91,406
387.,8013,171,135,100,406
388.,8137,189,117,100,406
389.,8008,198,117,90,405
390.,9198,180,135,89,404
391.,8166,189,153,60,402
392.,9144,171,144,86,401
393.,8086,162,153,82,397
394.,9100,171,126,100,397
395.,8170,225,72,100,397
396.,8089,162,153,80,395
397.,8264,207,108,80,395
398.,8059,243,72,80,395
399.,8202,126,198,70,394
400.,8159,207,108,75,390
401.,8163,225,90,73,388
402.,8130,216,90,82,388
403.,9037,234,63,90,387
404.,8073,198,108,80,386
405.,9131,225,72,89,386
406.,8179,189,117,78,384
407.,9048,180,153,50,383
408.,9068,135,180,67,382
409.,9192,198,126,56,380
410.,9139,135,144,100,379
411.,8113,189,108,80,377
412.,8236,162,126,89,377
413.,8138,180,108,89,377
414.,8014,153,117,100,370
415.,8227,189,81,100,370
416.,9150,198,72,100,370
417.,9024,162,99,100,361
418.,8231,108,162,90,360
419.,9165,135,144,80,359
420.,8126,162,117,80,359
421.,8103,162,117,78,357
422.,8208,144,126,82,352
423.-424.,8234,135,117,100,352
423.-424.,8122,135,117,100,352
425.,9185,171,81,100,352
426.,9187,144,117,90,351
427.,9169,189,72,89,350
428.,8225,198,81,70,349
429.,8222,180,99,60,339
430.,9128,171,90,78,339
431.,9007,144,90,100,334
432.,9058,126,99,100,325
433.,8147,153,72,100,325
434.,9085,162,63,100,325
435.,9061,135,99,89,323
436.,9034,180,72,70,322
437.,8182,108,135,78,321
438.,8105,90,153,64,307
439.,8250,144,63,100,307
440.,8027,126,117,60,303
441.,8048,162,72,67,301
442.,8183,126,117,55,298
443.,9193,180,63,55,298
444.,8115,153,72,67,292
445.,8176,135,54,100,289
446.,8187,153,45,90,288
447.,9032,126,81,80,287
448.,8096,99,126,50,275
449.,8012,81,117,70,268
450.,8049,108,81,78,267
451.,8252,135,45,82,262
452.,9183,99,99,60,258
453.,8080,135,54,67,256
454.,8077,171,54,30,255
455.,8149,108,108,37,253
456.,9197,144,54,55,253
457.,8145,90,126,30,246
458.,9114,108,72,64,244
459.,8233,126,18,100,244
460.,8070,108,54,78,240
461.,8064,135,81,20,236
462.,8121,90,63,80,233
463.,8161,144,0,82,226
464.,8191,108,54,62,224
465.,8104,99,45,60,204
466.,8237,90,18,89,197
467.,9022,135,36,25,196
468.,8209,63,45,80,188
469.,8181,90,45,0,135
