RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
1,45183373,10,47,49,50,156,1
2,12174747,10,48,46,47,151,1
3,7178319,10,44,49,48,151,1
4,2181969,10,44,48,48,150,1
5,72170878,10,45,46,48,149,1
6,64176151,10,46,46,46,148,1
7,55169833,10,43,47,48,148,1
8,35168351,10,44,44,49,147,1
9,31166323,10,41,47,48,146,1
10,40168990,10,38,48,49,145,1
11,61179583,10,47,40,46,143,1
12,63165901,10,41,42,50,143,1
13,15166104,10,43,42,47,142,1
14,20182110,10,43,42,47,142,1
15,9166744,10,41,44,47,142,1
16,2171096,10,39,46,47,142,1
17,28174528,10,42,43,46,141,1
18,28181689,10,34,47,50,141,1
19,10182749,10,40,41,49,140,1
20,97175027,10,42,40,47,139,1
21,90186041,10,42,40,46,138,1
22,96169895,10,42,37,48,137,1
23,6166463,10,41,39,47,137,1
24,60185339,10,40,39,48,137,1
25,53168569,10,37,45,45,137,1
26,32166182,8.67,43,37,48,136.67,1
27,26168912,10,41,39,46,136,1
28,88165340,10,39,44,43,136,1
29,7174606,10,37,43,45,135,1
30,95186681,10,35,41,49,135,1
31,61164778,10,38,39,46,133,1
32,65185620,10,38,42,43,133,1
33,13177414,10,37,45,41,133,1
34,27168772,10,34,44,45,133,1
35,36168288,10,33,44,46,133,1
36,67167025,10,38,38,46,132,1
37,45171018,10,36,40,46,132,1
38,74171861,10,35,42,45,132,1
39,34176634,10,37,39,45,131,1
40,45174887,10,32,42,47,131,1
41,21164981,10,30,44,47,131,1
42,38167929,9.33,42,32,47,130.33,1
43,94182469,10,35,40,45,130,1
44,91168210,10,31,41,48,130,1
45,92172282,10,30,42,48,130,1
46,85172360,10,30,48,42,130,1
47,30186400,10,30,41,49,130,1
48,27183935,10,28,43,49,130,1
49,6169271,10,27,46,47,130,1
50,25178397,10,36,39,44,129,1
51,186540,10,36,38,45,129,1
52,27168709,10,36,42,40,128,1
53,70170675,10,33,39,46,128,1
54,42175729,10,33,41,44,128,1
55,15180425,10,33,36,49,128,1
56,95179941,10,40,42,35,127,1
57,10182609,10,39,32,45,126,1
58,8170176,10,41,35,39,125,1
59,63181345,10,34,36,45,125,1
60,47166884,10,31,38,46,125,1
61,39179520,8.67,34,35,47,124.67,1
62,32166385,10,33,39,42,124,1
63,75184294,10,32,35,47,124,1
64,,10,41,33,39,123,0
65,1175511,10,37,37,39,123,0
66,24167446,10,34,35,44,123,0
67,66164560,10,31,34,48,123,0
68,74176213,10,25,43,45,123,0
69,89185979,10,34,36,42,122,0
70,24169333,10,33,38,41,122,0
71,29175090,10,32,32,48,122,0
72,24170737,10,30,39,43,122,0
73,31164497,10,27,37,48,122,0
74,175589,10,34,35,42,121,0
75,51165480,10,33,35,43,121,0
76,59179380,10,24,41,46,121,0
77,4173483,6.67,31,37,46,120.67,0
78,96166947,10,38,30,42,120,0
79,79175449,10,35,37,38,120,0
80,64171580,10,31,38,41,120,0
81,77184356,10,28,38,44,120,0
82,87186462,10,35,32,42,119,0
83,53166042,10,26,39,44,119,0
84,88186961,10,24,37,48,119,0
85,17182952,10,39,37,32,118,0
86,74167789,10,36,33,39,118,0
87,99179099,10,34,39,35,118,0
88,86170113,9.27,37,32,39,117.27,0
89,44175168,10,25,40,42,117,0
90,48171798,10,31,34,41,116,0
91,94180706,10,29,37,40,116,0
92,71183171,10,29,41,36,116,0
93,61173686,10,28,41,37,116,0
94,14165121,10,16,42,48,116,0
95,50167727,8,38,33,36,115,0
96,49177196,10,38,37,30,115,0
97,54167165,10,28,35,42,115,0
98,5177336,9.33,27,39,39,114.33,0
99,66171517,10,37,30,37,114,0
100,51173623,10,26,37,41,114,0
101,15178678,9.27,28,39,37,113.27,0
102,3171159,10,29,36,38,113,0
103,16172422,10,29,37,37,113,0
104,40173202,8.67,25,35,44,112.67,0
105,41172500,10,33,28,41,112,0
106,47165761,10,30,38,34,112,0
107,40177133,10,30,39,33,112,0
108,55183514,10,27,36,39,112,0
109,67166603,8.8,26,34,43,111.8,0
110,36186743,10,28,27,46,111,0
111,9165199,10,27,38,36,111,0
112,75181829,10,20,35,46,111,0
113,39166806,9.33,21,35,45,110.33,0
114,59184153,10,24,32,44,110,0
115,1184434,9.33,25,37,38,109.33,0
116,21175651,10,25,33,41,109,0
117,69175371,8.67,26,34,40,108.67,0
118,68186883,9.33,22,33,44,108.33,0
119,26178116,10,31,37,30,108,0
120,22165059,10,29,24,45,108,0
121,46173343,10,27,34,37,108,0
122,56180285,10,19,36,43,108,0
123,16184497,10,19,39,40,108,0
124,93166245,9.33,29,30,39,107.33,0
125,58175308,9.33,26,31,41,107.33,0
126,22169614,10,31,30,36,107,0
127,76168007,10,28,25,44,107,0
128,98175870,10,23,32,42,107,0
129,73165683,10,22,30,45,107,0
130,72177835,10,19,31,47,107,0
131,19183030,10,19,34,44,107,0
132,80167586,10,38,31,27,106,0
133,16177274,10,31,17,48,106,0
134,12183311,10,26,35,35,106,0
135,77171939,10,25,34,37,106,0
136,18184855,10,24,30,42,106,0
137,5173405,10,22,34,40,106,0
138,57165964,10,21,34,41,106,0
139,86180004,10,20,34,42,106,0
140,70184637,10,28,28,39,105,0
141,21183873,10,27,23,45,105,0
142,69182250,9.33,25,24,46,104.33,0
143,22164638,10,31,20,43,104,0
144,85172921,10,25,29,40,104,0
145,38178038,8.67,26,27,42,103.67,0
146,1179723,10,33,27,33,103,0
147,4182188,10,30,27,36,103,0
148,12185417,10,28,35,30,103,0
149,49167867,10,22,29,42,103,0
150,77177477,10,16,30,47,103,0
151,85174669,8.67,24,32,38,102.67,0
152,51184075,10,19,35,38,102,0
153,2174185,9.33,23,26,43,101.33,0
154,23175792,10,25,28,38,101,0
155,62179661,10,15,29,47,101,0
156,18173826,10,26,23,41,100,0
157,78172001,10,23,30,37,100,0
158,70173764,8.67,30,23,38,99.67,0
159,10181626,9.33,27,32,31,99.33,0
160,60182391,10,25,23,41,99,0
161,3177976,10,19,37,33,99,0
162,37172703,10,11,35,43,99,0
163,89180222,9.4,19,23,47,98.4,0
164,6177055,10,21,28,39,98,0
165,73179021,10,15,28,45,98,0
166,11187102,8.53,19,35,35,97.53,0
167,38176431,9.33,28,23,37,97.33,0
168,83185058,10,24,34,29,97,0
169,98185698,10,12,27,48,97,0
170,52167508,10,31,26,29,96,0
171,11169692,10,24,29,33,96,0
172,29176915,8.67,20,28,39,95.67,0
173,8170254,8.67,19,25,43,95.67,0
174,42184216,10,28,33,24,95,0
175,71178179,10,27,25,33,95,0
176,91184996,10,26,28,31,95,0
177,83176010,10,13,31,41,95,0
178,81169193,8.8,30,26,30,94.8,0
179,84176853,10,16,25,43,94,0
180,28171439,8.53,33,24,28,93.53,0
181,34171377,10,21,24,38,93,0
182,83176073,10,19,36,28,93,0
183,48169474,10,13,31,39,93,0
184,4173545,8.67,24,20,40,92.67,0
185,29176291,8.53,14,27,43,92.53,0
186,60167227,8.2,16,29,39,92.2,0
187,17165543,10,15,34,33,92,0
188,79180144,10,15,28,39,92,0
189,57176775,10,14,34,34,92,0
190,52173124,7.33,30,20,34,91.33,0
191,33170597,10,21,25,35,91,0
192,41181486,10,20,20,41,91,0
193,25172079,10,12,27,42,91,0
194,56180643,9.33,24,28,29,90.33,0
195,17168491,9.33,19,31,31,90.33,0
196,180924,9.33,17,29,35,90.33,0
197,64172781,9.33,13,27,41,90.33,0
198,63187024,10,25,21,34,90,0
199,68182328,10,24,26,30,90,0
200,46176353,10,22,28,30,90,0
201,25166525,7.8,19,19,44,89.8,0
