RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
1,22661227,10,50,49,49,158,1
2,27654269,10,47,49,46,152,1
3,18646376,10,44,50,48,152,1
4,11663894,10,46,46,48,150,1
5,46664612,10,48,44,47,149,1
6,21661866,10,45,49,45,149,1
7,17654472,10,45,44,49,148,1
8,49663130,10,42,48,48,148,1
9,43662490,10,44,46,46,146,1
10,49660603,10,48,46,41,145,1
11,10652772,10,41,47,47,145,1
12,40658497,10,49,40,44,143,1
13,81661929,10,44,46,42,142,1
14,6657514,10,35,47,50,142,1
15,78662990,9.33,47,40,45,141.33,1
16,42649059,10,44,43,44,141,1
17,16647296,10,46,44,40,140,1
18,37649620,10,42,42,45,139,1
19,92655736,10,39,44,46,139,1
20,62662912,10,44,43,41,138,1
21,27647858,10,38,45,45,138,1
22,58647795,10,45,42,40,137,1
23,7660665,10,44,37,46,137,1
24,47652210,10,46,40,40,136,1
25,38651165,10,43,35,47,135,1
26,6645814,10,40,38,46,134,1
27,28659058,10,39,45,40,134,1
28,65657717,10,41,38,44,133,1
29,79663754,10,45,34,43,132,1
30,29646438,10,40,41,41,132,1
31,59661086,9.27,43,42,36,130.27,1
32,67662147,10,36,39,45,130,1
33,74656157,10,35,44,41,130,1
34,55648138,10,38,41,40,129,1
35,82656718,10,37,36,46,129,1
36,54658278,10,37,39,43,129,1
37,85648419,10,36,37,46,129,1
38,25654332,9.33,38,38,43,128.33,1
39,32654753,10,45,40,33,128,1
40,40655533,10,38,40,40,128,1
41,99651726,10,36,39,43,128,1
42,76653895,10,36,41,41,128,1
43,1653988,10,38,41,38,127,1
44,64645533,10,37,34,46,127,1
45,28646859,8.8,39,45,34,126.8,1
46,81658138,8.67,36,37,45,126.67,1
47,652070,10,46,34,36,126,1
48,3649542,10,37,35,44,126,1
49,74655252,10,36,38,42,126,1
50,72656094,10,40,34,41,125,1
51,18662069,10,38,32,45,125,1
52,8647436,10,35,37,43,125,1
53,63653333,10,35,38,42,125,1
54,4656375,9.33,39,31,45,124.33,1
55,15658076,10,38,38,38,124,1
56,47652350,10,36,37,41,124,1
57,69655314,10,35,39,40,124,1
58,70659402,10,33,34,47,124,1
59,76647514,10,31,40,43,124,1
60,30653411,10,39,35,39,123,1
61,,10,40,36,36,122,0
62,87649402,10,37,34,41,122,0
63,58662007,10,29,34,48,121,0
64,45646578,8.67,37,36,39,120.67,0
65,12651227,10,36,37,37,120,0
66,60660743,10,34,35,40,119,0
67,26650666,10,33,33,42,118,0
68,67652912,10,32,32,44,118,0
69,51664830,10,32,36,40,118,0
70,56651446,10,26,39,43,118,0
71,80658559,10,46,33,28,117,0
72,86654550,10,31,42,34,117,0
73,20659261,10,29,32,46,117,0
74,85662771,10,29,38,40,117,0
75,60650744,8.53,36,31,41,116.53,0
76,25645876,9.33,35,32,40,116.33,0
77,59660041,10,24,36,46,116,0
78,73661788,9.27,29,37,40,115.27,0
79,94662210,10,39,31,35,115,0
80,98646095,10,28,40,37,115,0
81,90650603,9.33,36,33,36,114.33,0
82,57652148,10,41,34,29,114,0
83,25659823,10,34,28,42,114,0
84,40662709,10,34,34,36,114,0
85,42661445,10,32,32,40,114,0
86,26655174,10,30,35,39,114,0
87,79660806,10,29,30,45,114,0
88,44658419,10,27,32,45,114,0
89,35664690,9.33,36,32,36,113.33,0
90,8659542,10,37,31,35,113,0
91,9649121,10,34,35,34,113,0
92,55651586,10,34,35,34,113,0
93,26660182,10,29,32,42,113,0
94,41646937,10,33,31,38,112,0
95,76664269,10,28,32,42,112,0
96,31656516,10,20,35,47,112,0
97,54652007,9.33,36,33,33,111.33,0
98,70657998,8,41,30,31,110,0
99,64646157,10,30,35,35,110,0
100,72653271,10,29,37,34,110,0
101,54645315,10,28,31,41,110,0
102,12657576,10,26,33,41,110,0
103,33661508,10,26,37,37,110,0
104,46656796,8.53,41,29,31,109.53,0
105,24662849,7.33,33,31,38,109.33,0
106,34645736,10,30,40,29,109,0
107,39654129,10,27,29,43,109,0
108,84645596,10,26,35,38,109,0
109,30653692,10,24,39,36,109,0
110,48657795,7.33,43,29,29,108.33,0
111,90651929,10,34,28,36,108,0
112,23657233,10,31,34,33,108,0
113,1651024,10,29,31,38,108,0
114,29650182,10,36,30,31,107,0
115,78647156,10,35,34,28,107,0
116,56656438,10,33,32,32,107,0
117,36649901,10,30,29,38,107,0
118,15650463,8,27,31,41,107,0
119,84664331,10,24,28,45,107,0
120,58656859,9.33,38,40,19,106.33,0
121,74662428,10,37,26,33,106,0
122,71650806,10,29,29,38,106,0
123,27660104,9.33,29,36,31,105.33,0
124,2658356,9.33,18,37,41,105.33,0
125,51662350,10,32,26,37,105,0
126,65648778,10,30,28,37,105,0
127,5663473,10,18,28,49,105,0
128,50664472,8.67,29,31,36,104.67,0
129,84651867,8.67,25,31,40,104.67,0
130,33661164,10,38,26,30,104,0
131,46651648,10,33,26,35,104,0
132,88646298,10,30,24,40,104,0
133,653552,10,30,25,39,104,0
134,14664128,10,29,31,34,104,0
135,64646516,8.67,37,25,33,103.67,0
136,14648216,10,22,35,36,103,0
137,4652428,10,29,32,31,102,0
138,93664409,10,27,27,38,102,0
139,17654410,9.33,35,25,32,101.33,0
140,51658700,9.33,28,29,35,101.33,0
141,24649340,9.33,21,29,42,101.33,0
142,94664191,10,37,32,22,101,0
143,22645174,10,30,31,29,100,0
144,43650322,10,29,30,31,100,0
145,39646235,10,26,24,40,100,0
146,2663988,10,24,29,37,100,0
147,66660462,10,18,34,38,100,0
148,35661367,8.67,29,27,35,99.67,0
149,7658637,8.53,19,34,38,99.53,0
150,52658980,9.33,35,26,29,99.33,0
151,95645393,10,32,30,27,99,0
152,8660884,9.33,37,24,28,98.33,0
153,15646719,9.33,17,35,37,98.33,0
154,49664893,8,34,20,36,98,0
155,83650244,8.53,34,30,25,97.53,0
156,57650946,10,28,28,31,97,0
157,69657935,8,28,30,30,96,0
158,41663551,10,27,31,28,96,0
159,11664550,9.4,23,29,34,95.4,0
160,92663192,10,19,33,33,95,0
161,21662568,10,17,30,38,95,0
