RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
1,65571608,10,48,49,48,155,1
2,46566137,10,46,46,49,151,1
3,87575833,10,46,43,49,148,1
4,57565366,10,46,43,47,146,1
5,48570411,10,49,41,45,145,1
6,14570159,10,46,43,46,145,1
7,83576241,10,44,45,46,145,1
8,50578530,10,40,45,47,142,1
9,99568975,10,39,42,48,139,1
10,25572775,10,39,45,44,138,1
11,47573252,10,39,45,44,138,1
12,40582672,10,38,46,44,138,1
13,49578583,10,40,40,46,136,1
14,67580299,10,35,48,43,136,1
15,76567175,7.8,41,40,47,135.8,1
16,5564676,10,37,42,46,135,1
17,14582619,10,35,42,48,135,1
18,27565779,8.53,35,45,46,134.53,1
19,43571067,10,40,39,45,134,1
20,78576564,10,37,43,44,134,1
21,61579201,10,40,41,42,133,1
22,87573669,9.13,43,44,36,132.13,1
23,74582977,10,35,39,48,132,1
24,87580369,10,32,44,46,132,1
25,10568229,9.33,36,40,46,131.33,1
26,95576189,9.4,38,40,43,130.4,1
27,18583227,10,37,40,43,130,1
28,70574723,10,36,39,45,130,1
29,71565725,10,34,41,45,130,1
30,26566559,10,31,40,49,130,1
31,61573867,10,30,45,45,130,1
32,27571307,10,39,36,44,129,1
33,58581171,10,36,40,43,129,1
34,5570105,10,34,42,43,129,1
35,72580744,10,33,39,47,129,1
36,75571736,10,27,46,46,129,1
37,43569201,10,43,33,42,128,1
38,62577672,10,34,41,43,128,1
39,95572343,10,32,39,47,128,1
40,18569616,10,30,40,48,128,1
41,86572541,10,25,47,46,128,1
42,10566923,9.33,36,39,43,127.33,1
43,3567425,10,38,40,39,127,1
44,4577191,10,36,35,46,127,1
45,69567850,10,35,37,45,127,1
46,3577602,10,29,48,40,127,1
47,66571980,10,27,45,45,127,1
48,18569669,9.27,36,38,43,126.27,1
49,91581547,10,32,34,50,126,1
50,89568922,10,31,41,44,126,1
51,1569373,10,29,42,45,126,1
52,16576812,10,41,36,38,125,1
53,94569552,10,33,38,44,125,1
54,59583153,10,30,43,42,125,1
55,11567229,9.13,36,34,45,124.13,1
56,49581993,10,38,36,40,124,1
57,29579514,10,36,37,41,124,1
58,42583099,10,30,39,45,124,1
59,5578336,10,29,41,44,124,1
60,53576740,10,42,29,42,123,1
61,96579690,10,41,32,40,123,1
62,7576687,10,27,42,44,123,1
63,,10,36,37,39,122,0
64,98566372,10,34,35,43,122,0
65,30568794,10,28,41,43,122,0
66,575388,10,26,45,41,122,0
67,57577246,10,25,40,47,122,0
68,1574277,9.33,34,34,44,121.33,0
69,31571485,10,34,35,42,121,0
70,52582861,10,38,35,37,120,0
71,82576990,10,33,34,43,120,0
72,74566730,10,28,39,43,120,0
73,20580495,10,27,41,42,120,0
74,28568175,10,34,32,43,119,0
75,46577474,10,33,34,42,119,0
76,77574473,10,32,38,39,119,0
77,2569092,10,25,37,47,119,0
78,56571003,10,25,40,44,119,0
79,22569149,10,24,40,45,119,0
80,79565655,10,34,33,41,118,0
81,91579567,10,33,35,40,118,0
82,50581797,10,30,37,41,118,0
83,76566800,10,29,30,49,118,0
84,3580548,10,27,35,45,117,0
85,8574037,8.67,38,33,37,116.67,0
86,23582246,10,25,32,49,116,0
87,46580422,8.67,37,41,29,115.67,0
88,7573005,10,27,36,42,115,0
89,92570475,8.53,37,30,39,114.53,0
90,71582745,10,32,34,38,114,0
91,24580674,10,25,36,43,114,0
92,90578102,10,26,39,38,113,0
93,39565483,10,25,44,34,113,0
94,6575334,8.67,33,27,44,112.67,0
95,63572413,9.33,28,33,42,112.33,0
96,43579031,10,33,29,40,112,0
97,70579440,10,29,28,45,112,0
98,99577796,10,26,32,44,112,0
99,31566495,8.53,29,36,38,111.53,0
100,85566442,10,34,30,37,111,0
101,73581870,10,22,36,43,111,0
102,30578406,8.67,36,29,37,110.67,0
103,34583353,10,33,23,44,110,0
104,39569425,10,32,28,40,110,0
105,45580995,10,27,35,38,110,0
106,6571121,10,24,32,44,110,0
107,83575092,10,18,38,44,110,0
108,53580175,10,16,40,44,110,0
109,13580245,9.4,33,26,41,109.4,0
110,56580798,10,26,35,38,109,0
111,50570283,10,25,36,38,109,0
112,17574526,10,16,40,43,109,0
113,69578460,10,27,32,39,108,0
114,63573305,10,26,35,37,108,0
115,19574101,10,21,37,40,108,0
116,67572711,8.67,33,33,33,107.67,0
117,24576617,10,36,37,24,107,0
118,54577117,10,22,37,38,107,0
119,3580868,10,31,34,31,106,0
120,86572216,10,27,39,30,106,0
121,16573187,10,27,30,39,106,0
122,35574224,10,27,28,41,106,0
123,57574653,10,21,29,46,106,0
124,12573422,10,22,29,44,105,0
125,37579387,9.33,34,32,29,104.33,0
126,35568724,9.33,21,30,44,104.33,0
127,53573492,10,31,28,35,104,0
128,95568101,10,28,29,37,104,0
129,55569310,10,24,28,42,104,0
130,9575146,8.67,25,38,32,103.67,0
131,8582798,8.53,29,27,39,103.53,0
132,20581674,9.4,22,29,43,103.4,0
133,68578219,7.33,27,27,42,103.33,0
134,30568848,9.33,24,31,39,103.33,0
135,33575950,10,27,32,34,103,0
136,52579764,10,25,32,36,103,0
137,94567299,10,14,31,48,103,0
138,88580058,10,12,35,46,103,0
139,59577726,8.33,33,35,26,102.33,0
140,73575582,9.33,11,38,44,102.33,0
141,93569258,10,20,29,43,102,0
142,28582496,10,17,28,47,102,0
143,51573369,8.67,31,25,37,101.67,0
144,29568422,8.53,30,30,33,101.53,0
145,20573059,8.2,31,27,35,101.2,0
146,25573133,10,33,23,35,101,0
147,1572093,8,29,33,31,101,0
148,33567920,10,19,31,41,101,0
149,9572467,10,19,37,35,101,0
150,77570880,10,17,34,40,101,0
151,80574600,10,15,29,47,101,0
152,22572594,9.13,19,39,33,100.13,0
153,88574903,10,32,33,25,100,0
154,49571181,10,26,27,37,100,0
155,4577850,10,33,25,31,99,0
156,42573920,10,25,26,38,99,0
157,13568546,10,24,32,33,99,0
158,44570762,8,18,35,38,99,0
159,67565115,10,15,31,43,99,0
160,84573743,8.67,28,23,39,98.67,0
161,36575030,10,23,25,40,98,0
162,92569982,9.33,22,23,43,97.33,0
163,38580621,9.07,22,27,39,97.07,0
164,28579888,10,27,27,33,97,0
165,40565295,10,26,31,30,97,0
