RANK,ID,GRADES,MATH,CZECH,AJ,SUM,ADMITTED_ID
171,86995988,9.33,28,32,28,97.33,0
172,60995035,10,33,31,23,97,0
173,28998832,10,20,29,38,97,0
174,20992176,10,18,25,44,97,0
175,15978551,8.8,26,19,43,96.8,0
176,19981363,8.67,13,42,33,96.67,0
177,99987926,10,27,35,24,96,0
178,67982910,10,19,32,35,96,0
179,68989957,10,15,33,38,96,0
180,4988676,9.33,30,26,30,95.33,0
181,96982051,10,32,25,28,95,0
182,39987144,10,29,35,21,95,0
183,8986551,10,24,28,33,95,0
184,87981707,9.33,26,32,27,94.33,0
185,86999597,10,32,30,22,94,0
186,12992019,10,19,27,38,94,0
187,91998550,8.67,32,20,33,93.67,0
188,96999941,10,27,28,28,93,0
189,46988004,10,26,30,27,93,0
190,988504,10,19,32,32,93,0
191,47998660,8.67,25,32,27,92.67,0
192,31990379,5.33,31,25,31,92.33,0
193,74983160,10,26,24,32,92,0
194,21974473,10,14,25,43,92,0
195,77979676,10,13,36,33,92,0
196,34975238,10,20,30,31,91,0
197,19979066,10,24,25,30,89,0
198,3991847,10,23,21,35,89,0
199,43997738,10,19,23,37,89,0
200,99986207,8,10,36,35,89,0
201,33976442,8.67,31,21,28,88.67,0
202,7975317,9.27,16,33,30,88.27,0
203,66981441,10,29,26,22,87,0
204,37985941,10,27,31,19,87,0
205,23991676,10,24,25,28,87,0
206,6989191,8,33,25,20,86,0
207,78989457,10,27,25,24,86,0
208,51985691,8.67,20,35,21,84.67,0
209,6974301,9.33,20,18,37,84.33,0
210,14986113,9.13,20,20,35,84.13,0
211,83991754,10,27,21,26,84,0
212,54998066,10,16,24,34,84,0
213,11999175,8.8,24,24,27,83.8,0
214,2994613,10,16,33,24,83,0
215,79991926,10,15,28,30,83,0
216,17973863,10,14,31,28,83,0
217,26982738,8,27,17,30,82,0
218,24991582,10,24,24,24,82,0
219,84990894,10,22,33,17,82,0
220,62980426,8.67,20,19,34,81.67,0
221,70986035,6.67,18,18,39,81.67,0
222,29990472,9.33,21,27,24,81.33,0
223,3985769,9.33,15,20,36,80.33,0
224,90988269,10,21,21,28,80,0
225,12983941,7.8,29,20,23,79.8,0
226,82983848,9.27,17,30,23,79.27,0
227,89973785,7.07,17,15,40,79.07,0
228,80981270,10,23,16,30,79,0
229,87988941,10,18,24,27,79,0
230,65974035,10,17,24,28,79,0
231,95982395,10,22,25,21,78,0
232,22000613,10,22,22,24,78,0
233,64984910,10,13,25,30,78,0
234,33981957,7.33,30,23,17,77.33,0
235,48976004,6,22,13,36,77,0
236,36992597,9.33,28,22,17,76.33,0
237,44980098,10,21,19,26,76,0
238,75998394,10,15,24,27,76,0
239,13995379,9.33,20,20,26,75.33,0
240,52998629,9.33,15,23,28,75.33,0
241,96000285,9.33,15,23,28,75.33,0
242,69980691,10,22,18,25,75,0
243,9988098,8,17,18,32,75,0
244,43974645,7.33,18,23,26,74.33,0
245,20990722,10,19,26,19,74,0
246,15991238,10,19,15,30,74,0
247,61995472,10,16,16,32,74,0
248,29987316,9.33,13,25,26,73.33,0
249,81993332,10,25,23,15,73,0
250,74997129,10,14,21,28,73,0
251,56984113,10,14,23,25,72,0
252,18984629,9.33,17,14,31,71.33,0
253,57991160,10,21,19,21,71,0
254,98995722,10,11,14,36,71,0
255,37984801,7,25,13,23,68,0
256,15997394,10,10,16,32,68,0
257,3977535,7.8,18,19,23,67.8,0
258,33973692,10,16,25,16,67,0
259,51989285,7.8,20,14,25,66.8,0
260,61990129,9.33,25,17,15,66.33,0
261,68983426,10,15,18,23,66,0
262,35989519,6,12,17,28,63,0
263,13999863,9.4,17,11,25,62.4,0
264,98984707,10,14,18,20,62,0
265,50975660,8.67,13,10,29,60.67,0
266,65991066,7.33,12,15,26,60.33,0
267,67976348,8.67,10,15,26,59.67,0
268,76984879,10,10,22,16,58,0
269,43996066,10,18,19,10,57,0
270,23980270,5.33,16,15,20,56.33,0
271,12996160,9.33,13,15,19,56.33,0
272,20991410,7.07,14,11,24,56.07,0
273,31992254,8.8,20,15,12,55.8,0
274,94977363,8.53,14,14,16,52.53,0
275,73980520,7.47,14,12,18,51.47,0
276,38997222,8.53,11,14,17,50.53,0
277,53983082,9.33,10,11,20,50.33,0
278,984191,2.67,12,17,18,49.67,0
279,19999425,9.33,19,10,11,49.33,0
280,60000378,6.27,14,12,12,44.27,0
281,90973613,7.33,19,35,0,61.33,2
282,9975488,8.53,5,15,10,38.53,2
283,27975754,10,0,0,0,10,2
284,88975832,7.8,7,12,18,44.8,2
285,2977113,8.67,35,21,0,64.67,2
286,14977629,9.33,0,0,0,9.33,2
287,74977707,10,0,0,0,10,2
288,73977879,8,5,16,34,63,2
289,34978207,9.33,0,0,0,9.33,2
290,81979160,7,13,5,37,62,2
291,52979332,7.33,7,9,21,44.33,2
292,24979410,6.67,0,0,0,6.67,2
293,22980191,10,22,6,12,50,2
294,93981785,9.27,0,0,0,9.27,2
295,16982129,8,5,7,34,54,2
296,89982473,8,0,0,0,8,2
297,72982816,9.27,9,17,14,49.27,2
298,32983254,6,0,0,0,6,2
299,24983332,10,0,0,0,10,2
300,4985348,10,6,9,0,25,2
301,71985863,8.67,0,0,0,8.67,2
302,95987832,10,17,15,0,42,2
303,5989113,10,16,24,0,50,2
304,85989691,10,7,15,20,52,2
305,18990035,10,0,0,0,10,2
306,97990551,6.67,12,7,13,38.67,2
307,10992347,9.4,15,20,0,44.4,2
308,75992504,9.4,25,31,0,65.4,2
309,55993082,10,9,13,21,53,2
310,1993754,8.53,26,26,0,60.53,2
311,84993832,7.33,1,6,19,33.33,2
312,75994097,8.67,16,6,16,46.67,2
313,47994785,9.27,22,30,0,61.27,2
314,69994957,10,27,40,0,77,2
315,4996550,7.8,8,34,23,72.8,2
316,1996722,10,0,0,0,10,2
317,59996879,10,18,17,0,45,2
318,71997050,9.33,16,8,12,45.33,2
319,94997472,10,24,37,0,71,2
320,42997566,2,3,8,0,13,2
321,,8,14,14,8,44,2
322,,10,0,0,0,10,2
