RANK,YEAR,ID,ADMITTED_ID,SCHOOLCOURSE_ID
1,2017,1,1,2181
2,2017,2,1,2181
3,2017,3,1,2181
4,2017,4,1,2181
5,2017,5,1,2181
6,2017,6,1,2181
7,2017,7,1,2181
8,2017,8,1,2181
9,2017,9,1,2181
10,2017,10,1,2181
11,2017,11,1,2181
12,2017,12,1,2181
13,2017,13,1,2181
14,2017,14,1,2181
15,2017,15,1,2181
16,2017,16,1,2181
17,2017,17,1,2181
18,2017,18,1,2181
19,2017,19,1,2181
20,2017,20,1,2181
21,2017,21,1,2181
22,2017,22,1,2181
23,2017,23,1,2181
24,2017,24,1,2181
25,2017,25,1,2181
26,2017,26,1,2181
27,2017,27,1,2181
28,2017,28,1,2181
29,2017,29,1,2181
30,2017,30,1,2181
31,2017,31,1,2181
32,2017,32,1,2181
33,2017,33,1,2181
34,2017,34,1,2181
35,2017,35,1,2181
36,2017,36,1,2181
37,2017,37,1,2181
38,2017,38,1,2181
39,2017,39,1,2181
40,2017,40,1,2181
41,2017,41,1,2181
42,2017,42,1,2181
43,2017,43,1,2181
44,2017,44,1,2181
45,2017,45,1,2181
46,2017,46,1,2181
47,2017,47,1,2181
48,2017,48,1,2181
49,2017,49,1,2181
50,2017,50,1,2181
51,2017,51,1,2181
52,2017,52,1,2181
53,2017,53,1,2181
54,2017,54,1,2181
55,2017,55,1,2181
56,2017,56,1,2181
57,2017,57,1,2181
58,2017,58,0,2181
59,2017,59,0,2181
60,2017,60,0,2181
61,2017,61,0,2181
62,2017,62,0,2181
63,2017,63,0,2181
64,2017,64,0,2181
65,2017,65,0,2181
66,2017,66,0,2181
67,2017,67,0,2181
68,2017,68,0,2181
69,2017,69,0,2181
70,2017,70,0,2181
71,2017,71,0,2181
72,2017,72,0,2181
73,2017,73,0,2181
74,2017,74,0,2181
75,2017,75,0,2181
76,2017,76,0,2181
77,2017,77,0,2181
78,2017,78,0,2181
79,2017,79,0,2181
80,2017,80,0,2181
81,2017,81,0,2181
82,2017,82,0,2181
83,2017,83,0,2181
84,2017,84,0,2181
85,2017,85,0,2181
86,2017,86,0,2181
87,2017,87,0,2181
88,2017,88,0,2181
89,2017,89,0,2181
90,2017,90,0,2181
91,2017,91,0,2181
92,2017,92,0,2181
93,2017,93,0,2181
94,2017,94,0,2181
95,2017,95,0,2181
96,2017,96,0,2181
97,2017,97,0,2181
98,2017,98,0,2181
99,2017,99,0,2181
100,2017,100,0,2181
101,2017,101,0,2181
102,2017,102,0,2181
103,2017,103,0,2181
104,2017,104,0,2181
105,2017,105,0,2181
106,2017,106,0,2181
107,2017,107,0,2181
108,2017,108,0,2181
109,2017,109,0,2181
110,2017,110,0,2181
111,2017,111,0,2181
112,2017,112,0,2181
113,2017,113,0,2181
114,2017,114,0,2181
115,2017,115,0,2181
116,2017,116,0,2181
117,2017,117,0,2181
118,2017,118,0,2181
119,2017,119,0,2181
120,2017,120,0,2181
121,2017,121,0,2181
122,2017,122,0,2181
123,2017,123,0,2181
124,2017,124,0,2181
125,2017,125,0,2181
126,2017,126,0,2181
127,2017,127,0,2181
1,2018,1,1,2181
2,2018,2,1,2181
3,2018,3,1,2181
4,2018,4,1,2181
5,2018,5,1,2181
6,2018,6,1,2181
7,2018,7,1,2181
8,2018,8,1,2181
9,2018,9,1,2181
10,2018,10,1,2181
11,2018,11,1,2181
12,2018,12,1,2181
13,2018,13,1,2181
14,2018,14,1,2181
15,2018,15,1,2181
16,2018,16,1,2181
17,2018,17,1,2181
18,2018,18,1,2181
19,2018,19,1,2181
20,2018,20,1,2181
21,2018,21,1,2181
22,2018,22,1,2181
23,2018,23,1,2181
24,2018,24,1,2181
25,2018,25,1,2181
26,2018,26,1,2181
27,2018,27,1,2181
28,2018,28,1,2181
29,2018,29,1,2181
30,2018,30,1,2181
31,2018,31,1,2181
32,2018,32,1,2181
33,2018,33,1,2181
34,2018,34,1,2181
35,2018,35,1,2181
36,2018,36,1,2181
37,2018,37,1,2181
38,2018,38,1,2181
39,2018,39,1,2181
40,2018,40,1,2181
41,2018,41,1,2181
42,2018,42,1,2181
43,2018,43,1,2181
44,2018,44,1,2181
45,2018,45,1,2181
46,2018,46,1,2181
47,2018,47,1,2181
48,2018,48,1,2181
49,2018,49,1,2181
50,2018,50,1,2181
51,2018,51,1,2181
52,2018,52,1,2181
53,2018,53,1,2181
54,2018,54,1,2181
55,2018,55,1,2181
56,2018,56,1,2181
57,2018,57,1,2181
58,2018,58,1,2181
59,2018,59,1,2181
60,2018,60,1,2181
61,2018,61,0,2181
62,2018,62,0,2181
63,2018,63,0,2181
64,2018,64,0,2181
65,2018,65,0,2181
66,2018,66,0,2181
